,https://roic.ai/company/ECOM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,36688000,43570000,53587000,68004000,84901000,100585000,113200000,122535000,131218000,129959000,145072000,167729000
2,COGS,12164000,12248000,14749000,18088000,24220000,25834000,27620000,25950000,29501000,29008000,30354000,38232000
3,Gross Profit,24524000,31322000,38838000,49916000,60681000,74751000,85580000,96585000,101717000,100951000,114718000,129497000
4,Gross Profit Ratio,0.6684,0.7189,0.7248,0.7340,0.7147,0.7432,0.7560,0.7882,0.7752,0.7768,0.7908,0.7721
5,Research and Development Exp.,8416000,8842000,10109000,12669000,16585000,16060000,17736000,21868000,22359000,19200000,18990000,22382000
6,General and Administrative Exp.,6111000,6551000,8252000,14154000,22275000,24136000,25079000,27800000,26784000,25136000,23739000,27432000
7,Selling and Marketing Exp.,14867000,19106000,24326000,37458000,55829000,51941000,56602000,63495000,60080000,52813000,52905000,60755000
8,"Selling, General and Administrative Exp.",20978000,25657000,32578000,51612000,78104000,76077000,81681000,91295000,86864000,77949000,76644000,88187000
9,Other Expenses,- -,- -,- -,- -,- -,3807000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,29394000,34499000,42687000,64281000,94689000,95944000,99417000,113163000,109223000,97149000,95634000,110569000
11,COGS and Expenses,41558000,46747000,57436000,82369000,118909000,121778000,127037000,139113000,138724000,126157000,125988000,148801000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),486000,- -,1185000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3370000,2061000,2903000,3722000,6264000,8793000,7838000,6578000,6094000,6336000,6513000,6567000
15,EBITDA,-756000,-1752000,-915000,-16703000,-28209000,-12343000,-5827000,-9695000,-893000,10507000,25781000,24632000
16,EBITDA ratio,-0.0206,-0.0402,-0.0171,-0.2456,-0.3323,-0.1227,-0.0515,-0.0791,-0.0068,0.0808,0.1777,0.1469
17,Operating Income,-4870000,-3177000,-3849000,-14365000,-34008000,-21193000,-13837000,-16578000,-7506000,3802000,19084000,18928000
18,Operating Income ratio,-0.1327,-0.0729,-0.0718,-0.2112,-0.4006,-0.2107,-0.1222,-0.1353,-0.0572,0.0293,0.1315,0.1128
19,Total Other Income Expenses (Gains),258000,-636000,-1154000,-6060000,-465000,57000,172000,305000,519000,369000,184000,-863000
20,Income Before Tax,-4612000,-3813000,-5003000,-20425000,-34473000,-21136000,-13665000,-16273000,-6987000,4171000,19268000,18065000
21,Income Before Tax Ratio,-0.1257,-0.0875,-0.0934,-0.3003,-0.4060,-0.2101,-0.1207,-0.1328,-0.0532,0.0321,0.1328,0.1077
22,Income Tax expense (Gain),112000,51000,-70000,203000,41000,-185000,-5658000,284000,614000,689000,443000,-29150000
23,Net Income,-4724000,-3864000,-4933000,-20628000,-34514000,-20951000,-8007000,-16557000,-7601000,3482000,18825000,47215000
24,Net Income ratio,-0.1288,-0.0887,-0.0921,-0.3033,-0.4065,-0.2083,-0.0707,-0.1351,-0.0579,0.0268,0.1298,0.2815
25,EPS,-0.32,-0.26,-0.34,-1.51,-1.40,-0.84,-0.31,-0.63,-0.28,0.12,0.66,1.65
26,EPS Diluted,-0.32,-0.26,-0.34,-1.51,-1.40,-0.84,-0.31,-0.63,-0.28,0.12,0.63,1.65
