,https://roic.ai/company/CORR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,2119843,2187523,1293027,1176824,2154211,3188955,30395356,31286020,40308573,71288935,89250586,88749377,89231598,85945570,11338071,128133796
2,COGS,- -,- -,- -,- -,- -,- -,- -,6734665,7750840,6678997,6463348,6729707,7210748,5242244,6059707,66340046
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,24551355,32557733,64609938,82787238,82019670,82020850,80703326,5278364,61793750
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.7847,0.8077,0.9063,0.9276,0.9242,0.9192,0.9390,0.4655,0.4823
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,771183,2549508,2969194,1659762,1520125,70192,1871365,4493598,5952037,6748917,8949799,8405579,13042847,8183231,6300294,13336845
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",771183,2549508,2969194,1659762,1520125,70192,1871365,4493598,5952037,6748917,8949799,8405579,13042847,8183231,6300294,13336845
9,Other Expenses,- -,450492,30806,340238,-520125,3929808,- -,12996039,15027693,33300628,27537337,24047710,24910586,22581942,13654429,14801676
10,Operating Expenses,- -,3000000,3000000,2000000,1000000,4000000,- -,17489637,20979730,40049545,36487136,32453289,37953433,30765173,19954723,28138521
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,24224302,28730570,46728542,42950484,39182996,45164181,36007417,26014430,94478567
12,Interest Income ,684723,2410559,1103059,807848,720323,- -,- -,- -,1077813,1697550,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,847421,1650926,627707,45619,36508,81123,3288378,3675122,9781184,14417839,12378514,12759010,10578711,10301644,12742157
14,Depreciation and Amortization,- -,- -,- -,- -,- -,485895,1410208,12339704,14289017,20662297,24548350,25708891,26361907,23808083,14924464,16406557
15,EBITDA,1327461,17004685,-23105909,-22736403,14710050,4884420,21068986,23079939,24752432,40815839,68164969,73035513,80414067,38700907,-280926329,21692392
16,EBITDA ratio,0.6262,7.7735,-17.8696,-19.3201,6.8285,1.5317,0.6932,0.7377,0.6141,0.5725,0.7637,0.8229,0.9012,0.4503,-24.7773,0.1693
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,6255635,10648815,21563606,42979521,47185463,44067417,47524536,-307872210,14373490
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,0.1999,0.2642,0.3025,0.4816,0.5317,0.4939,0.5530,-27.1538,0.1122
19,Total Other Income Expenses (Gains),202763,10674462,771244,26894182,- -,5832438,- -,2662989,-2304365,-9574042,-12452533,-10503529,-2774267,-43210423,1719773,-12834289
