,https://roic.ai/company/SMLR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,316000,1199000,2274000,3635000,7001000,7434000,12452000,21491000,32767000,38603000,53027000
2,COGS,145000,364000,469000,692000,2847000,1873000,2553000,2703000,3661000,3356000,6122000
3,Gross Profit,171000,835000,1805000,2943000,4154000,5561000,9899000,18788000,29106000,35247000,46905000
4,Gross Profit Ratio,0.5411,0.6964,0.7938,0.8096,0.5933,0.7480,0.7950,0.8742,0.8883,0.9131,0.8845
5,Research and Development Exp.,246000,277000,356000,1113000,1436000,866000,1831000,2085000,2479000,2938000,3780000
6,General and Administrative Exp.,1057000,1255000,1317000,2448000,4871000,3027000,3843000,4159000,6954000,6406000,9235000
7,Selling and Marketing Exp.,647000,1718000,2256000,3723000,6266000,3827000,5078000,7202000,8965000,9942000,14445000
8,"Selling, General and Administrative Exp.",1704000,2973000,3573000,6171000,11137000,6854000,8921000,11361000,15919000,16348000,23680000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1950000,3250000,3929000,7284000,12573000,7720000,10752000,13446000,18398000,19286000,27460000
11,COGS and Expenses,2095000,3614000,4398000,7976000,15420000,9593000,13305000,16149000,22059000,22642000,33582000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,2000,19000,10000
13,Interest Expense (Gain),64000,120000,108000,175000,74000,391000,464000,298000,2000,- -,- -
14,Depreciation and Amortization,25000,70000,129000,196000,315000,452000,559000,503000,632000,576000,628000
15,EBITDA,-1785000,-2548000,-1996000,-4144000,-8112000,-1711000,-487000,5841000,11335000,17062000,20083000
16,EBITDA ratio,-5.6487,-2.1251,-0.8777,-1.1400,-1.1587,-0.2302,-0.0391,0.2718,0.3459,0.4420,0.3787
17,Operating Income,-1779000,-2415000,-2124000,-4341000,-8419000,-2159000,-853000,5342000,10708000,15961000,19445000
18,Operating Income ratio,-5.6297,-2.0142,-0.9340,-1.1942,-1.2025,-0.2904,-0.0685,0.2486,0.3268,0.4135,0.3667
19,Total Other Income Expenses (Gains),-95000,-323000,-109000,-174000,-82000,-395000,-657000,-302000,-7000,525000,10000
20,Income Before Tax,-1874000,-2738000,-2233000,-4515000,-8501000,-2554000,-1510000,5040000,10701000,16486000,19455000
21,Income Before Tax Ratio,-5.9304,-2.2836,-0.9820,-1.2421,-1.2143,-0.3436,-0.1213,0.2345,0.3266,0.4271,0.3669
22,Income Tax expense (Gain),2000,3000,- -,- -,- -,- -,- -,26000,-4383000,2479000,2233000
23,Net Income,-1876000,-2741000,-2233000,-4515000,-8501000,-2554000,-1510000,5014000,15084000,14007000,17222000
24,Net Income ratio,-5.9367,-2.2861,-0.9820,-1.2421,-1.2143,-0.3436,-0.1213,0.2333,0.4603,0.3628,0.3248
25,EPS,-0.67,-0.98,-0.80,-1.10,-1.72,-0.50,-0.28,0.82,2.34,2.13,2.56
