,https://roic.ai/company/FLGT,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1278000,9576000,18276000,18730000,21351000,32528000,421712000,992584000
2,COGS,936000,5069000,6722000,8551000,10697000,14107000,89807000,215533000
3,Gross Profit,342000,4507000,11554000,10179000,10654000,18421000,331905000,777051000
4,Gross Profit Ratio,0.2676,0.4707,0.6322,0.5435,0.4990,0.5663,0.7870,0.7829
5,Research and Development Exp.,521000,4431000,3558000,4223000,5534000,6537000,11580000,24219000
6,General and Administrative Exp.,230000,2418000,4609000,5233000,5538000,6414000,15215000,50732000
7,Selling and Marketing Exp.,581000,2670000,2469000,4205000,4652000,5898000,14952000,24439000
8,"Selling, General and Administrative Exp.",811000,5088000,7078000,9438000,10190000,12312000,30167000,75171000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,1708000
10,Operating Expenses,1332000,9519000,10636000,13661000,15724000,18849000,41747000,101098000
11,COGS and Expenses,2268000,14588000,17358000,22212000,26421000,32956000,131554000,316631000
12,Interest Income ,- -,27000,-5386000,481000,434000,837000,1526000,1347000
13,Interest Expense (Gain),- -,- -,5387000,- -,- -,837000,1526000,1347000
14,Depreciation and Amortization,196000,575000,1170000,1728000,2163000,2107000,2962000,11004000
15,EBITDA,-4087000,-7739000,2130000,-1797000,-3408000,2576000,291330000,694510000
16,EBITDA ratio,-3.1980,-0.8082,0.1165,-0.0959,-0.1596,0.0792,0.6908,0.6997
17,Operating Income,-990000,-5012000,918000,-3482000,-5070000,-428000,290158000,675953000
18,Operating Income ratio,-0.7746,-0.5234,0.0502,-0.1859,-0.2375,-0.0132,0.6880,0.6810
19,Total Other Income Expenses (Gains),- -,27000,-5386000,481000,434000,837000,1526000,1347000
20,Income Before Tax,-990000,-4985000,-4468000,-3001000,-4636000,409000,291684000,677300000
21,Income Before Tax Ratio,-0.7746,-0.5206,-0.2445,-0.1602,-0.2171,0.0126,0.6917,0.6824
22,Income Tax expense (Gain),- -,- -,920000,-1015000,36000,43000,72532000,174795000
23,Net Income,-4283000,-8314000,-5347000,-2510000,-5607000,-411000,214310000,507364000
24,Net Income ratio,-3.3513,-0.8682,-0.2926,-0.1340,-0.2626,-0.0126,0.5082,0.5112
25,EPS,-0.34,-0.59,-0.30,-0.15,-0.25,-0.02,9.44,17.25
26,EPS Diluted,-0.34,-0.59,-0.30,-0.15,-0.25,-0.02,8.91,16.38
27,Weighted Average Shares Outstanding,12768000,12352000,17676000,17739000,17978000,18709000,22694000,29408000
28,Weighted Average Shares Outstanding Diluted,12768000,12352000,17676000,17739000,17978000,18709000,24056000,30976000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1674930/000156459017004681/0001564590-17-004681-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459018006239/0001564590-18-006239-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459019008991/0001564590-19-008991-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459020010617/0001564590-20-010617-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459021011526/0001564590-21-011526-index.htm,https://www.sec.gov/Archives/edgar/data/1674930/000156459022007366/0001564590-22-007366-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,172000,489000,7897000,6490000,6736000,11965000,87426000,164894000
32,Short-Term Investments,- -,- -,12971000,19994000,24298000,16304000,211941000,285605000
33,Cash and Short-Term Investments,172000,489000,20868000,26484000,31034000,28269000,299367000,450499000
34,Net Receivables,387000,2155000,4573000,4275000,6238000,7199000,204062000,143295000
35,Inventory,141000,212000,322000,231000,314000,277000,16491000,12206000
36,Other Current Assets,10000,74000,375000,1937000,1957000,1334000,3696000,5960000
37,Total Current Assets,710000,2930000,26138000,32927000,39543000,37079000,523616000,611960000
38,PP&E,978000,2469000,6234000,7272000,6446000,8607000,41027000,62287000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,50897000
