,https://roic.ai/company/ESEA,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,14870802,25045006,43502809,42135052,40313827,82080333,126303458,63781893,52478016,61396544,52487994,39153670,40634337,37679834,28424289,42917138,34424737,40023679,53303117,93893950
2,COGS,- -,- -,8906252,9280830,11523555,18137595,30613517,27096505,29641494,30175352,28021232,30545847,31217858,29429513,21658358,34943574,27328133,31932238,40696123,41750776
3,Gross Profit,- -,- -,34596557,32854222,28790272,63942738,95689941,36685388,22836522,31221192,24466762,8607823,9416479,8250321,6765931,7973564,7096604,8091441,12606994,52143174
4,Gross Profit Ratio,- -,- -,0.7953,0.7797,0.7142,0.7790,0.7576,0.5752,0.4352,0.5085,0.4661,0.2198,0.2317,0.2190,0.2380,0.1858,0.2061,0.2022,0.2365,0.5553
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7461716,6101596,6115830,8334634,7785909
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2342597,420755,1076884,2656176,9445151,8611254,7918947,8796602,8645524,8433643,8409195,7478396,6652018,7461716,6101596,6115830,8334634,7785909
9,Other Expenses,- -,- -,3461678,6120108,5113571,18220812,32230901,28051705,15626804,17612849,17385608,19983772,12137445,10995023,8788121,-499103,- -,- -,-2687205,-1298318
10,Operating Expenses,- -,- -,5804275,6540863,6190455,20876988,41676052,36662959,23545751,26409451,26031132,28417415,20546640,18473419,15440139,6962613,6101596,6115830,5647429,6487591
11,COGS and Expenses,- -,- -,14710527,15821693,17714010,39014583,72289569,63759464,53187245,56584803,54052364,58963262,51764498,47902932,37098497,41906187,33429729,38048068,46343552,48238367
12,Interest Income ,- -,- -,- -,- -,- -,- -,3168501,1123317,538820,248892,484886,387292,422240,26656,22330,37972,81792,95839,17011,3510
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,2930737,1437637,1498216,2191235,1977226,1845776,2152187,1486534,2531999,3372269,3050768,3424969,4125150,2779729
14,Depreciation and Amortization,- -,- -,-3512359,4291996,7367439,18035788,28284752,19092384,17979750,18348556,17385608,19983772,12137445,10995023,8788121,8372237,3305951,4178886,6605976,7203198
15,EBITDA,891628,8426612,27099406,29470450,27436846,58699852,54889507,4902517,12872116,21655780,6164093,-81595279,-3629273,-1566426,-32901003,5649946,6247829,5921184,14772557,52860151
16,EBITDA ratio,0.0600,0.3365,0.6229,0.6994,0.6806,0.7152,0.4346,0.0769,0.2453,0.3527,0.1174,-2.0840,-0.0893,-0.0416,-1.1575,0.1316,0.1815,0.1479,0.2771,0.5630
17,Operating Income,1651856,- -,31107759,26313359,22599817,43065750,28900525,22429,-709229,4811741,-1564370,-99952073,-14630161,-11403397,-21638458,-2781057,2335960,1975611,9292136,45646166
18,Operating Income ratio,0.1111,- -,0.7151,0.6245,0.5606,0.5247,0.2288,0.0004,-0.0135,0.0784,-0.0298,-2.5528,-0.3600,-0.3026,-0.7613,-0.0648,0.0679,0.0494,0.1743,0.4861
19,Total Other Income Expenses (Gains),- -,- -,2340698,-1595362,-1598,90920,-30577635,-15335613,-4398392,-1753409,-11634371,-3472754,-3288744,-2644586,-22582665,-3313503,-2999356,-3658282,-5250705,-2768942
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13198741,-103424827,-17918905,-14047983,-44221123,-6094560,-663396,-1682671,4041431,42877224
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2515,-2.6415,-0.4410,-0.3728,-1.5558,-0.1420,-0.0193,-0.0420,0.0758,0.4567
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,891628,8426612,30611765,25178454,20069407,40664064,23674018,-15627504,-6605850,1115989,-13198741,-103424827,-17918905,-14047983,-44221123,-6094560,-108890,-1682671,4041431,42877224
24,Net Income ratio,0.0600,0.3365,0.7037,0.5976,0.4978,0.4954,0.1874,-0.2450,-0.1259,0.0182,-0.2515,-2.6415,-0.4410,-0.3728,-1.5558,-0.1420,-0.0032,-0.0420,0.0758,0.4567
25,EPS,6.30,58.78,216.22,163.74,111.96,132.25,54.58,-35.69,-14.69,2.80,-23.79,-159.54,-24.49,-19.12,-45.04,-5.68,-0.80,-1.21,0.58,7.45
26,EPS Diluted,6.30,58.78,216.22,163.74,111.96,131.55,53.88,-35.69,-14.69,2.80,-23.79,-159.54,-24.49,-19.12,-45.04,-5.68,-0.80,-1.21,0.58,7.45
27,Weighted Average Shares Outstanding,141741,141741,141741,153479,179145,308213,434983,438011,441600,443802,556644,649433,783075,801349,1020712,1383440,1414774,2861928,5753917,5753917
28,Weighted Average Shares Outstanding Diluted,141741,141741,141741,153479,179145,309332,435960,438011,441600,444523,556644,649433,783075,801349,1020712,1383440,1414774,2861928,5753917,5753917
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341170/000091957408002886/d8776685_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957409010892/d996968_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957410003759/d1103249_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957411003640/d1199272_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957412002928/d1286452_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957413002931/d1378549_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957414002798/d1473828_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957415003826/d1473828_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957416012713/d7086652_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957417003286/d7425598_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957418003225/d7878614_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957419003020/d8122244_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957420003093/d8498133_20-f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,15497482,20447301,2791107,104135320,73851191,40984549,34273518,31204863,33374960,11400237,25411420,8715636,3208092,4115985,6960258,985418,3559399,26530944
32,Short-Term Investments,- -,- -,- -,- -,- -,2891658,771727,436598,263223,27473,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,15497482,20447301,2791107,107026978,74622918,41421147,34536741,31232336,33374960,11400237,25411420,8715636,3208092,4115985,6960258,985418,3559399,26530944
34,Net Receivables,- -,- -,383668,306303,647080,1915126,7352273,1890369,8257746,3903721,8683725,3319984,3034706,2639663,2302529,3088381,2990120,2285603,3879647,2997614
35,Inventory,- -,- -,303478,371691,716131,1903678,2011973,1869238,1788256,2606535,1812636,1474114,1758930,1464940,1291279,1645209,1704391,1889164,1662422,2185740
36,Other Current Assets,3192345,9409339,276531,4225412,5821278,7461681,8551056,13752486,1822083,1134995,1199091,757663,642324,8764060,3642183,7232793,339399,1136907,589325,1090767
37,Total Current Assets,3192345,9409339,16461159,25350707,9975596,118307463,92538220,58933240,46404826,38877587,45070412,16951998,30847380,21584299,10444083,16082368,11994168,6297092,9690793,32805065
38,PP&E,45254226,41096067,34171164,52334897,95494342,238248984,231963606,257270824,255412434,237063878,206934746,105513859,111150227,121659619,123338370,139162926,48826128,116230333,98458447,183902947
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,1821798,- -,14461167,14458752,16989061,26412066,24857894,23912439,4000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1812551,952613,2205178,1855829,12035321,14634384,14292802,7214230,5399374,5747951,9318578,7738431,23723111,5250606,5911051,7084267,6134267,4334267,2433768,4800000
45,Total Non-Current Assets,47066777,42048680,36376342,54190726,107529663,252883368,248078206,264485054,275272975,257270581,233242385,139664356,159731232,150822664,133249421,146247193,54960395,120564600,100892215,188702947
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,50259122,51458019,52837501,79541433,117505259,371190831,340616426,323418294,321677801,296148168,278312797,156616354,190578612,172406963,143693504,162329561,66954563,126861692,110583008,221508012
48,Accounts Payable,- -,- -,879541,837182,1034713,3789764,2283488,1843182,3950934,1886766,2438716,2336952,2369983,1394874,1864263,1869441,2288525,3899967,2854377,2804194
49,Short-Term Debt,- -,- -,6030000,14430000,18040000,25575000,12450000,14030000,13472000,13332000,15937000,12862000,19512000,14810000,7549218,12170528,4870241,17295320,23145320,29034049
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1908189,1370058,1357501,3774162,4533601,1247782,2114335,2268038,1093317,996599,803649,462124,437322,879916,417634,973774,949364,3293986
52,Other Current Liabilities,- -,- -,4947116,1777637,1233185,2043585,2150426,13322588,5677273,3614207,2898488,2616862,2504597,2698383,1323832,3612712,4016135,2682198,1696721,2012894
53,Total Current Liabilities,- -,- -,13764846,18414877,21665399,35182511,21417515,30443552,25214542,21101011,22367521,18812413,25190229,19365381,11174635,18532597,11592535,24851259,28645782,37145123
54,Long-Term Debt,- -,- -,7960000,34130000,56910000,56015000,43565000,57485000,74913000,61581000,45644000,32782000,34745000,25711040,44366976,60175276,31716549,72187785,46220028,89004951
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,918200,8202972,11404839,4036479,2855267,1544409,675130,319859,30440879,32281949,34045129,1313731,1067500,1714370,362195,18587478
58,Total Non-Current Liabilities,- -,- -,7960000,34130000,57828200,64217972,54969839,61521479,77768267,63125409,46319130,33101859,65185879,57992989,78412105,61489007,32784049,73902155,46582223,107592429
