,https://roic.ai/company/CDIX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,183,585,262,839,- -,890401,1389601,1150251,1744654,2373938,4541142,3453058
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653871,997730,797073,1356408,1627698,2297081,1668146
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,183,585,262,839,- -,236530,391871,353178,388246,746240,2244061,1784912
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,- -,0.2656,0.2820,0.3070,0.2225,0.3143,0.4942,0.5169
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1369743,- -,- -,1528335,713213,686568,593863,- -,- -,- -,- -,- -,- -,- -,3552733,3587789
7,Selling and Marketing Exp.,- -,- -,- -,200000,- -,- -,180000,21159,14446,20929,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1569743,- -,- -,1708335,734372,701014,614792,- -,- -,- -,- -,- -,- -,- -,3552733,3587789
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,162509,718264,474552,820069,- -,12689311,4302247,2512794,2297945,3290533,7318,1274
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,896881,1419278,1089344,820069,- -,12689311,4302247,2512794,2297945,3290533,3560051,3589063
11,COGS and Expenses,- -,5120,5129,1569743,1223372,690979,1884353,896881,1419278,1089344,820069,2908231,13343182,5299977,3309867,3654353,4918231,5857132,5257209
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,7,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1722,- -,147567,93027,97617,228492,264586,329268,906569,521403,505586,61109,32096,48789,708381,1311067,489294,332704
14,Depreciation and Amortization,- -,- -,- -,42502,37522,13023,100699,122009,1090,11571,15752,155,39992,84752,174859,268211,80165,67702,23100
15,EBITDA,- -,-5120,-5129,-1576053,-1222808,-677956,-1999717,-748688,-1958982,-1916671,1133400,-2908076,-13030596,-3827573,-2030844,-4023727,-4874019,-1248288,-1781051
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4091.1913,-3348.6872,-7315.5382,1350.8939,-Infinity,-14.6345,-2.7544,-1.7656,-2.3063,-2.0531,-0.2749,-0.5158
17,Operating Income,- -,-5120,-5129,-1569743,-1223372,-690979,-1884353,-896698,-1418693,-1089082,-819230,-2908231,-12452781,-3910376,-2159616,-2842227,-4304018,-1315990,-1804151
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4899.9891,-2425.1162,-4156.8015,-976.4362,-Infinity,-13.9856,-2.8140,-1.8775,-1.6291,-1.8130,-0.2898,-0.5225
19,Total Other Income Expenses (Gains),- -,- -,- -,-98755,-56069,-97617,216063,28352,-870647,-1745729,1415475,-8074564,-678916,-34045,-94876,-2158092,-1961233,-4756706,-1170256
20,Income Before Tax,- -,- -,- -,-1668498,-1279441,-788596,- -,- -,-2289340,-2834811,596245,-10982795,-13131697,-3944421,-2254492,-5000319,-6265251,- -,- -
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,- -,-3913.4017,-10819.8893,710.6615,-Infinity,-14.7481,-2.8385,-1.9600,-2.8661,-2.6392,- -,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-6842,-7449,-1668498,-1279441,-788596,-1896782,-1135283,-2289340,-2834811,596245,-10982795,-13131697,-3944421,-2254492,-5000319,-6265251,- -,- -
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6203.7322,-3913.4017,-10819.8893,710.6615,-Infinity,-14.7481,-2.8385,-1.9600,-2.8661,-2.6392,- -,- -
25,EPS,- -,-6842.00,-7449.00,-1668498.00,-1279441.00,-788596.00,-1896782.00,-1135283.00,-2289340.00,-2834811.00,198748.33,-199687.18,-3995.04,-779.61,-2254492.00,-1250079.75,-104420.85,-270.60,-3.12
26,EPS Diluted,- -,-6842.00,-7449.00,-1668498.00,-1279441.00,-788596.00,-1896782.00,-1135283.00,-2289340.00,-2834811.00,198748.33,-199687.18,-3995.04,-779.61,-2254492.00,-1250079.75,-104420.85,-270.60,-3.20
27,Weighted Average Shares Outstanding,- -,166130000,166130000,166130000,166130000,166130000,1,1,1,1,3,55,3287,5098,1,4,60,23517,908485
28,Weighted Average Shares Outstanding Diluted,- -,166130000,166130000,166130000,166130000,166130000,1,1,1,1,3,55,3287,5098,1,4,60,23517,908485
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811222/000168316819001141/0001683168-19-001141-index.htm,https://www.sec.gov/Archives/edgar/data/811222/000168316820001188/0001683168-20-001188-index.htm,https://www.sec.gov/Archives/edgar/data/811222/000168316821001166/0001683168-21-001166-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,6431,- -,994,6900,1822,8874,1852,4676,46311,31559,62948,68986,118307,100777,279311
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,6431,- -,994,6900,1822,8874,1852,4676,46311,31559,62948,68986,118307,100777,279311
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3782,54,32008,63061,64345,118125,16377
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42229,46928,3079,3079,- -
36,Other Current Assets,- -,- -,- -,- -,1659,1659,1659,1659,1659,1659,1659,1659,25325,21025,36990,11631,46596,10234,- -
37,Total Current Assets,- -,- -,- -,- -,8090,1659,2653,8559,3481,10533,3511,6335,75418,52638,174175,190606,232327,232215,295688
38,PP&E,- -,- -,- -,37648,15126,2103,1404,1432,3554,34376,155,- -,1137212,1143024,1339672,1094473,984301,1258528,211779
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,932529,- -,2092048,3499963,3499963
