,https://roic.ai/company/PCYO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,96525,25366,498317,916601,869255,204858,225432,204956,234654,271669,265676,282429,260211,264107,282134,284384,1857462,3091140,2323724,452161,1227787,6959199,20361509,25855215,17125000
2,COGS,- -,- -,4000,4800,363809,654946,500165,27792,37496,30844,28164,73898,165187,166012,163406,161808,159693,187984,393271,863271,885683,528759,803306,4161601,13943699,18311157,6402000
3,Gross Profit,- -,- -,92525,20566,134508,261655,369090,177066,187936,174112,206490,197771,100489,116417,96805,102299,122441,96400,1464191,2227869,1438041,-76598,424481,2797598,6417810,7544058,10723000
4,Gross Profit Ratio,- -,- -,0.9586,0.8108,0.2699,0.2855,0.4246,0.8643,0.8337,0.8495,0.8800,0.7280,0.3782,0.4122,0.3720,0.3873,0.4340,0.3390,0.7883,0.7207,0.6189,-0.1694,0.3457,0.4020,0.3152,0.2918,0.6262
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,342886,337831,291133,335297,294514,272875,231229,221872,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2333126,3356863,2699587,1849743,2201744,2855095,3106548,4249315,5139000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",342886,337831,291133,335297,294514,272875,231229,221872,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2333126,3356863,2699587,1849743,2201744,2855095,3106548,4249315,5139000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,958,323777,828675,1356719,1556520,2754822,2609069,2235338,1974680,2424210,2594763,220834,46807,174717,253434,353939,251230,312602,355909,315000
10,Operating Expenses,342886,337831,291133,335297,294514,272875,231229,222830,323777,828675,1356719,1556520,2754822,2609069,2235338,1974680,2424210,2594763,2553960,3403670,2874304,2103177,2555683,3106325,3419150,4605224,5454000
11,COGS and Expenses,342886,337831,295133,340097,658323,927821,731394,250622,361273,859519,1384883,1630418,2920009,2775081,2398744,2136488,2583903,2782747,2947231,4266941,3759987,2631936,3358989,7267926,17362849,22916381,11856000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,16263,- -,- -,- -,- -,- -,84636,67432,53133,53339,34583,26858,43044,241279,257488,206138,298605,178554,59000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,176275,- -,- -,- -,- -,- -,3733000,3620000,3998667,3470523,3520881,1684709,414321,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,4900,3253,2066,1946,1143,- -,- -,4958,4948,80548,7891,20082,368960,382648,293113,166513,212184,220657,220834,46807,174717,253434,353939,251230,312602,355909,1772000
15,EBITDA,-337986,-334578,-351243,-523835,-360129,-82955,-52043,-240189,-139820,-1895108,-1042990,-772778,-6545776,-6544052,-1701957,-1604749,-1805308,-13727481,-408730,1420072,-22246180,-1057173,-1356929,383910,3840555,9275056,28362000
16,EBITDA ratio,-Infinity,-Infinity,-3.6389,-20.6511,-0.7227,-0.0905,-0.0599,-1.1725,-0.6202,-9.2464,-4.4448,-2.8446,-24.6382,-23.1706,-6.5407,-6.0761,-6.3988,-48.2709,-0.2200,0.4594,-9.5735,-2.3380,-1.1052,0.0552,0.1886,0.3587,1.6562
17,Operating Income,-342886,-337831,-198608,-314731,-160006,-11220,137861,-45764,-135841,-654563,-1150972,-1358749,-2654333,-2492652,-2138533,-1872381,-2301769,-14500145,-1089769,-1578458,-1436263,-2179775,-2131202,-308727,2998661,1513375,5269000
18,Operating Income ratio,-Infinity,-Infinity,-2.0576,-12.4076,-0.3211,-0.0122,0.1586,-0.2234,-0.6026,-3.1937,-4.9050,-5.0015,-9.9909,-8.8258,-8.2185,-7.0895,-8.1584,-50.9879,-0.5867,-0.5106,-0.6181,-4.8208,-1.7358,-0.0444,0.1473,0.0585,0.3077
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,128123,- -,2287,- -,-1114243,-15563,401280,253627,-324638,58827,33687,231144,-11503114,-3060676,1267014,-21398955,949516,452359,441407,529291,7405772,21321000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4150445,-311444,-22835218,-1230259,-1678843,132680,3527952,8919147,26590000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.2345,-0.1008,-9.8270,-2.7208,-1.3674,0.0191,0.1733,0.3450,1.5527
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-282000,-1283195,2168793,6480000
23,Net Income,-515446,-455695,-353309,-525781,-361272,-82955,-52043,-245147,-321043,-1975656,-1050881,-792860,-6914736,-6926700,-5728070,-5391262,-6016159,-17418661,-4150445,-311444,-22835218,-1310607,-1710868,414680,4811148,6750354,20110000
24,Net Income ratio,-Infinity,-Infinity,-3.6603,-20.7278,-0.7250,-0.0905,-0.0599,-1.1967,-1.4241,-9.6394,-4.4784,-2.9185,-26.0270,-24.5255,-22.0132,-20.4132,-21.3238,-61.2505,-2.2345,-0.1008,-9.8270,-2.8985,-1.3935,0.0596,0.2363,0.2611,1.1743
25,EPS,-0.10,-0.10,-0.05,-0.07,-0.05,-0.01,-0.01,-0.03,-0.04,-0.22,-0.08,-0.05,-0.37,-0.34,-0.28,-0.27,-0.26,-0.72,-0.17,-0.01,-0.96,-0.06,-0.07,0.02,0.20,0.28,0.84
26,EPS Diluted,-0.10,-0.10,-0.05,-0.07,-0.05,-0.01,-0.01,-0.03,-0.04,-0.22,-0.08,-0.05,-0.37,-0.34,-0.28,-0.27,-0.26,-0.72,-0.17,-0.01,-0.96,-0.06,-0.07,0.02,0.20,0.28,0.83
27,Weighted Average Shares Outstanding,7843976,7843976,7843976,7843976,7843976,7843976,7843976,7843976,7843976,8879771,13674156,14693585,18589737,20188675,20206566,20206566,23168450,24037596,24037596,24037598,24041114,23781041,23754098,23760765,23795973,23845015,23891000
28,Weighted Average Shares Outstanding Diluted,7843976,7843976,7843976,7843976,7843976,7843976,7843976,7843976,7843976,8879771,13674156,14693585,18589737,20188675,20206566,20206566,23168450,24037596,24037596,24037598,24041114,23781041,23754098,23930535,24002836,24061612,24111000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/276720/000110465905057823/a05-20739_110ksb.htm,https://www.sec.gov/Archives/edgar/data/276720/000110465906076952/a06-23975_110k.htm,https://www.sec.gov/Archives/edgar/data/276720/000136231007003014/0001362310-07-003014-index.html,https://www.sec.gov/Archives/edgar/data/276720/000136231008007354/0001362310-08-007354-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012309062329/0000950123-09-062329-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012310104947/0000950123-10-104947-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012311097816/0000950123-11-097816-index.html,https://www.sec.gov/Archives/edgar/data/276720/000119312512484250/0001193125-12-484250-index.html,https://www.sec.gov/Archives/edgar/data/276720/000138713113004505/0001387131-13-004505-index.html,https://www.sec.gov/Archives/edgar/data/276720/000110262414001912/0001102624-14-001912-index.html,https://www.sec.gov/Archives/edgar/data/276720/000119907315000130/0001199073-15-000130-index.html,https://www.sec.gov/Archives/edgar/data/276720/000165495416003152/0001654954-16-003152-index.html,https://www.sec.gov/Archives/edgar/data/276720/000165495417010721/0001654954-17-010721-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036118042948/0001140361-18-042948-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036119020266/0001140361-19-020266-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036120025088/0001140361-20-025088-index.htm,https://www.sec.gov/Archives/edgar/data/276720/000155837021015383/0001558370-21-015383-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,865803,126756,370426,423027,981025,821124,435660,287720,525780,1574201,1973882,374069,6095075,5238973,705083,12017,71795,1623517,2448363,1749558,37089041,4697288,5575823,11565038,4478020,21797358,20117000
32,Short-Term Investments,3429,3429,3429,3429,- -,- -,- -,- -,- -,4055643,3481035,2529406,799802,- -,3002208,1435054,4588535,1101367,- -,- -,- -,23176450,20055345,8717967,5188813,55086743,- -
33,Cash and Short-Term Investments,869232,130185,373855,426456,981025,821124,435660,287720,525780,5629844,5454917,2903475,6894877,5238973,3707291,1447071,4660330,2724884,2448363,1749558,37089041,27873738,25631168,20283005,9666833,76884101,20117000
