,https://roic.ai/company/RIBT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1610222,1286439,1536153,1224229,5564151,18090000,22161000,35224000,33223000,31631000,36957000,37723000,35051000,40108000,39896000,39405000,13355000,14762000,23713000,26199000,31131000
2,COGS,945633,800255,845668,600129,2877801,9130000,9898000,30416000,27054000,24647000,29386000,31651000,31106000,35639000,31826000,31436000,9564000,11780000,24574000,28670000,30689000
3,Gross Profit,664589,486184,690485,624100,2686350,8960000,12263000,4808000,6169000,6984000,7571000,6072000,3945000,4469000,8070000,7969000,3791000,2982000,-861000,-2471000,442000
4,Gross Profit Ratio,0.4127,0.3779,0.4495,0.5098,0.4828,0.4953,0.5534,0.1365,0.1857,0.2208,0.2049,0.1610,0.1126,0.1114,0.2023,0.2022,0.2839,0.2020,-0.0363,-0.0943,0.0142
5,Research and Development Exp.,- -,- -,- -,- -,191374,377000,878000,1509000,897000,123000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3356904,3188431,8917489,24175462,5489394,7536000,24215000,30929000,23925000,17770000,17363000,13690000,13615000,14354000,12567000,14808000,9888000,11194000,13696000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3356904,3188431,8917489,24175462,5489394,7536000,24215000,30929000,23925000,17770000,17363000,13690000,13615000,14354000,12567000,14808000,9888000,11194000,13696000,7971000,7087000
9,Other Expenses,- -,- -,- -,- -,1,- -,2300000,-1199000,9047000,153000,-1800000,- -,- -,2879000,1779000,1268000,- -,- -,- -,- -,- -
10,Operating Expenses,3356904,3188431,8917489,24175462,5680769,7913000,27393000,31239000,33869000,18046000,15563000,13690000,13615000,17233000,14346000,16076000,9888000,11194000,13696000,7971000,7087000
