,https://roic.ai/company/WW,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,399574000,399574000,623900000,809600000,- -,943900000,1151251000,1233300000,1467200000,- -,1535800000,1398900000,1819156000,1826800000,1724100000,- -,1479916000,1164902000,1306911000,1514121000,1413337000,- -,1378124000
2,COGS,201389000,201389000,286400000,370300000,- -,440400000,520682000,557200000,653200000,- -,700800000,670900000,772016000,744000000,723000000,- -,677365000,579401000,614262000,647711000,626655000,- -,600283000
3,Gross Profit,198185000,198185000,337500000,439300000,- -,503500000,630569000,676100000,814000000,- -,835000000,728000000,1047140000,1082800000,1001100000,- -,802551000,585501000,692649000,866410000,786682000,- -,777841000
4,Gross Profit Ratio,0.4960,0.4960,0.5410,0.5426,- -,0.5334,0.5477,0.5482,0.5548,- -,0.5437,0.5204,0.5756,0.5927,0.5807,- -,0.5423,0.5026,0.5300,0.5722,0.5566,- -,0.5644
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,62104000,50743000,142700000,142500000,- -,73897000,- -,137158000,172964000,- -,182463000,371300000,208462000,228487000,244772000,- -,240979000,190292000,412021000,251106000,249793000,- -,297287000
7,Selling and Marketing Exp.,51453000,51453000,- -,- -,- -,113603000,- -,158942000,205336000,- -,227437000,- -,292350000,343513000,295628000,- -,262258000,194398000,- -,226319000,243998000,- -,260727000
8,"Selling, General and Administrative Exp.",113557000,102196000,142700000,142500000,- -,187500000,- -,296100000,378300000,- -,409900000,371300000,500812000,572000000,540400000,- -,503237000,384690000,412021000,477425000,493791000,- -,558014000
9,Other Expenses,- -,8345000,100000,-0,- -,47300000,328077000,1300000,3100000,- -,100000,100000,- -,1300000,21700000,- -,-10540000,- -,22292000,-0,4906000,- -,- -
10,Operating Expenses,113557000,110541000,142800000,142500000,- -,234800000,328077000,297400000,381400000,- -,410000000,371400000,500812000,573300000,562100000,- -,492697000,384690000,434313000,477425000,498697000,- -,558014000
11,COGS and Expenses,314946000,311930000,429200000,512800000,- -,675200000,848759000,854600000,1034600000,- -,1110800000,1042300000,1272828000,1317300000,1285100000,- -,1170062000,964091000,1048575000,1125136000,1125352000,- -,1158297000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66722000,59850000,90537000,103108000,- -,122984000,115160000,112784000,142346000,135267000,- -,123310000
14,Depreciation and Amortization,9286000,10398000,13200000,4700000,- -,5900000,13696000,13400000,19000000,- -,24500000,27900000,30995000,36600000,44900000,- -,49234000,52633000,50880000,44061000,45017000,- -,50677000
15,EBITDA,75368000,76480000,137200000,240200000,- -,238088000,293009000,344017000,345511000,- -,360800000,387507000,574460000,544072000,483348000,- -,355936000,252126000,308941000,430649000,331413000,- -,266528000
16,EBITDA ratio,0.1886,0.1914,0.2199,0.2967,- -,0.2522,0.2545,0.2789,0.2355,- -,0.2349,0.2770,0.3158,0.2978,0.2803,- -,0.2405,0.2164,0.2364,0.2844,0.2345,- -,0.1934
17,Operating Income,84628000,87644000,194689000,296854000,- -,316069000,302492000,380048000,435607000,- -,425047000,356650000,546328000,510805000,460757000,- -,273257000,200811000,267305000,388985000,287985000,- -,216162000
18,Operating Income ratio,0.2118,0.2193,0.3121,0.3667,- -,0.3349,0.2628,0.3082,0.2969,- -,0.2768,0.2550,0.3003,0.2796,0.2672,- -,0.1846,0.1724,0.2045,0.2569,0.2038,- -,0.1569
19,Total Other Income Expenses (Gains),-17712000,-20728000,-67689000,-61354000,- -,-83869000,-23177000,-49448000,-109107000,- -,-90747000,-66450000,-63236000,-93805000,-125357000,- -,-89593000,-116684000,-122225000,-144924000,-137025000,- -,-123659000
20,Income Before Tax,66916000,66916000,127000000,235500000,- -,232200000,279315000,330600000,326500000,- -,334300000,290200000,483092000,417000000,335400000,- -,183664000,84127000,145080000,244061000,150960000,- -,92503000
21,Income Before Tax Ratio,0.1675,0.1675,0.2036,0.2909,- -,0.2460,0.2426,0.2681,0.2225,- -,0.2177,0.2074,0.2656,0.2283,0.1945,- -,0.1241,0.0722,0.1110,0.1612,0.1068,- -,0.0671
22,Income Tax expense (Gain),28323000,28323000,-23200000,91800000,- -,88288000,104913000,120817000,125311000,- -,132000000,115585000,178748000,159535000,130640000,- -,65931000,16634000,-18237000,20493000,31513000,- -,17462000
23,Net Income,37759000,37759000,147200000,143700000,- -,143900000,174400000,209800000,201200000,- -,204300000,177300000,304867000,257400000,204700000,- -,117787000,67699000,163514000,223749000,119616000,- -,75079000
24,Net Income ratio,0.0945,0.0945,0.2359,0.1775,- -,0.1525,0.1515,0.1701,0.1371,- -,0.1330,0.1267,0.1676,0.1409,0.1187,- -,0.0796,0.0581,0.1251,0.1478,0.0846,- -,0.0545
25,EPS,0.20,1.62,1.34,1.35,- -,1.35,1.70,2.13,2.50,- -,2.61,2.30,4.16,4.20,3.65,- -,1.72,1.06,2.54,3.38,1.78,- -,1.11
26,EPS Diluted,0.20,1.59,1.31,1.31,- -,1.31,1.67,2.11,2.48,- -,2.60,2.30,4.11,4.16,3.63,- -,1.72,1.03,2.40,3.19,1.72,- -,1.07
27,Weighted Average Shares Outstanding,182206000,23327000,108676000,105959000,- -,106676000,102747000,98719000,80583000,- -,78250000,77000000,73300000,60300000,56100000,- -,56600000,63700000,64300000,66280000,67188000,- -,67849000
28,Weighted Average Shares Outstanding Diluted,182206000,23678000,110975000,109663000,- -,109724000,104203000,99426000,81107000,- -,78495000,77100000,74100000,60900000,56400000,- -,56700000,65900000,68200000,70115000,69550000,- -,70020000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105319/000104746903010932/0001047469-03-010932-index.html,undefined,https://www.sec.gov/Archives/edgar/data/105319/000104746904008464/0001047469-04-008464-index.html,https://www.sec.gov/Archives/edgar/data/105319/000104746906002530/a2167852z10-k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312507042685/d10k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312508040223/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/105319/000119312509044912/0001193125-09-044912-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312510046833/0001193125-10-046833-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312512082958/0001193125-12-082958-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312513079926/0001193125-13-079926-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312514069945/d644264d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/105319/000119312515076854/d856122d10k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312517065504/0001193125-17-065504-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459018003755/0001564590-18-003755-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459019004487/0001564590-19-004487-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459020006415/0001564590-20-006415-index.html,undefined,https://www.sec.gov/Archives/edgar/data/105319/000156459021008898/0001564590-21-008898-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19515000,- -,23300000,57500000,- -,23400000,31476000,37500000,39800000,- -,47300000,46100000,47469000,70200000,174600000,- -,301212000,108656000,83054000,236974000,182736000,- -,165887000
