,https://roic.ai/company/BLPH,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,38727000,52985000,45978000,- -,- -,- -,- -,- -,17890000,13015000
6,General and Administrative Exp.,- -,9013000,- -,- -,- -,- -,- -,- -,8386000,7146000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,9013000,- -,- -,- -,- -,- -,- -,8386000,7146000
9,Other Expenses,- -,- -,- -,48235000,23757000,24599000,27880000,17473000,- -,- -
10,Operating Expenses,- -,61998000,- -,48235000,23757000,24599000,27880000,17473000,26276000,20161000
11,COGS and Expenses,46227000,61998000,59753000,- -,- -,- -,- -,- -,26276000,- -
12,Interest Income ,- -,- -,79000,109000,95000,184000,378000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,250000,5000
14,Depreciation and Amortization,85000,429000,388000,377000,400000,373000,362000,348000,147000,102000
15,EBITDA,-46142000,-61569000,-59365000,- -,- -,- -,- -,- -,-26129000,-20059000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,-Infinity,-Infinity
17,Operating Income,-46227000,-61998000,-59753000,-46568000,-23757000,-24599000,-27880000,-17473000,-26276000,-20161000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,79000,- -,- -,- -,- -,- -,-577000,21961000
20,Income Before Tax,-46227000,-61998000,-59674000,- -,- -,- -,- -,- -,-26853000,1800000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,-Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-2125000,1800000
23,Net Income,-46227000,-61998000,-59674000,- -,- -,- -,- -,- -,-24728000,- -
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,-Infinity,- -
25,EPS,-53.73,-72.00,-75.19,-56.85,-23.70,-21.15,0.75,-2.95,-3.17,- -
26,EPS Diluted,-53.73,-72.00,-75.19,-56.85,-23.70,-21.15,-5.10,-2.95,-3.17,- -
27,Weighted Average Shares Outstanding,860359,860359,793692,817850,1003846,2596742,3829788,4503375,7797130,7797130
28,Weighted Average Shares Outstanding Diluted,860359,860359,793692,817850,1003846,2596742,4336614,4503375,7797130,7797130
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1600132/000110465915024173/0001104659-15-024173-index.htm,https://www.sec.gov/Archives/edgar/data/1600132/000160013216000025/0001600132-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013217000006/0001600132-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013218000034/0001600132-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013219000056/0001600132-19-000056-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013220000039/blph-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1600132/000155837021002768/0001558370-21-002768-index.htm,https://www.sec.gov/Archives/edgar/data/1600132/000155837022004898/0001558370-22-004898-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,16815000,6260000,14453000,28823000,16645000,9874000,47557000,24736000
32,Short-Term Investments,- -,- -,- -,17807000,5571000,2996000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,16815000,24067000,20024000,31819000,16645000,9874000,47557000,24736000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,319000,1552000,10866000,5385000,6481000,3761000,751000,508000,523000,723000
37,Total Current Assets,319000,1552000,27681000,29452000,26505000,35580000,17396000,10382000,48080000,25459000
38,PP&E,1703000,2084000,1696000,1799000,1399000,1026000,664000,2426000,1673000,930000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1327000,- -,4014000,7158000,1798000,204000,300000,300000,486000,486000
45,Total Non-Current Assets,3030000,2084000,5710000,8957000,3197000,1230000,964000,2726000,2159000,1416000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3349000,3636000,33391000,38409000,29702000,36810000,18360000,13108000,50239000,26875000
48,Accounts Payable,1487000,1368000,376000,1613000,2807000,3853000,2755000,3106000,3725000,1192000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,658000,704000,752000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9724000,12624000,10078000,6460000,3688000,3226000,4784000,3820000,6004000,3108000
53,Total Current Liabilities,11211000,13992000,10454000,8073000,6495000,7079000,7539000,7584000,10433000,5052000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3254000,5381000,- -,- -,5215000,32325000,6965000,1933000,1557000,1000
58,Total Non-Current Liabilities,3254000,5381000,- -,- -,5215000,32325000,6965000,1933000,1557000,204000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2317000,1660000,- -
61,Total Liabilities,14465000,19373000,10454000,8073000,11710000,39404000,14504000,9517000,11990000,5256000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,131000,317000,569000,587000,46000,95000,96000
64,Retained Earnings,-114517000,-176515000,-54219000,-100678000,-124492000,-179310000,-176496000,-189763000,-214491000,-232247000
65,Other Comprehensive Income/Loss,-156000,-859000,-1247000,-19000,- -,-4000,- -,-2212000,- -,- -
66,Other Total Stockholders Equity,103557000,161637000,78403000,130902000,142167000,176151000,179765000,195520000,252645000,253770000
67,Total Stockholders Equity,-11116000,-15737000,22937000,30336000,17992000,-2594000,3856000,3591000,38249000,21619000
68,Total Liabilities And Stockholders Equity,3349000,3636000,33391000,38409000,29702000,36810000,18360000,13108000,50239000,26875000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3349000,3636000,33391000,38409000,29702000,36810000,18360000,13108000,50239000,26875000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1600132/000110465915024173/0001104659-15-024173-index.htm,https://www.sec.gov/Archives/edgar/data/1600132/000160013216000025/0001600132-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013217000006/0001600132-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013218000034/0001600132-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013219000056/0001600132-19-000056-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013220000039/blph-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1600132/000155837021002768/0001558370-21-002768-index.htm,https://www.sec.gov/Archives/edgar/data/1600132/000155837022004898/0001558370-22-004898-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-46227000,-61998000,-59674000,- -,- -,- -,- -,- -,-24728000,-17756000
74,Depreciation and Amortization,85000,429000,388000,377000,400000,373000,362000,348000,147000,102000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1449000,1721000,1839000,1751000,2758000,2841000,2955000,2152000,1633000,1126000
77,Change in Working Capital,5314000,-1548000,29667000,4152000,-1369000,8491000,-18644000,-7059000,34849000,-17240000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-10892000,-12440000,17227000,21379000,20010000,28501000,9857000,2798000,37647000,20407000
82,Other Non-Cash Items,3155000,4165000,-42782000,-52544000,-19002000,-27445000,-168000,-8377000,-31785000,10947000
83,Cash Provided by Operating Activities,-36224000,-57231000,-70562000,-46264000,-17213000,-15740000,-15495000,-12936000,-19884000,-22821000
84,CAPEX,-3478000,-727000,- -,-458000,-22000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-22757000,- -,-5981000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4910000,12221000,8558000,3000000,- -,- -,- -
88,Other Investing Activites,-3478000,-727000,- -,-458000,-22000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3478000,-727000,- -,-18305000,12199000,2577000,3000000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,53827000,13335000,25254000,- -,6236000,54696000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-28000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,39702000,57958000,87377000,187000,-128000,2530000,194000,-69000,2871000,- -
95,Cash Used/Provided by Financing Activities,39702000,57958000,87377000,54014000,13207000,27784000,166000,6167000,57567000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-10555000,8193000,14621000,-12329000,-6769000,37683000,-22821000
98,Cash at the End of Period,- -,- -,16815000,6260000,14453000,28823000,17046000,10277000,47960000,25139000
99,Cash at the Beginning of Period,- -,- -,- -,16815000,6260000,14202000,29375000,17046000,10277000,47960000
100,Free Cash Flow,-39702000,-57958000,-70562000,-46722000,-17235000,-15740000,-15495000,-12936000,-19884000,-22821000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1600132/000110465915024173/0001104659-15-024173-index.htm,https://www.sec.gov/Archives/edgar/data/1600132/000160013216000025/0001600132-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013217000006/0001600132-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013218000034/0001600132-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013219000056/0001600132-19-000056-index.html,https://www.sec.gov/Archives/edgar/data/1600132/000160013220000039/blph-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1600132/000155837021002768/0001558370-21-002768-index.htm,https://www.sec.gov/Archives/edgar/data/1600132/000155837022004898/0001558370-22-004898-index.htm
102,false,,,,,,,,,,
