,https://roic.ai/company/NUWE,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,23432,381761,1253122,2731740,422041,108302,400025,- -,- -,59000,295000,59000,1289000,3553000,4998000,5511000,7441000,7921000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,713000,2763000,3670000,2660000,3384000,3430000
3,Gross Profit,- -,- -,23432,381761,1253122,2731740,422041,108302,400025,- -,- -,59000,295000,59000,576000,790000,1328000,2851000,4057000,4491000
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,1.0000,1.0000,1.0000,0.4469,0.2223,0.2657,0.5173,0.5452,0.5670
5,Research and Development Exp.,- -,- -,461508,2443882,4399633,8732549,5582414,2519132,2947786,11199000,8003000,13504000,16874000,17672000,8109000,1481000,3053000,4672000,3668000,4978000
6,General and Administrative Exp.,- -,- -,621526,1702291,1721482,3133516,3251194,3493817,3067441,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,116684,- -,219114,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,738210,1702291,1940595,3133516,3251194,3493817,3067441,5363000,6866000,9426000,9208000,8345000,8129000,10170000,15311000,16285000,17417000,19039000
9,Other Expenses,- -,- -,23482,28491,348602,653134,905395,849592,604234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,1223200,4174664,6688831,12519198,9739004,6862541,6619460,16562000,14869000,22930000,26082000,26017000,16238000,11651000,18364000,20957000,21085000,24017000
11,COGS and Expenses,- -,- -,1223200,4174664,6688831,12519198,9739004,6862541,6619460,16562000,14869000,22930000,26082000,26017000,16951000,14414000,22034000,23617000,24469000,27447000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,234034,- -,251000,33000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,3993,23833,- -,- -,- -,- -,- -,- -,- -,- -,- -,743000,504000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,23482,28491,34362,54511,74891,56263,51176,50000,138000,185000,277000,325000,697000,769000,232000,239000,376000,488000
15,EBITDA,- -,- -,-1176286,-3764411,-5401347,-9732947,-9242072,-6463942,-6168259,-16512000,-14731000,-22786000,-25559000,-25639000,-14645000,-12607000,-16794000,-17867000,-15451000,-19081000
