,https://roic.ai/company/OLN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1751100000,1707300000,1930000000,2308000000,2509000000,2592000000,2275000000,2376000000,2423000000,2658000000,3150000000,2638000000,2410000000,1426000000,1315000000,1549000000,1271000000,1301000000,1586000000,1997000000,2357700000,3151800000,1276800000,1764500000,1531500000,1585900000,1961100000,2184700000,2515000000,2241200000,2854400000,5550600000,6268400000,6946100000,6110000000,5758000000,8910600000
2,COGS,1262800000,1207000000,1337000000,1670000000,1807000000,1940000000,1717000000,1818000000,2022000000,2013000000,2378000000,1891000000,1742000000,1083000000,1055000000,1196000000,1122000000,1181000000,1406000000,1765000000,1998800000,2797100000,1038300000,1377200000,1222700000,1349900000,1573900000,1748000000,2033700000,1853200000,2486800000,4923700000,5539600000,5822100000,5439200000,5374600000,6616400000
3,Gross Profit,488300000,500300000,593000000,638000000,702000000,652000000,558000000,558000000,401000000,645000000,772000000,747000000,668000000,343000000,260000000,353000000,149000000,120000000,180000000,232000000,358900000,354700000,238500000,387300000,308800000,236000000,387200000,436700000,481300000,388000000,367600000,626900000,728800000,1124000000,670800000,383400000,2294200000
4,Gross Profit Ratio,0.2789,0.2930,0.3073,0.2764,0.2798,0.2515,0.2453,0.2348,0.1655,0.2427,0.2451,0.2832,0.2772,0.2405,0.1977,0.2279,0.1172,0.0922,0.1135,0.1162,0.1522,0.1125,0.1868,0.2195,0.2016,0.1488,0.1974,0.1999,0.1914,0.1731,0.1288,0.1129,0.1163,0.1618,0.1098,0.0666,0.2575
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,10000000,9000000,5000000,5000000,5000000,5000000,4000000,4200000,4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,337000000,385000000,358000000,285000000,123000000,120000000,127000000,116000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",305600000,308300000,326000000,347000000,353000000,382000000,432000000,318000000,383000000,337000000,385000000,358000000,285000000,123000000,120000000,127000000,116000000,115000000,130000000,141000000,176300000,176900000,126400000,137300000,135300000,134400000,161400000,168600000,190000000,170400000,186500000,323200000,350700000,430600000,416900000,422000000,416900000
9,Other Expenses,126000000,110600000,118000000,111000000,122000000,123000000,120000000,123000000,139000000,140000000,142000000,130000000,124000000,78000000,80000000,81000000,- -,- -,-8000000,- -,-9100000,-6700000,-1900000,- -,- -,- -,- -,-300000,-300000,-1300000,-300000,-300000,-200000,-400000,-400000,-900000,-1400000
10,Operating Expenses,431600000,418900000,444000000,458000000,475000000,505000000,552000000,441000000,522000000,477000000,527000000,488000000,438000000,211000000,209000000,213000000,121000000,120000000,127000000,145000000,171400000,174700000,124500000,137300000,135300000,134400000,161400000,168300000,189700000,169100000,186200000,322900000,350500000,430200000,416500000,421100000,415500000
11,COGS and Expenses,1694400000,1625900000,1781000000,2128000000,2282000000,2445000000,2269000000,2259000000,2544000000,2490000000,2905000000,2379000000,2180000000,1294000000,1264000000,1409000000,1243000000,1301000000,1533000000,1910000000,2170200000,2971800000,1162800000,1514500000,1358000000,1484300000,1735300000,1916300000,2223400000,2022300000,2673000000,5246600000,5890100000,6252300000,5855700000,5795700000,7031900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,1100000,1000000,1200000,1000000,600000,1300000,1100000,3400000,1800000,1600000,1000000,500000,200000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,11600000,25400000,30400000,26400000,38600000,43800000,97000000,191900000,217400000,243200000,243200000,292700000,348000000
14,Depreciation and Amortization,- -,- -,- -,- -,122000000,123000000,120000000,123000000,139000000,140000000,142000000,130000000,124000000,78000000,80000000,81000000,87000000,88000000,82000000,73000000,72500000,72100000,48000000,69600000,71700000,86900000,99300000,110900000,135300000,139100000,228900000,533500000,558900000,601400000,597400000,568400000,582500000
15,EBITDA,-257000000,114900000,127000000,151000000,314000000,239000000,95000000,165000000,-11000000,281000000,359000000,568000000,358000000,141000000,111000000,212000000,74000000,61000000,62000000,156000000,291700000,273500000,88700000,340400000,293200000,189200000,509100000,362500000,423900000,346300000,332600000,691200000,893500000,1281900000,803700000,-158900000,2469200000
16,EBITDA ratio,-0.1468,0.0673,0.0658,0.0654,0.1251,0.0922,0.0418,0.0694,-0.0045,0.1057,0.1140,0.2153,0.1485,0.0989,0.0844,0.1369,0.0582,0.0469,0.0391,0.0781,0.1237,0.0868,0.0695,0.1929,0.1914,0.1193,0.2596,0.1659,0.1685,0.1545,0.1165,0.1245,0.1425,0.1845,0.1315,-0.0276,0.2771
17,Operating Income,56700000,81400000,149000000,180000000,227000000,147000000,6000000,117000000,-121000000,168000000,245000000,259000000,230000000,132000000,51000000,140000000,-11000000,- -,22000000,77000000,187200000,162400000,114000000,252400000,182600000,69900000,223900000,258900000,286500000,203400000,100700000,152600000,331000000,676900000,177800000,-746700000,1850800000
18,Operating Income ratio,0.0324,0.0477,0.0772,0.0780,0.0905,0.0567,0.0026,0.0492,-0.0499,0.0632,0.0778,0.0982,0.0954,0.0926,0.0388,0.0904,-0.0087,- -,0.0139,0.0386,0.0794,0.0515,0.0893,0.1430,0.1192,0.0441,0.1142,0.1185,0.1139,0.0908,0.0353,0.0275,0.0528,0.0975,0.0291,-0.1297,0.2077
19,Total Other Income Expenses (Gains),-338700000,33500000,-22000000,-29000000,-35000000,-31000000,-31000000,-29000000,-29000000,-27000000,-28000000,187000000,4000000,-73000000,-24000000,-9000000,-2000000,-4000000,-17000000,2000000,38400000,39000000,36700000,5100000,27300000,7000000,155500000,-33700000,-36500000,-40700000,-94000000,-186800000,-213800000,-239600000,-214700000,-273300000,-312100000
