,https://roic.ai/company/OBAS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20400000,26054000,30699000,29432000,20424000,19377000,20848000,22388000,17977000,22977000,19901000,13421000,1650000,12479000,13676000,13711000,13938000,15273000,16338000,16587000,16608000,16144000,14874000
2,COGS,7300000,9908000,13100000,15016000,10266000,8508000,9360000,10100000,7716000,11387000,9754000,6662000,59000,1869000,1966000,2199000,2777000,2958000,3159000,3057000,2991000,2948000,2548000
3,Gross Profit,13100000,16146000,17599000,14416000,10158000,10869000,11488000,12288000,10261000,11590000,10147000,6759000,1591000,10610000,11710000,11512000,11161000,12315000,13179000,13530000,13617000,13196000,12326000
4,Gross Profit Ratio,0.6422,0.6197,0.5733,0.4898,0.4974,0.5609,0.5510,0.5489,0.5708,0.5044,0.5099,0.5036,0.9642,0.8502,0.8562,0.8396,0.8008,0.8063,0.8066,0.8157,0.8199,0.8174,0.8287
5,Research and Development Exp.,2300000,3078000,6247000,15562000,8128000,4839000,6264000,4639000,4208000,5362000,6375000,3725000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10976000,15770000,10041000,9901000,12694000,12744000,10422000,10171000,2931000,2601000,1502000,3057000,2068000,1870000,2167000,1849000,2615000,2698000,3500000,3047000,2523000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8964000,5763000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7600000,8543000,10976000,15770000,10041000,9901000,12694000,12744000,10422000,10171000,11895000,8364000,1502000,3057000,2068000,1870000,2167000,1849000,2615000,2698000,3500000,3047000,2523000
9,Other Expenses,1400000,1211000,- -,20933000,- -,- -,2011000,- -,- -,- -,- -,- -,695000,2153000,2569000,3369000,3813000,3925000,4244000,4209000,4317000,4321000,3946000
10,Operating Expenses,11300000,12832000,17223000,52265000,18169000,14740000,20969000,17383000,14630000,15533000,18270000,12089000,2197000,5210000,4637000,5239000,5980000,5774000,6859000,6907000,7817000,7368000,6469000
11,COGS and Expenses,18600000,22740000,30323000,67281000,28435000,23248000,30329000,27483000,22346000,26920000,28024000,18751000,2256000,7079000,6603000,7438000,8757000,8732000,10018000,9964000,10808000,10316000,9017000
12,Interest Income ,- -,- -,5083000,3343000,3713000,3836000,5668000,1583000,1602000,804000,214000,680000,612000,35000,44000,7000,3000,18000,2000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,2468000,- -,181000,- -,- -,164000,359000,79000,63000,308000,7516000,2228000,2486000,2109000,2658000,3172000,3143000,2827000,2546000,2472000
14,Depreciation and Amortization,1400000,1211000,1616000,8320000,- -,1296000,1105000,1109000,1106000,1244000,1090000,1047000,696000,2220000,2569000,3369000,3813000,3925000,4244000,4209000,4317000,4321000,3946000
15,EBITDA,3000000,5565000,-7346000,-28246000,-12787000,3310000,-2575000,-2336000,-1850000,-5497000,-8376000,1170000,5501000,9978000,8017000,8838000,10763000,7124000,9238000,7831000,5827000,6346000,15013000
16,EBITDA ratio,0.1471,0.2136,-0.2393,-0.9597,-0.6261,0.1708,-0.1235,-0.1043,-0.1029,-0.2392,-0.4209,0.0872,3.3339,0.7996,0.5862,0.6446,0.7722,0.4664,0.5654,0.4721,0.3509,0.3931,1.0093
17,Operating Income,1800000,3314000,-14054000,-39913000,-15307000,-3871000,-10281000,-5304000,-4369000,-3943000,-8123000,-5330000,-606000,5400000,7073000,6273000,7890000,4189000,6320000,6623000,5800000,5828000,14984000
18,Operating Income ratio,0.0882,0.1272,-0.4578,-1.3561,-0.7495,-0.1998,-0.4931,-0.2369,-0.2430,-0.1716,-0.4082,-0.3971,-0.3673,0.4327,0.5172,0.4575,0.5661,0.2743,0.3868,0.3993,0.3492,0.3610,1.0074
19,Total Other Income Expenses (Gains),-200000,295000,-14421000,879000,3699000,5704000,6601000,67000,-204000,-358000,488000,617000,-296000,-3069000,-1375000,-1131000,-943000,-1409000,-2250000,-2172000,-2275000,-1908000,-1327000
20,Income Before Tax,- -,- -,- -,-39034000,-11608000,1833000,-3680000,- -,- -,-4301000,-7635000,-4713000,-902000,2331000,5698000,5142000,6947000,2780000,4070000,4451000,3525000,3920000,13657000
21,Income Before Tax Ratio,- -,- -,- -,-1.3262,-0.5684,0.0946,-0.1765,- -,- -,-0.1872,-0.3836,-0.3512,-0.5467,0.1868,0.4166,0.3750,0.4984,0.1820,0.2491,0.2683,0.2122,0.2428,0.9182
22,Income Tax expense (Gain),- -,- -,- -,67000,124000,- -,- -,- -,- -,73000,- -,- -,43000,481000,1643000,1518000,1502000,1609000,1627000,1602000,1464000,1472000,2162000
23,Net Income,1600000,4354000,-8962000,-39101000,-12911000,1833000,-3680000,-3445000,-3120000,-7173000,-9545000,60000,4454000,-239000,1577000,1465000,3339000,-1068000,195000,-1123000,-2781000,-1993000,6433000
24,Net Income ratio,0.0784,0.1671,-0.2919,-1.3285,-0.6321,0.0946,-0.1765,-0.1539,-0.1736,-0.3122,-0.4796,0.0045,2.6994,-0.0192,0.1153,0.1068,0.2396,-0.0699,0.0119,-0.0677,-0.1674,-0.1235,0.4325
25,EPS,0.42,0.64,-0.79,-3.24,-1.06,0.15,-0.28,-0.26,-0.23,-0.53,-0.61,0.00,0.27,-0.02,0.41,0.38,0.65,-0.21,0.04,-0.22,-0.54,-0.38,1.24
26,EPS Diluted,0.26,0.53,-0.79,-3.24,-1.06,0.14,-0.28,-0.26,-0.23,-0.53,-0.61,0.00,0.27,-0.02,0.41,0.38,0.65,-0.21,0.04,-0.22,-0.54,-0.38,1.24
27,Weighted Average Shares Outstanding,6390000,6796000,12139000,12068210,12203000,12510000,13069000,13188000,13431000,13602000,15159000,16534000,16555000,18210000,3818198,3822000,5126616,5133000,5147130,5180000,5185000,5186273,5186000
28,Weighted Average Shares Outstanding Diluted,6390000,8207000,12139000,12068210,12203000,13062000,13069000,13188000,13431000,13602000,15159000,16540000,16683000,18210000,3820233,3826000,5131072,5133000,5157165,5180000,5185000,5186273,5186000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077618/000117891304000624/zk40710.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077618/000117891310001714/zk1008478.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891311001165/zk1109769.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891312001226/zk1211367.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891313000714/0001178913-13-000714-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891314001463/zk1414812.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891315001118/zk1516525.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891316004951/0001178913-16-004951-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891317000981/0001178913-17-000981-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891318000984/0001178913-18-000984-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891319000973/0001178913-19-000973-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891320000989/0001178913-20-000989-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,32795000,5764000,45320000,6430000,5785000,1919000,2316000,10547000,11386000,28651000,30260000,22945000,19142000,18811000,22902000,23806000,16024000,20268000,13836000,12564000,28820000
32,Short-Term Investments,- -,- -,26651000,37225000,- -,48503000,46695000,17502000,42015000,8474000,- -,- -,- -,1065000,- -,- -,39000,6000,6000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,59446000,42989000,45320000,54933000,52480000,19421000,44331000,19021000,11386000,28651000,30260000,24010000,19142000,18811000,22941000,23812000,16030000,20268000,13836000,12564000,28820000
34,Net Receivables,- -,- -,9897000,5567000,4227000,4338000,4478000,3590000,5041000,5540000,3931000,6830000,20000,752000,205000,336000,323000,358000,335000,471000,715000,1051000,747000
35,Inventory,- -,- -,4408000,5568000,4237000,3652000,4893000,4101000,4147000,5321000,4373000,2356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,557000,- -,243000,316000,516000,932000,43000,- -,- -,1280000,1275000,1274000,900000,1320000,131000,407000,659000,63000,29872000,3437000
37,Total Current Assets,- -,- -,73751000,54681000,53784000,63166000,62167000,27628000,54451000,29925000,19690000,37837000,31560000,26037000,20621000,20047000,24584000,24301000,16772000,21398000,14614000,43487000,33004000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19354000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,140000,- -,- -,- -,- -,- -,634000,552000,1512000,1392000,1141000,609000,470000,245000,140000,141000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,140000,- -,- -,- -,- -,- -,634000,552000,1512000,1392000,1141000,609000,470000,245000,140000,141000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,29000000,5000000,20000000,26388000,2163000,257000,156000,7993000,7738000,7553000,20663000,22892000,17556000,14377000,11657000,9269000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,42268000,16856000,5924000,3618000,3819000,1718000,1523000,2007000,1228000,3362000,32357000,192180000,194876000,209822000,185258000,217510000,210475000,220209000,214826000,184163000,192152000
45,Total Non-Current Assets,- -,- -,42268000,16856000,5924000,3758000,3819000,30718000,6523000,22007000,27616000,25513000,33166000,193848000,204261000,218701000,193420000,238643000,233612000,237905000,229344000,195820000,201693000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,116019000,71537000,59708000,66924000,65986000,58346000,60974000,51932000,47306000,63350000,64726000,219885000,224882000,238748000,218004000,262944000,250384000,259303000,243958000,239307000,234697000
48,Accounts Payable,- -,- -,6767000,2204000,2064000,1470000,2685000,2413000,2822000,2753000,2276000,1095000,31000,27000,57000,2400000,3637000,123000,498000,697000,511000,591000,397000
49,Short-Term Debt,- -,- -,180000,207000,129000,2165000,503000,1222000,3636000,634000,- -,365000,400000,2529000,2597000,2669000,2401000,8535000,10360000,6048000,5788000,28803000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,538000,165000,- -,165000,1770000,731000,1703000,390000,884000,709000,- -,- -,45000,483000,313000,848000,607000,684000,649000,504000,397000
52,Other Current Liabilities,- -,- -,9381000,6979000,6360000,6566000,8032000,6922000,5948000,6050000,6920000,6315000,4714000,7120000,5937000,4383000,3733000,4435000,5210000,5042000,5004000,6136000,12024000
53,Total Current Liabilities,- -,- -,16866000,9555000,8553000,10366000,12990000,11288000,14109000,9827000,10080000,8484000,5145000,9676000,8636000,9935000,10084000,13941000,16675000,12471000,11952000,36034000,12818000
54,Long-Term Debt,- -,- -,271000,- -,- -,- -,- -,- -,- -,- -,- -,17897000,19189000,123606000,124298000,125072000,110080000,152565000,139421000,149133000,138521000,111251000,112923000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14608000,15262000,15815000,14237000,14178000,13620000,14042000,13752000,13801000,15095000
57,Other Non-Current Liabilities,- -,- -,1467000,1723000,1660000,2080000,2169000,2222000,2371000,2941000,2215000,1731000,- -,10734000,10134000,9002000,6528000,6676000,6540000,6589000,6340000,6367000,7200000
58,Total Non-Current Liabilities,- -,- -,1738000,1723000,1660000,2080000,2169000,2222000,2371000,2941000,2215000,19628000,19189000,148948000,149694000,149889000,130845000,173419000,159581000,169764000,158613000,131419000,135218000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7290000,7374000,6528000,6412000,6133000,6295000,6134000,6598000,7366000
61,Total Liabilities,- -,- -,18604000,11278000,10213000,12446000,15159000,13510000,16480000,12768000,12295000,28112000,24334000,158624000,158330000,159824000,140929000,187360000,176256000,182235000,170565000,167453000,148036000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,486000,495000,- -,524000,528000,533000,539000,541000,650000,650000,650000,744000,744000,988000,988000,988000,993000,993000,994000,994000,994000
64,Retained Earnings,- -,- -,-12185000,-51286000,- -,-62364000,-66044000,-69489000,-72609000,-80030000,-89825000,-89799000,-85391000,-85730000,-84259000,-82901000,-79672000,-80905000,-80925000,-82048000,-84829000,-86822000,-80389000
65,Other Comprehensive Income/Loss,- -,- -,-4845000,-6294000,-6294000,-8911000,-8841000,-9552000,-9492000,-10679000,-11769000,-12600000,-11331000,-2722000,-5217000,-8478000,-11283000,-14902000,-18792000,-23217000,- -,- -,- -
