,https://roic.ai/company/NX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,699314000,891195000,895710000,746093000,797490000,810094000,934203000,924353000,994387000,1031215000,1460268000,1969007000,2032572000,2049021000,868933000,585010000,798314000,848294000,828976000,952642000,595384000,645528000,928184000,866555000,889785000,893841000,851573000,1072149000
2,COGS,613553000,778067000,772371000,609989000,647179000,639911000,766119000,769328000,812949000,867782000,1245639000,1512980000,1617399000,1671052000,717376000,489348000,660849000,712091000,703844000,799077000,464584000,499097000,710644000,672162000,696567000,694420000,658750000,831541000
3,Gross Profit,85761000,113128000,123339000,136104000,150311000,170183000,168084000,155025000,181438000,163433000,214629000,456027000,415173000,377969000,151557000,95662000,137465000,136203000,125132000,153565000,130800000,146431000,217540000,194393000,193218000,199421000,192823000,240608000
4,Gross Profit Ratio,0.1226,0.1269,0.1377,0.1824,0.1885,0.2101,0.1799,0.1677,0.1825,0.1585,0.1470,0.2316,0.2043,0.1845,0.1744,0.1635,0.1722,0.1606,0.1509,0.1612,0.2197,0.2268,0.2344,0.2243,0.2172,0.2231,0.2264,0.2244
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95504000,60466000,71954000,83994000,111577000,109325000,82150000,86536000,114910000,97981000,103535000,101292000,89707000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95504000,60466000,71954000,83994000,111577000,109325000,82150000,86536000,114910000,97981000,103535000,101292000,89707000,115967000
9,Other Expenses,44359000,46647000,56798000,81096000,89547000,98426000,172046000,97709000,98138000,99638000,115672000,163252000,163779000,373915000,35072000,32715000,28214000,33932000,37596000,60504000,33869000,35220000,53146000,57495000,51822000,49586000,47229000,42732000
10,Operating Expenses,44359000,46647000,56798000,81096000,89547000,98426000,172046000,97709000,98138000,99638000,115672000,163252000,163779000,373915000,130576000,93181000,100168000,117926000,149173000,169829000,116019000,121756000,168056000,155476000,155357000,150878000,136936000,158699000
11,COGS and Expenses,657912000,824714000,829169000,691085000,736726000,738337000,938165000,867037000,911087000,967420000,1361311000,1676232000,1781178000,2044967000,847952000,582529000,761017000,830017000,853017000,968906000,580603000,620853000,878700000,827638000,851924000,845298000,795686000,990240000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311000,- -,63000,119000,64000,106000,86000,69000,63000,28000,5000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453000,440000,449000,454000,640000,562000,991000,36498000,9595000,11100000,9643000,5245000,2530000
14,Depreciation and Amortization,28535000,32433000,38416000,37865000,42400000,45883000,48445000,43910000,43987000,46415000,50603000,65987000,71657000,77308000,35111000,215346000,28283000,34000000,37666000,60504000,36910000,35220000,53146000,57495000,51822000,49586000,47229000,42732000
15,EBITDA,61038000,88792000,92601000,121974000,49482000,106647000,33397000,89332000,125601000,112238000,141115000,327540000,322343000,284372000,66475000,35672000,67122000,49952000,12935000,42943000,72174000,59843000,84020000,92592000,88375000,23275000,102774000,125356000
16,EBITDA ratio,0.0873,0.0996,0.1034,0.1635,0.0620,0.1316,0.0357,0.0966,0.1263,0.1088,0.0966,0.1663,0.1586,0.1388,0.0765,0.0610,0.0841,0.0589,0.0156,0.0451,0.1212,0.0927,0.0905,0.1069,0.0993,0.0260,0.1207,0.1169
17,Operating Income,41402000,66481000,66541000,55008000,2264000,71757000,-3962000,57316000,83300000,63795000,99411000,292775000,251394000,4054000,20981000,-180081000,37297000,16478000,-24953000,-17729000,14276000,24675000,36353000,34367000,36375000,-26427000,55265000,81870000
