,https://roic.ai/company/SNN,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,609395934,709766122,1023738594,1077374946,1139441592,1407546005,1481419109,1300866031,1403319330,1508059347,1585852030,1831010035,1732625802,1748526849,1811666882,1694796272,1575172000,1788604000,2105357143,2393624000,1407000000,2779000104,3369000908,3800999532,3772000000,3962000000,4270000000,4137000000,4351000000,4617000000,4634000000,4669000000,4765000000,4904000000,5138000000,4560000000,5212000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,509961000,531634000,616071429,641879000,361000000,768999087,994000224,1077000272,1030000000,1031000000,1140000000,1070000000,1100000000,1162000000,1143000000,1272000000,1248000000,1298000000,1338000000,1396000000,1543000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1065211000,1256970000,1489285714,1751745000,1046000000,2010001017,2375000684,2723999259,2742000000,2931000000,3130000000,3067000000,3251000000,3455000000,3491000000,3397000000,3517000000,3606000000,3800000000,3164000000,3669000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6763,0.7028,0.7074,0.7318,0.7434,0.7233,0.7050,0.7167,0.7269,0.7398,0.7330,0.7414,0.7472,0.7483,0.7533,0.7276,0.7381,0.7353,0.7396,0.6939,0.7040
5,Research and Development Exp.,- -,- -,- -,- -,23785498,22785623,32791945,37797987,36855596,43044790,45338711,45429260,70726444,69265357,71541207,73120228,69303382,74121000,98785000,119642857,127302000,67000000,166000942,142000606,151999852,155000000,151000000,167000000,171000000,231000000,235000000,222000000,230000000,223000000,237000000,292000000,279000000,356000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750089000,872144000,255357143,1171026000,-523000000,- -,- -,- -,1864000000,1860000000,2101000000,443000000,451000000,464000000,369000000,314000000,351000000,367000000,403000000,387000000,2720000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,853571429,- -,1212000000,1137000039,48000092,1395000154,- -,- -,- -,1440000000,1535000000,1670000000,1735000000,1712000000,1781000000,1820000000,1911000000,1773000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750089000,872144000,1108928571,1171026000,689000000,1137000039,48000092,1395000154,1864000000,1860000000,2101000000,1883000000,1986000000,2134000000,2104000000,2026000000,2132000000,2187000000,2314000000,2160000000,2720000000
9,Other Expenses,- -,609395934,709766122,1023738594,1053589448,1116655969,1374754060,1078178212,1067750595,1137210816,970404765,1285617158,1447751481,1380513126,1439953523,1572246668,1533934759,15144000,43188000,-135714286,39203000,6000000,147000124,1554999789,453997446,- -,- -,- -,94000000,152000000,191000000,270000000,239000000,202000000,176000000,204000000,234000000,- -
10,Operating Expenses,- -,609395934,709766122,1023738594,1077374946,1139441592,1407546005,1115976198,1104606191,1180255606,1015743477,1331046418,1518477926,1449778483,1511494730,1645366895,1603238141,839354000,1014117000,1092857143,1337531000,762000000,1450001105,1745000486,2000997452,2019000000,2011000000,2268000000,2148000000,2369000000,2560000000,2596000000,2495000000,2557000000,2600000000,2810000000,2673000000,3076000000
11,COGS and Expenses,- -,609395934,709766122,1023738594,1077374946,1139441592,1407546005,1115976198,1104606191,1180255606,1015743477,1331046418,1518477926,1449778483,1511494730,1645366895,1603238141,1349315000,1545751000,1708928571,1979410000,1123000000,2219000192,2739000710,3077997724,3049000000,3042000000,3408000000,3218000000,3469000000,3722000000,3739000000,3767000000,3805000000,3898000000,4148000000,4069000000,4619000000
12,Interest Income ,- -,17143763,18036131,27167294,21983566,30808729,53624474,49586468,37007265,26329803,17979144,10352927,7363770,14216756,13445099,16662353,6571872,- -,- -,19642857,32223416,15000000,24001343,19000873,4998710,2000000,3000000,4000000,11000000,14000000,13000000,11000000,6000000,6000000,8000000,10000000,6000000,6000000
13,Interest Expense (Gain),- -,26219872,24097454,44966556,47030417,55038511,84487481,65304442,40647324,35500858,16884762,17460906,17125047,20663889,16266910,11162159,17027124,- -,20455827,35714286,- -,10000000,6999165,33000565,70999758,42000000,18000000,12000000,72000000,21000000,45000000,63000000,68000000,67000000,71000000,75000000,75000000,80000000
14,Depreciation and Amortization,- -,20169133,24688803,35598524,33335736,36745828,51116855,52954605,49292464,53251287,57220581,61190432,72781450,67446935,81998506,87841336,79161190,87809000,119573000,107142857,162195000,99000000,166000942,228000435,258999651,298000000,273000000,297000000,312000000,361000000,427000000,493000000,463000000,447000000,435000000,502000000,562000000,581000000
15,EBITDA,- -,147954994,179178617,279729451,289930806,298940950,343736739,236705213,313803406,332672623,65506621,351844984,395931089,340044965,321520458,393587421,492292986,369730000,426714827,550000000,503264000,366000000,1074001669,730001728,893999089,1010000000,1186000000,1157000000,1484000000,1184000000,1186000000,1115000000,1593000000,1393000000,1287000000,1320000000,883000000,1247000000
16,EBITDA ratio,- -,0.2428,0.2524,0.2732,0.2691,0.2624,0.2442,0.1598,0.2412,0.2371,0.0434,0.2219,0.2162,0.1963,0.1839,0.2173,0.2905,0.2347,0.2386,0.2612,0.2103,0.2601,0.3865,0.2167,0.2352,0.2678,0.2993,0.2710,0.3587,0.2721,0.2569,0.2406,0.3412,0.2923,0.2624,0.2569,0.1936,0.2393
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,252610307,214915141,238595349,215124369,253105878,311504607,269291807,209975932,178432768,214780738,225856000,242853000,353571429,414215000,237000000,536999853,493000774,630000728,723000000,920000000,862000000,846000000,810000000,749000000,628000000,801000000,934000000,863000000,815000000,295000000,593000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,0.1705,0.1652,0.1700,0.1426,0.1596,0.1701,0.1554,0.1201,0.0985,0.1267,0.1434,0.1358,0.1679,0.1730,0.1684,0.1932,0.1463,0.1657,0.1917,0.2322,0.2019,0.2045,0.1862,0.1622,0.1355,0.1716,0.1960,0.1760,0.1586,0.0647,0.1138
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-121065828,19565316,5325129,-223723090,20087768,-5480015,-17357667,13279110,116151158,181323934,-15580000,43833000,-16071429,-73145000,3000000,13000973,-24000046,-66001048,-53000000,-25000000,-14000000,254000000,-8000000,-35000000,-69000000,261000000,-55000000,-82000000,-72000000,-49000000,-7000000
20,Income Before Tax,- -,101710054,130392360,199164371,214790255,223042362,254812700,131544478,234480457,243920478,-8598721,273193646,306024592,251934140,223255042,294583926,396104672,210276000,286686000,337500000,341070000,240000000,550000825,469000728,563999680,670000000,895000000,848000000,1100000000,802000000,714000000,559000000,1062000000,879000000,781000000,743000000,246000000,586000000
21,Income Before Tax Ratio,- -,0.1669,0.1837,0.1945,0.1994,0.1957,0.1810,0.0888,0.1802,0.1738,-0.0057,0.1723,0.1671,0.1454,0.1277,0.1626,0.2337,0.1335,0.1603,0.1603,0.1425,0.1706,0.1979,0.1392,0.1484,0.1776,0.2259,0.1986,0.2659,0.1843,0.1546,0.1206,0.2275,0.1845,0.1593,0.1446,0.0539,0.1124
22,Income Tax expense (Gain),- -,33135004,41098726,58643884,64328961,59531451,65005208,43785786,67947765,83131176,75668746,98893628,99325273,63975402,67723463,125048531,86181145,93197000,106037000,100000000,101036000,70000000,155999891,153000794,186999568,198000000,280000000,266000000,371000000,246000000,213000000,149000000,278000000,112000000,118000000,143000000,-202000000,62000000
23,Net Income,- -,68430986,89293634,140520488,145235693,147625160,143127194,74660379,155915854,160789302,-84267467,174300019,206699318,187958738,155531579,169535395,309923527,188724000,180649000,307142857,240033000,187000000,745001671,315999934,377000112,472000000,615000000,582000000,729000000,556000000,501000000,410000000,784000000,767000000,663000000,600000000,448000000,524000000
24,Net Income ratio,- -,0.1123,0.1258,0.1373,0.1348,0.1296,0.1017,0.0504,0.1199,0.1146,-0.0559,0.1099,0.1129,0.1085,0.0890,0.0936,0.1829,0.1198,0.1010,0.1459,0.1003,0.1329,0.2681,0.0938,0.0992,0.1251,0.1552,0.1363,0.1762,0.1278,0.1085,0.0885,0.1679,0.1610,0.1352,0.1168,0.0982,0.1005
25,EPS,- -,0.20,0.16,0.18,0.18,0.18,0.18,0.09,0.19,0.19,-0.10,0.19,0.23,0.21,0.17,0.19,0.30,0.20,0.20,0.57,0.57,0.71,1.58,0.68,0.85,1.07,1.39,1.31,1.63,1.23,1.12,0.92,1.76,1.76,1.52,1.37,1.03,1.20
26,EPS Diluted,- -,0.20,0.16,0.18,0.18,0.18,0.18,0.09,0.19,0.19,-0.10,0.19,0.23,0.21,0.17,0.19,0.29,0.20,0.19,0.56,0.56,0.71,1.58,0.68,0.85,1.07,1.38,1.30,1.62,1.23,1.11,0.91,1.76,1.75,1.51,1.37,1.02,1.19
27,Weighted Average Shares Outstanding,- -,333825600,551875900,778108200,791199400,802245100,811654400,817381800,823109200,842746000,889383400,896747200,904111000,908202000,910656600,913111200,1034000000,921000000,925681000,465000000,467500000,465000000,470500000,461500000,443000000,441947566,444000000,445500000,448500000,450500000,446500000,601500000,444948922,436788155,436184210,437317784,436647173,438127090
28,Weighted Average Shares Outstanding Diluted,- -,333825600,551875900,778108200,791199400,802245100,811654400,817381800,823109200,842746000,889383400,896747200,904111000,910656600,912293000,915565800,1040000000,929551242,954242928,468000000,470500000,471500000,472000000,464000000,445000000,442776735,444500000,447500000,450500000,453000000,449730700,601500000,446469248,437286203,437912814,438596491,437500000,438860972
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845982/000119312505052156/0001193125-05-052156-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312506050236/0001193125-06-050236-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312507066772/0001193125-07-066772-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312508066724/0001193125-08-066724-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312509065333/0001193125-09-065333-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312510068337/0001193125-10-068337-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312511055004/0001193125-11-055004-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312512091365/0001193125-12-091365-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312513082636/0001193125-13-082636-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312514085518/0001193125-14-085518-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312515077206/0001193125-15-077206-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312516492258/0001193125-16-492258-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312517070682/0001193125-17-070682-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837018001490/0001558370-18-001490-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837019001461/0001558370-19-001461-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837020001838/0001558370-20-001838-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36259000,46428571,62501000,88000000,346000212,169999990,145000492,192000000,207000000,184000000,178000000,137000000,93000000,120000000,100000000,169000000,365000000,277000000,1762000000,1290000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36259000,46428571,62501000,88000000,346000212,169999990,145000492,192000000,207000000,184000000,178000000,137000000,93000000,120000000,100000000,169000000,365000000,277000000,1762000000,1290000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369839000,412500000,546210000,355000000,618999041,834000588,879000044,933000000,923000000,859000000,901000000,1006000000,1181000000,1217000000,1244000000,1304000000,1395000000,1614000000,1691000000,1844000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,452348000,535714286,693643000,367000000,679998772,914999237,961000462,946000000,1024000000,1037000000,1065000000,1113000000,1166000000,1138000000,1185000000,1258000000,1317000000,1328000000,1211000000,1290000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,858446000,994642857,1302354000,810000000,1644998024,1918999814,1985000998,2071000000,2154000000,2080000000,2144000000,2256000000,2440000000,2475000000,2529000000,2731000000,3077000000,3219000000,4664000000,4424000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412222000,475000000,541609000,343000000,634999936,741999743,724999542,753000000,787000000,783000000,793000000,816000000,891000000,932000000,982000000,1049000000,1062000000,1323000000,1449000000,1513000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000000,640000000,1225000000,1189000000,1093000000,1101000000,1096000000,1186000000,1256000000,2027000000,2012000000,2188000000,2371000000,2337000000,2789000000,2928000000,2989000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624456000,512500000,636894000,53000000,191000101,418999122,376000026,412000000,426000000,423000000,1064000000,1054000000,1747000000,1502000000,1411000000,1371000000,1210000000,1567000000,1486000000,1398000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624456000,512500000,636894000,392000000,831000101,1643999122,1565000026,1505000000,1527000000,1519000000,2250000000,2310000000,3774000000,3514000000,3599000000,3742000000,3547000000,4356000000,4414000000,4387000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76785714,129660887,76000000,109999772,135999590,213999599,202000000,224000000,223000000,164000000,145000000,77000000,105000000,97000000,127000000,126000000,150000000,202000000,201000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98946000,266071429,111714113,133000000,9999087,20000707,18998888,34000000,41000000,142000000,291000000,292000000,124000000,141000000,137000000,217000000,247000000,251000000,283000000,395000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1135624000,1330357143,1419878000,944000000,1585998896,2541999163,2522998055,2494000000,2579000000,2667000000,3498000000,3563000000,4866000000,4692000000,4815000000,5135000000,4982000000,6080000000,6348000000,6496000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1994070000,2325000000,2722232000,1754000000,3230996920,4460998977,4507999052,4565000000,4733000000,4747000000,5642000000,5819000000,7306000000,7167000000,7344000000,7866000000,8059000000,9299000000,11012000000,10920000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227866000,237500000,293715000,171000000,398000176,524999496,544000467,547000000,617000000,564000000,646000000,751000000,807000000,808000000,807000000,873000000,854000000,941000000,891000000,1096000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244787000,- -,61159000,132000000,118999540,1442000410,115000943,45000000,57000000,306000000,36000000,42000000,37000000,44000000,84000000,27000000,164000000,26000000,279000000,491000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271054000,467857143,430795000,286000000,299000774,321001115,308999871,271000000,240000000,249000000,248000000,280000000,318000000,492000000,457000000,446000000,447000000,597000000,518000000,544000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743707000,705357143,785669000,589000000,816000489,2288001020,968001281,863000000,914000000,1119000000,930000000,1073000000,1162000000,1344000000,1348000000,1346000000,1465000000,1564000000,1688000000,2131000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264608000,194642857,276652000,132000000,14999612,36000069,1357999787,1117000000,642000000,16000000,416000000,335000000,1656000000,1426000000,1559000000,1423000000,1301000000,1851000000,3196000000,2848000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90244000,67857143,61542000,31000000,34999749,57000611,46000377,31000000,69000000,66000000,61000000,50000000,98000000,77000000,94000000,97000000,99000000,167000000,141000000,144000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61882000,267857143,204565000,139000000,190999641,264000504,437000667,375000000,335000000,359000000,351000000,314000000,350000000,354000000,385000000,356000000,320000000,576000000,708000000,229000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416734000,530357143,542759000,302000000,240999002,357001183,1841000831,1523000000,1046000000,441000000,828000000,699000000,2104000000,1857000000,2038000000,1876000000,1720000000,2594000000,4045000000,3221000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,714002366,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
