,https://roic.ai/company/ASAI,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,18544000000,23017000000,30232000000,36043000000,41898000000
2,COGS,15578000000,18845000000,24891000000,30129000000,34753000000
3,Gross Profit,2966000000,4172000000,5341000000,5914000000,7145000000
4,Gross Profit Ratio,0.1599,0.1813,0.1767,0.1641,0.1705
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,235000000,275000000,166000000,435000000,588000000
7,Selling and Marketing Exp.,1563000000,1908000000,2782000000,2811000000,3334000000
8,"Selling, General and Administrative Exp.",1798000000,2183000000,2948000000,3246000000,3922000000
9,Other Expenses,274000000,273000000,535000000,521000000,629000000
10,Operating Expenses,2072000000,2456000000,3483000000,3767000000,4551000000
11,COGS and Expenses,17650000000,21301000000,28374000000,33896000000,39304000000
12,Interest Income ,5000000,4000000,102000000,39000000,87000000
13,Interest Expense (Gain),123000000,156000000,418000000,693000000,835000000
14,Depreciation and Amortization,263000000,341000000,484000000,1372000000,687000000
15,EBITDA,1094000000,2050000000,2360000000,3899000000,3371000000
16,EBITDA ratio,0.0590,0.0891,0.0781,0.1082,0.0805
17,Operating Income,850000000,1673000000,1728000000,2068000000,2579000000
18,Operating Income ratio,0.0458,0.0727,0.0572,0.0574,0.0616
19,Total Other Income Expenses (Gains),-142000000,-120000000,-257000000,-443000000,-730000000
20,Income Before Tax,708000000,1553000000,1471000000,1625000000,1849000000
21,Income Before Tax Ratio,0.0382,0.0675,0.0487,0.0451,0.0441
22,Income Tax expense (Gain),211000000,477000000,411000000,436000000,239000000
23,Net Income,497000000,1076000000,1047000000,1398000000,1610000000
24,Net Income ratio,0.0268,0.0467,0.0346,0.0388,0.0384
25,EPS,1.85,4.01,3.90,5.21,6.00
26,EPS Diluted,1.85,4.01,3.90,5.21,6.00
27,Weighted Average Shares Outstanding,268351567,268351567,268351567,268351567,268351567
28,Weighted Average Shares Outstanding Diluted,268351567,268351567,268351567,268351567,268351567
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,891000000,1411000000,5026000000,3532000000,2550000000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,891000000,1411000000,5026000000,3532000000,2550000000
34,Net Receivables,446000000,509000000,1816000000,984000000,1216000000
35,Inventory,1755000000,2235000000,5190000000,3739000000,4380000000
36,Other Current Assets,- -,43000000,250000000,94000000,626000000
37,Total Current Assets,3092000000,4198000000,12282000000,8349000000,8772000000
38,PP&E,3725000000,4655000000,14652000000,7476000000,10320000000
39,Goodwill,- -,616000000,785000000,616000000,618000000
40,Intangible Assets,- -,397000000,3503000000,421000000,1269000000
41,Intangible Assets,749000000,1013000000,4288000000,1037000000,1887000000
42,Investments,- -,- -,320000000,769000000,789000000
43,Tax Assets,- -,- -,- -,- -,45000000
44,Other Non-Current Assets,618000000,1067000000,4363000000,1190000000,1041000000
45,Total Non-Current Assets,5092000000,6735000000,23623000000,10472000000,14082000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,8184000000,10933000000,35905000000,18821000000,22854000000
48,Accounts Payable,2770000000,3607000000,9770000000,5058000000,5942000000
49,Short-Term Debt,87000000,757000000,1876000000,2292000000,857000000
50,Tax Payable,259000000,374000000,899000000,899000000,583000000
51,Deferred Revenue,104000000,158000000,277000000,227000000,356000000
52,Other Current Liabilities,420000000,603000000,2007000000,1209000000,1489000000
53,Total Current Liabilities,3381000000,5125000000,13930000000,8786000000,8644000000
54,Long-Term Debt,1395000000,1201000000,10696000000,8315000000,11227000000
55,Deferred Revenue,- -,4000000,2000000,1000000,- -
56,Deferred Tax Liabilities,89000000,265000000,1191000000,82000000,- -
57,Other Non-Current Liabilities,295000000,246000000,385000000,290000000,217000000
58,Total Non-Current Liabilities,1779000000,1716000000,12274000000,8688000000,11444000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,1009000000,1180000000,3751000000,2776000000,4051000000
61,Total Liabilities,5160000000,6841000000,26204000000,17474000000,20088000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,2252000000,2351000000,4421000000,761000000,788000000
64,Retained Earnings,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,772000000,1741000000,2677000000,586000000,1978000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -
67,Total Stockholders Equity,3024000000,4092000000,7098000000,1347000000,2766000000
68,Total Liabilities And Stockholders Equity,8184000000,10933000000,33302000000,18821000000,22854000000
69,Minority Interest,- -,- -,2603000000,- -,- -
70,Total Liabilities & Equity,8184000000,10933000000,35905000000,18821000000,22854000000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,497000000,1076000000,1047000000,1398000000,1610000000
74,Depreciation and Amortization,263000000,341000000,484000000,1372000000,687000000
75,Deferred Income Tax,69000000,175000000,162000000,-372000000,-127000000
76,Stock Based Compensation,4000000,8000000,2000000,5000000,- -
77,Change in Working Capital,197000000,398000000,1123000000,10000000,343000000
78,Accounts Receivable,-39000000,63000000,21000000,-155000000,-85000000
79,Inventory,-284000000,-477000000,-153000000,-1029000000,-943000000
80,Accounts Payable,673000000,779000000,1671000000,877000000,884000000
81,Other Working Capital,-48000000,62000000,-193000000,-216000000,539000000
82,Other Non-Cash Items,72000000,-453000000,341000000,1085000000,759000000
83,Cash Provided by Operating Activities,1102000000,1545000000,3159000000,3498000000,3272000000
84,CAPEX,-740000000,-948000000,-1409000000,-1644000000,-3085000000
85,Acquisitions Net,- -,- -,-3311000000,-3718000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-22000000,-19000000,298000000,493000000,-1045000000
89,Cash Used for Investing Activites,-739000000,-926000000,-4370000000,-4787000000,-3276000000
90,Debt Repayment,-386000000,-401000000,-6384000000,-3808000000,-6947000000
91,Common Stock Issued,68000000,- -,2003000000,650000000,27000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,-81000000,-115000000,-299000000,-489000000,-148000000
94,Other Financing Activites,338000000,417000000,9395000000,2854000000,6090000000
95,Cash Used/Provided by Financing Activities,-61000000,-99000000,4715000000,-793000000,-978000000
96,Effect of Forex Changes on Cash,- -,- -,111000000,588000000,- -
97,Net Change In Cash,302000000,520000000,3615000000,-1494000000,-982000000
98,Cash at the End of Period,891000000,1411000000,5026000000,3532000000,2550000000
99,Cash at the Beginning of Period,589000000,891000000,1411000000,5026000000,3532000000
100,Free Cash Flow,362000000,597000000,1750000000,1854000000,187000000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.3019,0.2576,0.2488,0.1925,0.1795
