,https://roic.ai/company/FONR,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5200000,8500000,36700000,41900000,58900000,45900000,33300000,20500000,19700000,16800000,15400000,14100000,13100000,17600000,27600000,36900000,39073797,46459301,44678570,52891535,71609357,104898544,33076329,33211932,35568833,39722433,31815555,33136395,39444419,49141814,68505477,69050996,73368210,78036586,81515994,87192887,85690462,89929765
2,COGS,4100000,8100000,24100000,22600000,35400000,30200000,16000000,6400000,7900000,7200000,5200000,6600000,6700000,11800000,21300000,25900000,26979289,31983198,26244893,32477313,44406935,66719603,26949516,26660480,24893465,22123383,18620220,18479550,21195680,26121365,37247449,38404281,38870898,38052425,41950770,43984593,43296825,46456127
3,Gross Profit,1100000,400000,12600000,19300000,23500000,15700000,17300000,14100000,11800000,9600000,10200000,7500000,6400000,5800000,6300000,11000000,12094508,14476103,18433677,20414222,27202422,38178941,6126813,6551452,10675368,17599050,13195335,14656845,18248739,23020449,31258028,30646715,34497312,39984161,39565224,43208294,42393637,43473638
4,Gross Profit Ratio,0.2115,0.0471,0.3433,0.4606,0.3990,0.3420,0.5195,0.6878,0.5990,0.5714,0.6623,0.5319,0.4885,0.3295,0.2283,0.2981,0.3095,0.3116,0.4126,0.3860,0.3799,0.3640,0.1852,0.1973,0.3001,0.4431,0.4147,0.4423,0.4626,0.4684,0.4563,0.4438,0.4702,0.5124,0.4854,0.4955,0.4947,0.4834
5,Research and Development Exp.,2900000,2900000,3600000,4300000,6400000,- -,- -,- -,- -,- -,2800000,3400000,3600000,3900000,6500000,6600000,5532325,5866421,5099785,5164451,5491062,6006761,6867645,5692098,5006591,3593470,2458342,1440032,1242656,1438560,1760821,1812398,1631846,1480670,1755747,1812347,2025376,1635979
6,General and Administrative Exp.,3900000,4900000,5900000,12300000,14000000,23700000,8900000,7700000,8500000,9200000,7300000,8200000,9500000,24300000,14500000,15300000,18318282,23605607,31839306,28905494,29548077,29875301,27346354,26311925,22595568,13423066,11939223,8462335,8749090,12501621,15388239,13459408,18509850,19407411,18125266,19261755,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3900000,4900000,5900000,12300000,14000000,23700000,8900000,7700000,8500000,9200000,7300000,8200000,9500000,24300000,14500000,15300000,18318282,23605607,31839306,28905494,29548077,29875301,27346354,26311925,22595568,13423066,11939223,8462335,8749090,12501621,15388239,13459408,18509850,19407411,18125266,19261755,26717345,24740044
9,Other Expenses,100000,1200000,600000,200000,200000,2200000,2800000,2900000,2700000,2400000,2600000,2400000,2300000,2000000,2900000,4700000,4670473,1218692,1218689,1491522,633577,633577,1637300,- -,8525780,1286451,1378500,963009,1050442,1544521,1806299,2475032,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6900000,9000000,10100000,16800000,20600000,25900000,11700000,10600000,11200000,11600000,12700000,14000000,15400000,30200000,23900000,26600000,28521080,30690720,38157780,35561467,35672716,36515639,35851299,32004023,36127939,18302987,15776065,10865376,11042188,15484702,18955359,17746838,20141696,20888081,19881013,21074102,28742721,26376023
11,COGS and Expenses,11000000,17100000,34200000,39400000,56000000,56100000,27700000,17000000,19100000,18800000,17900000,20600000,22100000,42000000,45200000,52500000,55500369,62673918,64402673,68038780,80079651,103235242,62800815,58664503,61021404,40426370,34396285,29344926,32237868,41606067,56202808,56151119,59012594,58940506,61831783,65058695,72039546,72832150
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20818,10926,228174,243254,- -,- -,- -,- -,28299,- -,- -,502145,- -
13,Interest Expense (Gain),-700000,-600000,-300000,-200000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333229,387902,518532,478663,500362,884541,702095,262193,28299,160074,98636,74321,248665
14,Depreciation and Amortization,- -,- -,- -,- -,3470000,2210000,2770000,2900000,2700000,2400000,2600000,2400000,2300000,2000000,2900000,4700000,4670473,2372767,3067184,2093490,1540898,1651752,3286865,2675831,2793592,1733499,1445065,2073006,2230250,2421177,3817205,3544470,3297289,3533564,3899851,3836491,4914208,5539740
15,EBITDA,-7000000,-9500000,3500000,3300000,6870000,-9890000,7670000,6500000,3300000,2700000,2300000,700000,-1100000,61100000,-3300000,-10100000,-6241837,-12771099,-19787984,-13616797,-7923596,2730202,-26622458,-22863036,-10721715,3223926,-1179775,5827923,8626519,9322190,12749564,14544695,14996836,18820050,19620977,21257778,15673512,19987513
16,EBITDA ratio,-1.3462,-1.1176,0.0954,0.0788,0.1166,-0.2155,0.2303,0.3171,0.1675,0.1607,0.1494,0.0496,-0.0840,3.4716,-0.1196,-0.2737,-0.1597,-0.2749,-0.4429,-0.2574,-0.1107,0.0260,-0.8049,-0.6884,-0.3014,0.0812,-0.0371,0.1759,0.2187,0.1897,0.1861,0.2106,0.2044,0.2412,0.2407,0.2438,0.1829,0.2223
17,Operating Income,-5800000,-8600000,2400000,2500000,2900000,-10200000,5600000,3500000,600000,-2000000,-2500000,-6500000,-9000000,-24400000,-17600000,-15600000,-16426572,-16214617,-19724103,-15147245,-8470294,1663302,-29724486,-25452571,-25452571,-703937,-2580730,3791469,7206551,7535747,12302669,12899877,14355616,19096080,19684211,22134192,13650916,17097615
18,Operating Income ratio,-1.1154,-1.0118,0.0654,0.0597,0.0492,-0.2222,0.1682,0.1707,0.0305,-0.1190,-0.1623,-0.4610,-0.6870,-1.3864,-0.6377,-0.4228,-0.4204,-0.3490,-0.4415,-0.2864,-0.1183,0.0159,-0.8987,-0.7664,-0.7156,-0.0177,-0.0811,0.1144,0.1827,0.1533,0.1796,0.1868,0.1957,0.2447,0.2415,0.2539,0.1593,0.1901
19,Total Other Income Expenses (Gains),-500000,-300000,200000,-200000,-300000,-1900000,-700000,100000,900000,2300000,3400000,4800000,6000000,83500000,11400000,800000,5514262,1070751,-3131065,-757493,-994200,-584852,-184837,-86296,11937264,1861135,-432012,-406975,-190353,442724,-1254212,-82015,152630,220284,98224,385002,498595,567716
20,Income Before Tax,-6300000,-8900000,2600000,2300000,2600000,- -,- -,3600000,- -,300000,- -,-1700000,- -,59100000,-6200000,-14800000,-10912310,-15143866,-22855168,-15904738,-9464494,1078450,-29909323,-25538867,-13515307,1157198,-3012742,3384494,7016198,7978471,11048457,12817862,14508246,19316364,19782435,22519194,14149511,17665331
21,Income Before Tax Ratio,-1.2115,-1.0471,0.0708,0.0549,0.0441,- -,- -,0.1756,- -,0.0179,- -,-0.1206,- -,3.3580,-0.2246,-0.4011,-0.2793,-0.3260,-0.5115,-0.3007,-0.1322,0.0103,-0.9043,-0.7690,-0.3800,0.0291,-0.0947,0.1021,0.1779,0.1624,0.1613,0.1856,0.1977,0.2475,0.2427,0.2583,0.1651,0.1964
22,Income Tax expense (Gain),- -,- -,1200000,1200000,1000000,- -,- -,100000,- -,100000,- -,100000,- -,3000000,-500000,-600000,43677,39996,27039,-703871,29889,64041,54034,- -,-6940,35931,- -,75475,141125,-2277891,-2348312,-2612521,-4287271,-4362434,-5669750,2005520,2444778,3991520
23,Net Income,-6300000,-8900000,2600000,2300000,2700000,-12100000,4900000,3500000,600000,200000,-300000,-1800000,-3400000,56100000,-5700000,-14200000,-10955987,-15183862,-22882207,-15006416,-9494383,1014409,-29963357,-25538867,-13508367,1121267,-3012742,3160910,5776481,8678542,10396130,12910651,15724625,19620621,21230802,15317131,8240205,10207588
24,Net Income ratio,-1.2115,-1.0471,0.0708,0.0549,0.0458,-0.2636,0.1471,0.1707,0.0305,0.0119,-0.0195,-0.1277,-0.2595,3.1875,-0.2065,-0.3848,-0.2804,-0.3268,-0.5122,-0.2837,-0.1326,0.0097,-0.9059,-0.7690,-0.3798,0.0282,-0.0947,0.0954,0.1464,0.1766,0.1518,0.1870,0.2143,0.2514,0.2604,0.1757,0.0962,0.1135
25,EPS,-9.00,-11.13,3.25,2.88,3.00,-13.50,5.50,4.00,0.75,0.25,-0.25,-1.00,-1.75,23.75,-2.25,-5.50,-4.25,-5.50,-9.00,-5.00,-2.50,0.25,-6.75,-0.05,-2.76,0.21,-0.61,0.56,0.93,1.37,1.62,2.00,2.43,2.98,3.16,2.26,1.20,1.47
26,EPS Diluted,-9.00,-11.13,3.25,2.88,3.00,-13.50,5.50,4.00,0.75,0.25,-0.25,-1.00,-1.75,23.75,-2.25,-5.50,-4.25,-5.50,-9.00,-5.00,-2.50,0.25,-6.75,-0.05,-2.76,0.21,-0.61,0.55,0.91,1.34,1.58,1.95,2.38,2.92,3.10,2.22,1.18,1.45
27,Weighted Average Shares Outstanding,700000,800000,800000,800000,900000,896296,890909,875000,800000,800000,1200000,1802213,2060658,2363918,2447039,2562846,2652188,2745350,2540472,3032678,3641118,4057636,4439016,4817860,4897997,4904358,4932044,5264795,5778695,6060822,6392335,6433145,6433406,6544112,6287510,6354103,6443713,6505283
28,Weighted Average Shares Outstanding Diluted,700000,800000,800000,800000,900000,896296,890909,875000,800000,800000,1200000,1802213,2400000,2363918,2461538,2562846,2652188,2745350,2540472,3032678,3641118,4057636,4439016,4817860,4897997,5031862,4932044,5392299,5906199,6188326,6519839,6560649,6560910,6671616,6415014,6481607,6571217,6632787
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501905000031/0000355019-05-000031-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501909000017/0000355019-09-000017-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501912000024/0000355019-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501913000029/0000355019-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501914000031/0000355019-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501915000031/0000355019-15-000031-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501916000059/0000355019-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501917000029/0000355019-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501918000039/0000355019-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501919000036/0000355019-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501920000051/0000355019-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501921000040/0000355019-21-000040-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
