,https://roic.ai/company/SPRS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15722613,10917439,11225294,- -,- -,- -,- -,- -,12325812,21613911,23208269,22324164,25290945,27218025,29734493,29556343,29775277,32372030,32491597,31716662,39828257
2,COGS,12000469,7984676,8504371,- -,- -,- -,- -,- -,8640117,15061118,16600206,15478495,18329627,20541782,22300757,22093768,22264781,24088832,23243448,22962521,28942477
3,Gross Profit,3722144,2932763,2720923,- -,- -,- -,- -,- -,3685695,6552793,6608063,6845669,6961318,6676243,7433736,7462575,7510496,8283198,9248149,8754141,10885780
4,Gross Profit Ratio,0.2367,0.2686,0.2424,- -,- -,- -,- -,- -,0.2990,0.3032,0.2847,0.3066,0.2752,0.2453,0.2500,0.2525,0.2522,0.2559,0.2846,0.2760,0.2733
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6037413,3317699,2679831,- -,- -,- -,- -,- -,2012639,4724246,3209914,3191178,3345280,3564412,3902358,5395502,4614802,4069823,4565530,4811696,5075806
7,Selling and Marketing Exp.,1308517,1002916,1042217,- -,- -,- -,- -,- -,- -,- -,1826729,2140575,2172867,2350090,2394331,2510335,2527599,2649456,2702742,2419985,2586607
8,"Selling, General and Administrative Exp.",7345930,4320615,3722048,- -,- -,- -,- -,- -,2012639,4724246,5036643,5331753,5518147,5914502,6296689,7905837,7142401,6719279,7268272,7231681,7662413
9,Other Expenses,3190595,263850,-924001,- -,- -,- -,- -,- -,1232039,136154,88188,56700,55151,48877,39766,31358,32114,48972,39097,37903,70098
10,Operating Expenses,10536525,4584465,2798047,- -,- -,- -,- -,- -,3244678,4860400,5124831,5388453,5573298,5963379,6336455,7937195,7174515,6768251,7307369,7269584,7732511
11,COGS and Expenses,22536994,12569141,11302418,- -,- -,- -,- -,- -,11884795,19921518,21725037,20866948,23902925,26505161,28637212,30030963,29439296,30857083,30550817,30232105,36674988
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2744,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),449817,57686,102164,- -,- -,- -,- -,- -,126503,117973,61253,- -,- -,- -,- -,- -,22443,15728,2688,1997,1166
14,Depreciation and Amortization,2420587,338799,257067,- -,- -,- -,- -,- -,141843,136154,88188,56700,55151,48877,39766,31358,32114,48972,39097,37903,70098
15,EBITDA,-3204486,-1335062,237186,- -,- -,- -,- -,- -,590265,1832887,1573371,1516660,1447415,766590,1145879,-434538,371202,2167286,1980607,1544482,3674312
16,EBITDA ratio,-0.2038,-0.1223,0.0211,- -,- -,- -,- -,- -,0.0479,0.0848,0.0678,0.0679,0.0572,0.0282,0.0385,-0.0147,0.0125,0.0669,0.0610,0.0487,0.0923
17,Operating Income,-6814381,-1651702,-77124,- -,- -,- -,- -,- -,441017,1692393,1483232,1457216,1388020,712864,1097281,-474620,335981,1514947,1940780,1484557,3153269
