,https://roic.ai/company/GHL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,111476000,99964000,112607908,126679226,151853296,221152466,290645565,400422411,221873047,298645734,278329254,293993000,285079000,287152000,275234000,261560000,335519000,239182000,351985000,301012000,311678000,317539000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151795000,155666000,147552000,147200000,182478000,160201000,195195000,178946000,194084000,190546000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,221873047,298645734,278329254,293993000,133284000,131486000,127682000,114360000,153041000,78981000,156790000,122066000,117594000,126993000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,0.4675,0.4579,0.4639,0.4372,0.4561,0.3302,0.4454,0.4055,0.3773,0.3999
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,18085393,22088501,61446527,102441141,134133733,4326002,130146894,170236600,199895642,203862000,42190000,43605000,44645000,50682000,47236000,51596000,55779000,55769000,47724000,39051000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,18085393,22088501,61446527,102441141,134133733,4326002,130146894,170236600,199895642,203862000,42190000,43605000,44645000,50682000,47236000,51596000,55779000,55769000,47724000,39051000
9,Other Expenses,- -,- -,- -,- -,26898579,28711000,37354786,215871569,10287499,13221027,17405657,19422000,19603000,15679000,14329000,17905000,14697000,20485000,20143000,20454000,14622000,16685000
10,Operating Expenses,- -,- -,- -,- -,88345106,131152141,171488519,220197571,140434393,183457627,217301299,223284000,61793000,59284000,58974000,68587000,61933000,72081000,75922000,76223000,62346000,55736000
11,COGS and Expenses,- -,- -,36795365,46018603,88345106,131152141,171488519,220197571,140434393,183457627,217301299,223284000,213588000,214950000,206526000,215787000,244411000,232282000,271117000,255169000,256430000,246282000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,3554921,- -,447238,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,3580292,1294804,2076778,2040000,1016000,996000,1238000,2478000,3227000,7198000,22438000,27420000,15487000,12146000
14,Depreciation and Amortization,- -,- -,3429204,3419394,3467745,2495336,3008579,4228714,4592176,4117499,5986064,8009000,7240000,4461000,3228000,3433000,3243000,3114000,5175000,4487000,3951000,4792000
15,EBITDA,45520000,34984000,61592991,51856564,60488885,90663773,120307506,181338181,86542500,119388057,62119186,78712000,78731000,76663000,71936000,49206000,94351000,10014000,86043000,50330000,59199000,76049000
16,EBITDA ratio,0.4083,0.3500,0.5470,0.4094,0.3983,0.4100,0.4139,0.4529,0.3901,0.3998,0.2232,0.2677,0.2762,0.2670,0.2614,0.1881,0.2812,0.0419,0.2445,0.1672,0.1899,0.2395
17,Operating Income,111476000,99964000,75812543,80660623,63508190,90000325,119157046,180224840,81438654,115188107,61027955,70709000,70475000,71206000,67470000,43295000,87881000,6900000,80868000,45843000,55248000,71257000
18,Operating Income ratio,1.0000,1.0000,0.6732,0.6367,0.4182,0.4070,0.4100,0.4501,0.3671,0.3857,0.2193,0.2405,0.2472,0.2480,0.2451,0.1655,0.2619,0.0288,0.2297,0.1523,0.1773,0.2244
19,Total Other Income Expenses (Gains),- -,- -,-17648756,-32223453,-6487050,-1831888,-1858119,-3115373,-3580292,-1294804,-2076778,-2040000,- -,- -,- -,- -,- -,-7198000,-22438000,-27420000,-15487000,-12146000
20,Income Before Tax,- -,- -,58163787,48437170,57021140,88168437,117298927,177109467,77858362,113893303,58951177,68669000,70475000,71206000,67470000,43295000,87881000,-298000,58430000,18423000,39761000,59111000
21,Income Before Tax Ratio,- -,- -,0.5165,0.3824,0.3755,0.3987,0.4036,0.4423,0.3509,0.3814,0.2118,0.2336,0.2472,0.2480,0.2451,0.1655,0.2619,-0.0012,0.1660,0.0612,0.1276,0.1862
22,Income Tax expense (Gain),- -,- -,346737,3036677,18705313,32636153,41632982,61833195,29391962,42735740,19530433,24086000,28383000,24524000,24082000,17697000,27119000,26353000,19208000,7445000,8427000,16799000
23,Net Income,45520000,34984000,57817050,45400493,38315827,55532284,75665945,115276272,48978070,71240014,34525911,44577000,42092000,46682000,43388000,25598000,60762000,-26651000,39222000,10978000,31334000,42312000
24,Net Income ratio,0.4083,0.3500,0.5134,0.3584,0.2523,0.2511,0.2603,0.2879,0.2207,0.2385,0.1240,0.1516,0.1477,0.1626,0.1576,0.0979,0.1811,-0.1114,0.1114,0.0365,0.1005,0.1332
25,EPS,1.82,1.40,2.31,1.82,1.33,1.81,2.56,4.03,1.74,2.40,1.12,1.44,1.38,1.55,1.43,0.82,1.90,-0.83,1.46,0.46,1.65,2.21
26,EPS Diluted,1.82,1.40,2.31,1.82,1.33,1.81,2.55,4.01,1.74,2.39,1.12,1.44,1.38,1.55,1.43,0.82,1.89,-0.86,1.42,0.45,1.36,1.73
27,Weighted Average Shares Outstanding,25000000,25000000,25000000,25000000,28780383,30631573,29518085,28634769,28166520,29663616,30726628,31020894,30553460,30134430,30354227,31197288,32042594,31997140,26813285,24024674,18939210,19138808
28,Weighted Average Shares Outstanding Diluted,25000000,25000000,25000000,25000000,28788798,30671552,29627747,28728293,28214015,29753609,30776034,31034817,30561682,30160669,30357691,31200378,32074232,31997140,27637720,24272479,23078451,24505712
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282977/000095010305000434/0000950103-05-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013606001559/0000950136-06-001559-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013607001267/0000950136-07-001267-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013608000998/0000950136-08-000998-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012309003576/0000950123-09-003576-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012310018113/0000950123-10-018113-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012311019920/0000950123-11-019920-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000119312512084108/0001193125-12-084108-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297713000007/0001282977-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297714000005/0001282977-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297715000003/0001282977-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297716000016/0001282977-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297717000002/0001282977-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297718000002/0001282977-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297719000005/0001282977-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297720000006/0001282977-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297721000010/0001282977-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297722000005/0001282977-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,17939073,26598643,60806951,83240865,62386286,191670516,62848655,74473459,78227209,62050000,50324000,38450000,45244000,65333000,94060000,263774000,152593000,104206000,105533000,127697000
32,Short-Term Investments,- -,- -,- -,6542925,78298344,- -,38753193,98014211,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,17939073,33141568,139105295,83240865,101139479,289684727,62848655,74473459,78227209,62050000,50324000,38450000,45244000,65333000,94060000,263774000,152593000,104206000,105533000,127697000
34,Net Receivables,- -,- -,33998210,17396145,26248863,28269673,23475221,29239172,30690222,31001873,33086513,1129900,55998000,88113000,87264000,69900000,70970000,68208000,64388000,80285000,86204000,59747000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-6542925,60641596842,110465559462,83705615300,218105170101,- -,- -,- -,53274100,- -,4229000,5696000,4629000,4253000,3872000,3781000,9769000,7170000,6927000
37,Total Current Assets,- -,- -,51937283,43994788,60806951000,110577070000,83830230000,218424094000,93538877,105475332,111313722,116454000,106322000,130792000,138204000,139862000,169283000,335854000,220762000,194260000,198907000,194371000
38,PP&E,- -,- -,10656304,8243141,9290877,8638632,14260376,14527341,12074207,12794680,17563099,15995000,14404000,11500000,10335000,9783000,8764000,8602000,7185000,34627000,97682000,96756000
39,Goodwill,- -,- -,- -,- -,- -,- -,17691889,19728022,16133050,18721430,162507267,161664000,164890000,142972000,130976000,209024000,208186000,217737000,205922000,205992000,215936000,210038000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000,689000,368000,264000,77000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,17691889,19728022,16133050,18721430,162507267,161664000,164890000,142972000,130976000,209024000,209026000,218426000,206290000,206256000,216013000,210038000
42,Investments,- -,- -,314578,6542925,78298344,104135337,168184466,98014211,108364608,150361156,160905302,112861000,50987000,11745000,4173000,3575000,1689000,1209000,850000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,20636654,33996719,40101916,47842045,48307000,47512000,54202000,50244000,56072000,62108000,42345000,43706000,51278000,65033000,58579000
44,Other Non-Current Assets,- -,- -,885450,1857144,-60717524118,-110454902848,-83732635328,-218202786898,1671732,934969,8546405,5462000,2855000,2235000,3718000,5522000,5812000,4381000,6907000,7954000,8164000,8888000
45,Total Non-Current Assets,- -,- -,11856332,16643210,-60629934897,-110342128879,-83532498597,-218049880670,172240316,222914151,397364118,344289000,280648000,222654000,199446000,283976000,287399000,274963000,264938000,300115000,386892000,374261000
