,https://roic.ai/company/OCDX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1781700000,1787300000,1801500000,1766200000,- -
2,COGS,897700000,930500000,922400000,908200000,- -
3,Gross Profit,884000000,856800000,879100000,858000000,- -
4,Gross Profit Ratio,0.4962,0.4794,0.4880,0.4858,- -
5,Research and Development Exp.,96400000,98700000,98000000,112900000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",499800000,491600000,515100000,489600000,- -
9,Other Expenses,37900000,115700000,160900000,163100000,- -
10,Operating Expenses,634100000,706000000,774000000,765600000,- -
11,COGS and Expenses,1531800000,1636500000,1696400000,1673800000,- -
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),221700000,232500000,229300000,191100000,- -
14,Depreciation and Amortization,333300000,332200000,327500000,325900000,- -
15,EBITDA,540700000,347100000,376000000,291700000,- -
16,EBITDA ratio,0.3035,0.1942,0.2087,0.1652,- -
17,Operating Income,35300000,66500000,85500000,88300000,- -
18,Operating Income ratio,0.0198,0.0372,0.0475,0.0500,- -
19,Total Other Income Expenses (Gains),-49600000,-284100000,-266300000,-313600000,- -
20,Income Before Tax,-14300000,-217600000,-180800000,-225300000,- -
21,Income Before Tax Ratio,-0.0080,-0.1217,-0.1004,-0.1276,- -
22,Income Tax expense (Gain),102000000,31200000,-23900000,-13400000,- -
23,Net Income,-116300000,-248800000,-156900000,-211900000,- -
24,Net Income ratio,-0.0653,-0.1392,-0.0871,-0.1200,- -
25,EPS,-0.52,-1.12,-0.71,-0.98,- -
26,EPS Diluted,-0.52,-1.12,-0.71,-0.98,- -
27,Weighted Average Shares Outstanding,221549701,222362955,221549701,216584566,- -
28,Weighted Average Shares Outstanding Diluted,221549701,222362955,221549701,216584566,- -
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1828443/000156459021014224/0001564590-21-014224-index.htm,undefined
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,56400000,72000000,132800000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,56400000,72000000,132800000,- -
34,Net Receivables,- -,332000000,348500000,318700000,- -
35,Inventory,- -,264300000,253900000,278700000,- -
36,Other Current Assets,- -,114100000,147000000,127000000,- -
37,Total Current Assets,- -,766800000,821400000,857200000,- -
38,PP&E,- -,866100000,888500000,858700000,- -
39,Goodwill,- -,561500000,567300000,580100000,- -
40,Intangible Assets,- -,1257000000,1134500000,1016700000,- -
41,Intangible Assets,- -,1818500000,1701800000,1596800000,- -
42,Investments,- -,19500000,20100000,21000000,- -
43,Tax Assets,- -,4000000,6100000,8000000,- -
44,Other Non-Current Assets,- -,212500000,151300000,59800000,- -
45,Total Non-Current Assets,- -,2920600000,2767800000,2544300000,- -
