,https://roic.ai/company/NGM,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,85589000,77141000,108665000,103544000,87368000,- -
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,87368000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,82105000,79736000,95714000,129253000,163972000,- -
6,General and Administrative Exp.,11845000,14830000,17265000,23631000,27229000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11845000,14830000,17265000,23631000,27229000,- -
9,Other Expenses,- -,- -,- -,- -,- -,-60000
10,Operating Expenses,93950000,94566000,112979000,152884000,191201000,- -
11,COGS and Expenses,93950000,94566000,112979000,152884000,191201000,- -
12,Interest Income ,1806000,2358000,3622000,6692000,1939000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3534000,6441000,7223000,7605000,6555000,- -
15,EBITDA,-2888000,-8778000,6730000,-35190000,-95932000,- -
16,EBITDA ratio,-0.0337,-0.1138,0.0619,-0.3399,-1.0980,- -
17,Operating Income,-8361000,-17425000,-4314000,-49340000,-103833000,-120695000
18,Operating Income ratio,-0.0977,-0.2259,-0.0397,-0.4765,-1.1885,-Infinity
19,Total Other Income Expenses (Gains),1939000,2206000,3821000,6545000,1346000,- -
20,Income Before Tax,-6422000,-15219000,-493000,-42795000,-102487000,- -
21,Income Before Tax Ratio,-0.0750,-0.1973,-0.0045,-0.4133,-1.1730,- -
22,Income Tax expense (Gain),500000,-1060000,- -,- -,- -,- -
23,Net Income,-6922000,-14159000,-493000,-42795000,-102487000,- -
24,Net Income ratio,-0.0809,-0.1835,-0.0045,-0.4133,-1.1730,- -
25,EPS,-0.13,-0.26,-0.01,-0.85,-1.50,-1.55
26,EPS Diluted,-0.13,-0.26,-0.01,-0.85,-1.50,-1.55
27,Weighted Average Shares Outstanding,53651217,53651217,53651217,50297524,68475378,77408893
28,Weighted Average Shares Outstanding Diluted,53651217,53651217,53651217,50297524,68475378,77408893
