,https://roic.ai/company/KTB,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,2926464000,2830106000,2763998000,2548839000,- -,2097839000
2,COGS,1711319000,1658144000,1649435000,1544465000,- -,1234150000
3,Gross Profit,1215145000,1171962000,1114563000,1004374000,- -,863689000
4,Gross Profit Ratio,0.4152,0.4141,0.4032,0.3941,- -,0.4117
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -
9,Other Expenses,806447000,814544000,781521000,803448000,- -,739855000
10,Operating Expenses,806447000,814544000,781521000,803448000,- -,739855000
11,COGS and Expenses,2517766000,2472688000,2430956000,2347913000,- -,1974005000
12,Interest Income ,3379000,6356000,12305000,7693000,- -,1608000
13,Interest Expense (Gain),- -,1263000,- -,35787000,- -,49992000
14,Depreciation and Amortization,34151000,33628000,31035000,30760000,- -,34491000
15,EBITDA,444638000,394044000,371113000,201741000,- -,157419000
16,EBITDA ratio,0.1519,0.1392,0.1343,0.0792,- -,0.0750
17,Operating Income,408698000,357418000,333042000,168290000,- -,123834000
18,Operating Income ratio,0.1397,0.1263,0.1205,0.0660,- -,0.0590
19,Total Other Income Expenses (Gains),1789000,1735000,7036000,-33096000,- -,-50898000
20,Income Before Tax,410487000,359153000,340078000,135194000,- -,72936000
21,Income Before Tax Ratio,0.1403,0.1269,0.1230,0.0530,- -,0.0348
22,Income Tax expense (Gain),95457000,242962000,77005000,38540000,- -,5013000
23,Net Income,315030000,116191000,263073000,96654000,- -,67923000
24,Net Income ratio,0.1076,0.0411,0.0952,0.0379,- -,0.0324
25,EPS,5.56,2.05,4.64,1.71,- -,1.19
26,EPS Diluted,5.56,2.05,4.64,1.69,- -,1.17
27,Weighted Average Shares Outstanding,56639978,56639978,56639978,56688000,- -,56994000
28,Weighted Average Shares Outstanding Diluted,56639978,56639978,56639978,57209000,- -,57858000
29,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1760965/000176096521000020/0001760965-21-000020-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,80811000,96776000,106808000,- -,248138000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,80811000,96776000,106808000,- -,248138000
34,Net Receivables,- -,1016967000,1318596000,228459000,- -,231397000
35,Inventory,- -,440297000,473812000,458101000,- -,340732000
36,Other Current Assets,- -,34901000,52014000,84235000,- -,81413000
37,Total Current Assets,- -,1572976000,1941198000,877603000,- -,901680000
38,PP&E,- -,148250000,138449000,218774000,- -,179340000
39,Goodwill,- -,219288000,214516000,212836000,- -,213392000
40,Intangible Assets,- -,71455000,65049000,52035000,- -,88474000
41,Intangible Assets,- -,290743000,279565000,264871000,- -,301866000
42,Investments,- -,46551000,34957000,53394000,- -,50394000
43,Tax Assets,- -,46674000,42891000,79551000,- -,85221000
44,Other Non-Current Assets,- -,21216000,21405000,22963000,- -,27315000
45,Total Non-Current Assets,- -,553434000,517267000,639553000,- -,644136000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2126410000,2458465000,1517156000,- -,1545816000
48,Accounts Payable,- -,174352000,134129000,147347000,- -,167240000
49,Short-Term Debt,- -,274006000,272327000,36459000,- -,53443000
50,Tax Payable,- -,21560000,21651000,30508000,- -,30125000
51,Deferred Revenue,- -,8908000,10106000,11048000,- -,5804000
52,Other Current Liabilities,- -,180585000,200262000,183696000,- -,187148000
53,Total Current Liabilities,- -,637851000,616824000,378550000,- -,413635000
54,Long-Term Debt,- -,- -,- -,968015000,- -,887957000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2976000,2679000,2459000,- -,4436000
57,Other Non-Current Liabilities,- -,127690000,115510000,98875000,- -,155147000
58,Total Non-Current Liabilities,- -,130666000,118189000,1069349000,- -,1047540000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,90135000,- -,67135000
61,Total Liabilities,- -,768517000,735013000,1447899000,- -,1461175000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,-1718000,- -,7151000
65,Other Comprehensive Income/Loss,- -,-122482000,-145182000,-79698000,- -,-94807000
66,Other Total Stockholders Equity,- -,1849251000,2201199000,- -,- -,172297000
67,Total Stockholders Equity,- -,1357893000,1723452000,69257000,- -,84641000
68,Total Liabilities And Stockholders Equity,- -,2126410000,2458465000,1517156000,- -,1545816000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2126410000,2458465000,1517156000,- -,1545816000
71,SEC Link,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1760965/000176096521000020/0001760965-21-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,315030000,116191000,263073000,96654000,- -,67923000
74,Depreciation and Amortization,34151000,33628000,31035000,30760000,- -,34491000
75,Deferred Income Tax,6158000,36490000,1501000,-4174000,- -,2706000
76,Stock Based Compensation,9386000,13021000,14894000,23844000,- -,15948000
77,Change in Working Capital,-43172000,917628000,389249000,-825321000,- -,-11008000
78,Accounts Receivable,-4636000,-36389000,-17743000,24971000,- -,-17647000
79,Inventory,-23402000,22069000,-45757000,9682000,- -,119276000
80,Accounts Payable,-17241000,4147000,-37598000,31923000,- -,17375000
81,Other Working Capital,17497000,935125000,1324374000,499053000,- -,488045000
82,Other Non-Cash Items,2399000,-948357000,-796055000,1456025000,- -,131910000
83,Cash Provided by Operating Activities,323952000,168601000,-96303000,777788000,- -,241970000
84,CAPEX,-28145000,-26463000,-22701000,-37486000,- -,-62389000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-25179000,-57617000,11329000,483947000,- -,-30885000
89,Cash Used for Investing Activites,-25179000,-57617000,11329000,483947000,- -,-49067000
90,Debt Repayment,- -,-256000,-915000,-401023000,- -,-512500000
91,Common Stock Issued,- -,- -,- -,1035000,- -,1389000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-63555000,- -,-54768000
94,Other Financing Activites,-320415000,-119563000,107246000,-788551000,- -,508192000
95,Cash Used/Provided by Financing Activities,-320415000,-119819000,106331000,-1252094000,- -,-57687000
96,Effect of Forex Changes on Cash,-8032000,2798000,-5392000,391000,- -,6114000
97,Net Change In Cash,-29674000,-6037000,15965000,10032000,- -,141330000
98,Cash at the End of Period,86848000,80811000,96776000,106808000,- -,248138000
99,Cash at the Beginning of Period,116522000,86848000,80811000,96776000,- -,106808000
100,Free Cash Flow,295807000,142138000,-119004000,740302000,- -,179581000
101,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1760965/000176096521000020/0001760965-21-000020-index.htm
102,false,,,,,,
