,https://roic.ai/company/XIN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,12807000,16746000,35632510,61942050,142367221,309725261,356631957,448984494,449971845,687508196,914798552,897738056,919747673,1164323998,1561624693,1976907231,2217551285,2482632812
2,COGS,11875000,11978000,- -,42632329,108195727,208134750,356980850,359739280,334452556,487776799,634763270,598740190,677582117,891333892,1203636380,1517279018,1602072983,1922323191
3,Gross Profit,932000,4768000,- -,19309721,34171494,101590511,-348893,89245214,115519289,199731397,280035282,298997866,242165556,272990106,357988313,459628213,615478302,560309621
4,Gross Profit Ratio,0.0728,0.2847,- -,0.3117,0.2400,0.3280,-0.0010,0.1988,0.2567,0.2905,0.3061,0.3331,0.2633,0.2345,0.2292,0.2325,0.2775,0.2257
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,939000,- -,- -,- -,27591503,32343349,22214511,22208545,27230865,38829308,64498306,105622486,115329011,120415631,136844741,156456170,163686999
7,Selling and Marketing Exp.,493000,1319000,- -,- -,- -,- -,13578240,11443008,10724040,16208559,17942114,20724181,39493575,52126074,58213716,75723717,83591651,86760620
8,"Selling, General and Administrative Exp.",493000,2258000,- -,3870543,6622026,27591503,45921589,33657519,32932585,43439424,56771422,85222487,145116061,167455085,178629347,212568458,240047821,250447619
9,Other Expenses,538000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1031000,2258000,- -,3870543,6622026,27591503,45921589,33657519,32932585,43439424,56771422,85222487,145116061,167455085,178629347,212568458,240047821,250447619
11,COGS and Expenses,12906000,14236000,- -,46502872,114817753,235726253,402902439,393396799,367385141,531216223,691534692,683962677,822698178,1058788977,1382265727,1729847476,1842120804,2172770810
12,Interest Income ,- -,- -,- -,- -,- -,- -,3491792,2387985,2218156,5293920,9018626,11681487,14577322,24503736,20916567,16859086,31225694,51493595
13,Interest Expense (Gain),- -,- -,- -,834469,727041,3204011,- -,- -,- -,- -,- -,16221967,24456072,13726649,20484875,61768639,90621362,105643257
14,Depreciation and Amortization,- -,- -,- -,546832,734421,1825978,2394951,2173278,2737723,2500832,2513268,3137122,6998122,8751664,8688384,13727526,15132875,17584443
15,EBITDA,-471000,1067000,3943002,16191901,28301710,80408638,-10515492,64417097,91211308,163436191,233685490,229375203,110527542,141471738,188398682,252240842,323236033,342050599
16,EBITDA ratio,-0.0368,0.0637,0.1107,0.2614,0.1988,0.2596,-0.0295,0.1435,0.2027,0.2377,0.2555,0.2555,0.1202,0.1215,0.1206,0.1276,0.1458,0.1378
17,Operating Income,-99000,2510000,- -,15439178,27549468,73999008,-46270482,55587695,82586704,156291973,223263860,213775379,97049495,105535021,179358966,247059755,375430481,309862002
18,Operating Income ratio,-0.0077,0.1499,- -,0.2493,0.1935,0.2389,-0.1297,0.1238,0.1835,0.2273,0.2441,0.2381,0.1055,0.0906,0.1149,0.1250,0.1693,0.1248
19,Total Other Income Expenses (Gains),- -,- -,- -,-643469,-711792,1379641,33360039,6656124,5868924,5350645,9018626,-3759265,-17995512,13457882,-13648411,-53831224,-125031214,-76354828
20,Income Before Tax,- -,- -,- -,14795709,26837676,75378649,-12910443,62243819,88455628,161642618,232282486,210016114,79053983,118992903,165710555,193228531,250399267,233507174
21,Income Before Tax Ratio,- -,- -,- -,0.2389,0.1885,0.2434,-0.0362,0.1386,0.1966,0.2351,0.2539,0.2339,0.0860,0.1022,0.1061,0.0977,0.1129,0.0941
22,Income Tax expense (Gain),- -,- -,- -,5247809,10717338,29715493,10729508,19824791,37333374,58637489,74174627,83659850,30557618,52511318,86247875,113117126,144447247,150478372
23,Net Income,-471000,1067000,3943002,9562791,16122910,45663156,-23639951,42419028,51140211,102297870,156997595,126356264,48515730,66482107,72977548,63627551,73034549,68344527
24,Net Income ratio,-0.0368,0.0637,0.1107,0.1544,0.1132,0.1474,-0.0663,0.0945,0.1137,0.1488,0.1716,0.1407,0.0527,0.0571,0.0467,0.0322,0.0329,0.0275
25,EPS,-0.02,0.04,0.07,0.16,0.42,-2.56,-0.32,0.56,0.68,1.36,2.18,1.66,0.66,0.93,1.10,0.96,1.16,1.20
26,EPS Diluted,-0.02,0.04,0.07,0.16,0.42,-2.56,-0.32,0.52,0.66,1.36,2.17,1.63,0.66,0.91,1.06,0.94,1.15,1.20
27,Weighted Average Shares Outstanding,23550000,30000000,60000000,60000000,36347234,54345134,74574654,75626500,76289000,75657500,72129000,72867000,75968000,71313000,66631000,64352000,63564000,56741000
28,Weighted Average Shares Outstanding Diluted,23550000,30000000,60000000,60000000,36347234,54345134,74574654,80435500,77698500,75657500,72366000,74732000,76278000,73244000,68827000,65820000,64590000,57050000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1398453/000119312509138451/d20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000119312510072669/0001193125-10-072669-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000119312511103077/d20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420412021655/v307208_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420413021836/v338183_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420414024793/v372155_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420415025225/v405075_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420416091105/0001144204-16-091105-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000114420417016627/0001144204-17-016627-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000114420418023406/tv488616_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420419021706/tv516639_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000110465920052873/tm206501-3_20f.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2822000,- -,14928747,34914210,309315082,135658720,157800190,213325871,319218155,496204796,587119126,140494754,387528092,578244378,894551480,674141554,662606063
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6008477,1244646,39310595,57739558,8442063,5595625
33,Cash and Short-Term Investments,- -,2822000,- -,14928747,34914210,309315082,135658720,157800190,213325871,319218155,496204796,587119126,146503231,388772738,617554973,952291038,682583617,668201688
