,https://roic.ai/company/BCE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13257374528,13932467891,14648992853,15253042233,16680949624,18373042570,19883984285,20783979657,19826979084,21669939683,24623943278,28167054954,33190993567,27454024768,14213975694,18093881224,21711238459,19768649669,19055777406,19192464603,19104547040,17713187325,17865726487,17697911608,17735000000,18069000000,19497000000,19975000000,20400000000,21042000000,21514000000,21719000000,22719000000,23468000000,23964000000,22883000000,23449000000
2,COGS,7913462883,8185333517,8556985055,9042949177,9009033005,9731005684,10279986134,13973045137,13465978290,14554074905,16464003272,18576949431,21898070050,18233126935,8520978009,11292741452,14243871379,12113629210,11629524668,11629469642,11508314920,10384436160,4170225444,4428120447,4525000000,4949000000,11868000000,10215000000,10453000000,10847000000,11098000000,11014000000,11469000000,11850000000,11903000000,11312000000,13556000000
3,Gross Profit,5343911645,5747134374,6092007798,6210093056,7671916619,8642036886,9603998151,6810934520,6361000794,7115864778,8159940006,9590105523,11292923517,9220897833,5692997685,6801139772,7467367080,7655020459,7426252738,7562994961,7596232120,7328751165,13695501043,13269791161,13210000000,13120000000,7629000000,9760000000,9947000000,10195000000,10416000000,10705000000,11250000000,11618000000,12061000000,11571000000,9893000000
4,Gross Profit Ratio,0.4031,0.4125,0.4159,0.4071,0.4599,0.4704,0.4830,0.3277,0.3208,0.3284,0.3314,0.3405,0.3402,0.3359,0.4005,0.3759,0.3439,0.3872,0.3897,0.3941,0.3976,0.4137,0.7666,0.7498,0.7449,0.7261,0.3913,0.4886,0.4876,0.4845,0.4841,0.4929,0.4952,0.4951,0.5033,0.5057,0.4219
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2910936383,2919969040,23003472,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000000,- -,- -,- -,- -,- -,- -,80000000,-138000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000000,- -,- -,- -,- -,- -,- -,80000000,-138000000,- -,- -
9,Other Expenses,2849713407,3124568430,3519948018,3804104032,4011001737,4375014499,5180956783,3584996821,5194069367,4305933511,5104035997,5905029464,3897069335,3500928793,3001012732,3779244151,4570200573,3146049733,3322169264,3363330933,3493429469,3641658900,9920548217,9534968431,9492000000,9224000000,3020000000,5265000000,5238000000,5344000000,5285000000,5425000000,5922000000,6097000000,6353000000,6368000000,4609000000
10,Operating Expenses,2849713407,3124568430,3519948018,3804104032,4011001737,4375014499,5180956783,3584996821,5194069367,4305933511,5104035997,5905029464,6808005718,6420897833,3024016204,3779244151,4570200573,3146049733,3322169264,3363330933,3493429469,3641658900,9920548217,9534968431,9492000000,9224000000,3670000000,5265000000,5238000000,5344000000,5285000000,5425000000,5922000000,6177000000,6215000000,6368000000,4609000000
11,COGS and Expenses,10763176290,11309901947,12076933073,12847053209,13020034742,14106020183,15460942917,17558041958,18660047657,18860008416,21568039269,24481978895,28706075768,24654024768,11544994213,15071985603,18814071952,15259678943,14951693932,14992800575,15001744389,14026095060,14090773661,13963088878,14017000000,14173000000,15538000000,15480000000,15691000000,16191000000,16383000000,16439000000,17391000000,18027000000,18118000000,17680000000,18165000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,7000000,- -,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000000,670000000,2196000000,1823000000,1081000000,1030000000,1019000000,969000000,1027000000,1069000000,1195000000,1156000000,1102000000
14,Depreciation and Amortization,1312176709,1411683469,1529954516,1601049869,1812970469,2017979353,2218973885,2328035601,2471008737,2699957918,2970002727,3434013978,3897069335,3500928793,3001012731,3779244151,4691181152,3146049732,3146979261,3107751380,3114315618,3129077353,3198927401,3268576979,3371000000,3292000000,3261000000,3388000000,3380000000,3452000000,3420000000,3508000000,3850000000,4014000000,4398000000,4404000000,4609000000
15,EBITDA,3210261429,3367214473,3482910981,3134096874,3307006369,3792947454,4350935983,4521932613,2204924543,4646935053,4571038996,5703987940,3883059328,9646904025,9423032407,10047990401,6770136899,7214353163,6098157930,5411567075,5969298756,5221342031,7980931572,4680670229,6200000000,6789000000,8517000000,8799000000,7395000000,7911000000,8041000000,8618000000,8830000000,9007000000,9917000000,8986000000,9595000000
16,EBITDA ratio,0.2421,0.2417,0.2378,0.2055,0.1983,0.2064,0.2188,0.2176,0.1112,0.2144,0.1856,0.2025,0.1170,0.3514,0.6629,0.5553,0.3118,0.3649,0.3200,0.2820,0.3125,0.2948,0.4467,0.2645,0.3496,0.3757,0.4368,0.4405,0.3625,0.3760,0.3738,0.3968,0.3887,0.3838,0.4138,0.3927,0.4092
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-596113518,-667034940,-619103315,-872942019,-1726925305,-2492054286,-2291079270,-1032040687,-617950755,-862954132,-1454867740,-1415102097,-1548963546,3345975232,3753038195,-728854230,1077682268,-1018256216,-1123277084,-1817854573,-1028026514,-1482991613,1199721918,-2791403594,-1268000000,-770000000,-665000000,-617000000,-1493000000,-1204000000,-1477000000,-1083000000,-1319000000,-1473000000,-1460000000,-1938000000,-1348000000
20,Income Before Tax,1898084720,1955531004,1952956465,1533047005,1933989577,1774968101,2131962098,2193897012,548980672,1946977135,1601036269,2269973962,2935954253,6145975232,6422019676,2293041391,3974848775,3490714510,2980806390,2381809455,3074776137,2204100652,4974674744,943419136,2450000000,3126000000,3294000000,3878000000,3216000000,3647000000,3654000000,4197000000,4009000000,3968000000,4386000000,3265000000,3936000000
21,Income Before Tax Ratio,0.1432,0.1404,0.1333,0.1005,0.1159,0.0966,0.1072,0.1056,0.0277,0.0898,0.0650,0.0806,0.0885,0.2239,0.4518,0.1267,0.1831,0.1766,0.1564,0.1241,0.1609,0.1244,0.2784,0.0533,0.1381,0.1730,0.1689,0.1941,0.1576,0.1733,0.1698,0.1932,0.1765,0.1691,0.1830,0.1427,0.1679
