,https://roic.ai/company/AMNL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,689636,403586,304851,1035329,628176,3800104,7731081,- -,- -,- -,92952,165742,54825,234221,507474,4013134,2444677,4873161,486046,879169
2,COGS,482305,300230,335104,567545,551258,2689530,4712662,- -,- -,- -,80578,103238,17244,49464,9204,2282805,3490269,2507236,934865,1245776
3,Gross Profit,207331,103356,-30253,467784,76918,1110574,3018419,390999,1299753,- -,12374,62504,37581,184757,498270,1730329,-1045592,2365925,-448819,-366607
4,Gross Profit Ratio,0.3006,0.2561,-0.0992,0.4518,0.1224,0.2922,0.3904,Infinity,Infinity,- -,0.1331,0.3771,0.6855,0.7888,0.9819,0.4312,-0.4277,0.4855,-0.9234,-0.4170
5,Research and Development Exp.,115369,48280,51140,340657,760347,2143161,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,3839270,4084248,4683914,2490347,- -,6541043,8569413,5195830,4857015,4069508,3683330,3123448,3398267,2265805
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,3839270,4084248,4683914,2490347,- -,6541043,8569413,5195830,4857015,4069508,3683330,3123448,3398267,2265805
9,Other Expenses,542127,771833,1255182,1013645,3106029,991266,1378435,623391,1299753,2307202,7180481,3823968,4869236,5790505,5558063,2329905,508861,195685,196351,201234
10,Operating Expenses,657496,820113,1306322,1354302,3866376,3134427,5217705,4707639,5983667,4797549,7180481,10365011,13438649,10986335,10415078,6399413,4192191,3319133,3594618,2467039
11,COGS and Expenses,1139801,1120343,1641426,1921847,4417634,5823957,9930367,4707639,5983667,4797549,7261059,10468249,13455893,11035799,10424282,8682218,7682460,5826369,4529483,3712815
12,Interest Income ,2330,14,8,36,26131,30188,56873,25977,448,957,1176,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),126870,269373,106659,56224,65089,20074,20744,85,310554,248047,387684,12993,- -,- -,- -,- -,- -,2298743,2183003,1809397
14,Depreciation and Amortization,175440,77834,17075,45593,90911,178832,376228,435622,489074,162859,248605,280991,317570,1164366,1312585,1348860,1316537,1277953,- -,101843
15,EBITDA,-275973,-364694,-1258304,-844457,-3624318,-1794016,-1284744,-4246040,-5494145,-4633733,-6846347,-9438415,-12745956,-9151951,-8492552,-6290912,-13594122,250703,-3790129,-1376471
16,EBITDA ratio,-0.4002,-0.9036,-4.1276,-0.8156,-5.7696,-0.4721,-0.1662,-Infinity,-Infinity,-Infinity,-73.6546,-56.9464,-232.4844,-39.0740,-16.7349,-1.5676,-5.5607,0.0514,-7.7979,-1.5657
17,Operating Income,-450165,-716757,-1336575,-883654,-3789458,-2023853,-2199286,-4707639,-6025299,-4807516,-7167107,-10312420,-13403550,-10801578,-9916808,-4560320,-5237783,-2000709,-4043437,-2833646
18,Operating Income ratio,-0.6528,-1.7760,-4.3844,-0.8535,-6.0325,-0.5326,-0.2845,-Infinity,-Infinity,-Infinity,-77.1055,-62.2197,-244.4788,-46.1170,-19.5415,-1.1363,-2.1425,-0.4106,-8.3190,-3.2231
19,Total Other Income Expenses (Gains),-128118,264606,44714,-3571,9140,30931,517570,-1508106,-676199,-84009,-257437,580021,340024,485261,111671,-3079452,-9672876,-1325284,-1929695,-454065
20,Income Before Tax,-578283,- -,- -,- -,-3780318,-1992922,-1681716,-6215745,-6701498,-4891525,-7424544,-9732399,-13063526,-10316317,-9805137,-7639772,-14910659,-3325993,-5973132,-3287711
21,Income Before Tax Ratio,-0.8385,- -,- -,- -,-6.0179,-0.5244,-0.2175,-Infinity,-Infinity,-Infinity,-79.8750,-58.7202,-238.2768,-44.0452,-19.3215,-1.9037,-6.0992,-0.6825,-12.2892,-3.7396
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-578283,-711901,-1382038,-946274,-3780318,-1992922,-1681716,-5420395,-6766200,-4767715,-7482636,-9732399,-13063526,-10316317,-9805137,-7639772,-14910659,-3325993,-5973132,-3287711
24,Net Income ratio,-0.8385,-1.7639,-4.5335,-0.9140,-6.0179,-0.5244,-0.2175,-Infinity,-Infinity,-Infinity,-80.5000,-58.7202,-238.2768,-44.0452,-19.3215,-1.9037,-6.0992,-0.6825,-12.2892,-3.7396
25,EPS,-0.09,-0.09,-0.06,-0.02,-0.08,-0.04,-0.03,-0.10,-0.11,-0.07,-0.10,-0.11,-0.14,-0.11,-0.10,-0.07,-0.13,-0.02,-0.03,-0.02
26,EPS Diluted,-0.09,-0.09,-0.06,-0.02,-0.08,-0.04,-0.03,-0.10,-0.11,-0.07,-0.10,-0.11,-0.14,-0.11,-0.10,-0.07,-0.13,-0.02,-0.03,-0.02
27,Weighted Average Shares Outstanding,6057758,7938251,21363537,37268310,45222704,49446722,53504206,56340783,60665785,68396770,74568658,89552788,94303264,94895194,96033553,103124288,118977573,164652933,175513549,176642306
28,Weighted Average Shares Outstanding Diluted,6057758,7938251,21363537,37268310,45222704,49446722,53504206,56340783,60665785,68396770,74568658,89552788,94303264,94895194,96033553,103124288,118977573,164652933,175513549,176642306
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8328/000157587221000073/0001575872-21-000073-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
