,https://roic.ai/company/MMS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,103100000,127900000,233500000,319500000,399164000,487260000,518698000,558283000,603774000,647538000,700894000,738646000,745133000,717299000,831749000,929633000,1050145000,1331279000,1700912000,2099821000,2403360000,2450961000,2392236000,2886815000,3461537000,4254485000
2,COGS,78100000,93800000,170500000,222500000,269610000,335827000,357036000,391707000,427207000,467588000,564648000,561563000,543389000,525032000,610916000,675982000,762202000,945246000,1248789000,1587104000,1841169000,1839056000,1797851000,2215631000,2750535000,3307510000
3,Gross Profit,25000000,34100000,63000000,97000000,129554000,151433000,161662000,166576000,176567000,179950000,136246000,177083000,201744000,192267000,220833000,253651000,287943000,386033000,452123000,512717000,562191000,611905000,594385000,671184000,711002000,946975000
4,Gross Profit Ratio,0.2425,0.2666,0.2698,0.3036,0.3246,0.3108,0.3117,0.2984,0.2924,0.2779,0.1944,0.2397,0.2707,0.2680,0.2655,0.2729,0.2742,0.2900,0.2658,0.2442,0.2339,0.2497,0.2485,0.2325,0.2054,0.2226
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132866000,- -,197657000,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13100000,22700000,37500000,51100000,67947000,78796000,96013000,107406000,113521000,116676000,129678000,135581000,115649000,-102452000,118778000,132866000,157402000,197657000,226815000,238792000,268259000,284510000,285241000,321023000,387090000,494088000
9,Other Expenses,300000,400000,2400000,2700000,6222000,5597000,968000,1189000,- -,7000000,9394000,45089000,86990000,- -,-5351000,-1616000,90000,- -,- -,9348000,13377000,12208000,10308000,33054000,35634000,44357000
10,Operating Expenses,13400000,23100000,39900000,53800000,74169000,84393000,96981000,108595000,113521000,123676000,139072000,180670000,202639000,-102452000,113427000,131250000,157492000,197657000,226815000,248140000,281636000,296718000,295549000,354077000,422724000,538445000
11,COGS and Expenses,91500000,116900000,210400000,276300000,343779000,420220000,454017000,500302000,540728000,591264000,703720000,742233000,746028000,422580000,724343000,807232000,919694000,1142903000,1475604000,1835244000,2122805000,2135774000,2093400000,2569708000,3173259000,3845955000
