,https://roic.ai/company/TRUE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,76330000,79889000,133958000,206649000,259838000,277507000,323149000,353571000,353880000,278678000,231698000
2,COGS,7660000,13559000,15295000,17513000,23657000,25167000,28227000,31154000,33427000,21549000,22239000
3,Gross Profit,68670000,66330000,118663000,189136000,236181000,252340000,294922000,322417000,320453000,257129000,209459000
4,Gross Profit Ratio,0.8996,0.8303,0.8858,0.9153,0.9090,0.9093,0.9127,0.9119,0.9055,0.9227,0.9040
5,Research and Development Exp.,18457000,21960000,23685000,36563000,48021000,53580000,59070000,61348000,57188000,44930000,41432000
6,General and Administrative Exp.,21912000,34228000,30857000,58296000,83494000,59908000,61646000,54140000,65148000,49989000,48747000
7,Selling and Marketing Exp.,41992000,70327000,75180000,128569000,151002000,154406000,185397000,213415000,229342000,151915000,136479000
8,"Selling, General and Administrative Exp.",63904000,104555000,106037000,186865000,234496000,214314000,247043000,267555000,294490000,201904000,185226000
9,Other Expenses,4148000,11768000,11569000,13213000,17646000,23345000,22472000,22677000,25591000,20547000,16279000
10,Operating Expenses,86509000,138283000,141291000,236641000,300163000,291239000,328585000,351580000,377269000,267381000,242937000
11,COGS and Expenses,94169000,151842000,156586000,254154000,323820000,316406000,356812000,382734000,410696000,288930000,265176000
12,Interest Income ,199000,229000,121000,59000,107000,376000,1260000,3314000,3495000,462000,52000
13,Interest Expense (Gain),66000,3359000,1988000,380000,443000,2530000,2610000,2649000,- -,- -,- -
14,Depreciation and Amortization,4027000,10275000,10835000,12979000,17267000,23169000,22391000,22661000,31566000,25780000,20574000
15,EBITDA,-15515000,-61467000,-11654000,-34430000,-46595000,-15354000,-10012000,-3188000,-23035000,102318000,-17549000
16,EBITDA ratio,-0.2033,-0.7694,-0.0870,-0.1666,-0.1793,-0.0553,-0.0310,-0.0090,-0.0651,0.3672,-0.0757
17,Operating Income,-17839000,-71953000,-22628000,-47505000,-63982000,-38899000,-33663000,-29163000,-56816000,-18516000,-33478000
18,Operating Income ratio,-0.2337,-0.9007,-0.1689,-0.2299,-0.2462,-0.1402,-0.1042,-0.0825,-0.1606,-0.0664,-0.1445
19,Total Other Income Expenses (Gains),-1769000,-3148000,-1849000,-284000,-323000,-2154000,-1350000,665000,2215000,-1329000,-4685000
20,Income Before Tax,-19608000,-75101000,-24477000,-47789000,-64305000,-41053000,-35013000,-28498000,-54601000,-19845000,-38163000
21,Income Before Tax Ratio,-0.2569,-0.9401,-0.1827,-0.2313,-0.2475,-0.1479,-0.1083,-0.0806,-0.1543,-0.0712,-0.1647
22,Income Tax expense (Gain),-10690000,-606000,579000,640000,606000,655000,-2164000,-177000,289000,-6000,206000
23,Net Income,-8918000,-74495000,-25056000,-48429000,-64911000,-41708000,-32849000,-28321000,-54890000,76544000,-38329000
24,Net Income ratio,-0.1168,-0.9325,-0.1870,-0.2344,-0.2498,-0.1503,-0.1017,-0.0801,-0.1551,0.2747,-0.1654
25,EPS,-0.15,-1.18,-0.43,-0.68,-0.79,-0.49,-0.35,-0.28,-0.52,0.73,-0.36
26,EPS Diluted,-0.15,-1.18,-0.43,-0.68,-0.79,-0.49,-0.35,-0.28,-0.52,0.73,-0.36
27,Weighted Average Shares Outstanding,58853000,62959000,58853000,70837000,81914000,84483000,94865000,102149000,105805000,106315000,106315000
28,Weighted Average Shares Outstanding Diluted,58853000,62959000,58853000,70837000,81914000,84483000,94865000,102149000,105805000,106315000,106315000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327318/000155837015000322/0001558370-15-000322-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731816000026/0001327318-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731817000009/0001327318-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731818000019/0001327318-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731819000009/0001327318-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731820000009/0001327318-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731821000019/0001327318-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731822000005/0001327318-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,22062000,43819000,147539000,112371000,107721000,197762000,196128000,181534000,273314000,245217000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19905000,- -
33,Cash and Short-Term Investments,- -,22062000,43819000,147539000,112371000,107721000,197762000,196128000,181534000,293219000,245217000
34,Net Receivables,- -,11229000,18981000,28748000,33761000,36867000,39169000,47760000,44888000,32923000,16710000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4764000,6776000,8233000,6827000,8322000,6620000,11571000,13319000,-1204000,8011000
37,Total Current Assets,- -,38055000,69576000,184520000,152959000,152910000,243551000,255459000,239741000,324938000,269938000
38,PP&E,- -,12842000,15238000,30731000,71390000,66941000,70710000,61511000,65861000,50613000,42760000
39,Goodwill,- -,53270000,53270000,53270000,53270000,53270000,53270000,73311000,73311000,51205000,51205000
40,Intangible Assets,- -,36227000,31834000,27949000,23815000,19774000,15912000,23451000,17260000,6600000,4950000
41,Intangible Assets,- -,89497000,85104000,81219000,77085000,73044000,69182000,96762000,90571000,57805000,56155000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,21894000,19905000,14500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,4850000,4832000,482000,940000,1553000,1391000,7228000,3620000,4800000,4317000
45,Total Non-Current Assets,- -,107189000,105174000,112432000,149415000,141538000,141283000,165501000,181946000,133123000,117732000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,145244000,174750000,296952000,302374000,294448000,384834000,420960000,421687000,458061000,387670000
48,Accounts Payable,- -,5706000,9173000,12826000,18880000,13827000,18620000,26305000,21336000,13198000,11364000
49,Short-Term Debt,- -,23696000,4764000,- -,- -,- -,- -,- -,5875000,4771000,5253000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,15443000,17002000,26028000,20224000,21534000,19358000,15257000,26959000,24908000,14864000
53,Total Current Liabilities,- -,44845000,30939000,38854000,39104000,35361000,37978000,41562000,54170000,42877000,31481000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,684000,1791000,2245000,2413000,2994000,812000,568000,783000,40000,103000
57,Other Non-Current Liabilities,- -,1519000,29840000,6655000,28165000,31512000,32926000,32277000,39463000,32362000,- -
