,https://roic.ai/company/VIPS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,19151351,216104788,1427592976,4320037620,10282243976,23408337381,40203212000,56591302000,72912313000,84523948000,92994418000,101858489000,117059678000
2,COGS,17590206,194828669,1155191384,3355833371,7811046099,17587686780,30306723000,42994688000,56618471000,67454981000,72314190000,80573181000,93953121000
3,Gross Profit,1561145,21276118,272401591,964204249,2471197876,5820650601,9896489000,13596614000,16293842000,17068967000,20680228000,21285308000,23106557000
4,Gross Profit Ratio,0.0815,0.0985,0.1908,0.2232,0.2403,0.2487,0.2462,0.2403,0.2235,0.2019,0.2224,0.2090,0.1974
5,Research and Development Exp.,704888,3728328,34670329,91405771,244829308,679092775,1076520000,1563582000,1808452000,2000894000,1568107000,- -,- -
6,General and Administrative Exp.,9322623,61118406,852058877,853313907,1746292493,3954547451,6045023000,8409254000,11155830000,12164466000,12950077000,11848803000,13359501000
7,Selling and Marketing Exp.,2072356,16170765,95867148,201439618,451477826,1178192621,2089348000,2837680000,2978621000,3240450000,3323927000,4284274000,5089213000
8,"Selling, General and Administrative Exp.",11394980,77289171,947926024,1054753525,2197770319,5132740072,8134371000,11246934000,14134451000,15404916000,16274004000,16133077000,18448714000
9,Other Expenses,-1110948,-4250150,-38216213,-107405534,-297604830,-806838329,-1373815000,-1901917000,-2270514000,-2656178000,-2117132000,-566447000,-924579000
10,Operating Expenses,10988919,76767350,944380140,1038753762,2144994798,5004994517,7837076000,10908599000,13672389000,14749632000,15724979000,15566630000,17524135000
11,COGS and Expenses,28579126,271596019,2099571525,4394587133,9956040898,22592681297,38143799000,53903287000,70290860000,82204613000,88039169000,96139811000,111477256000
12,Interest Income ,321,3741,769517,22208441,94940502,292104327,267208000,107044000,101125000,242872000,217027000,449017000,671461000
13,Interest Expense (Gain),- -,- -,3107989,1391100,- -,76156279,85762000,85195000,82435000,159744000,86004000,67357000,14461000
14,Depreciation and Amortization,282133,684440,8603059,28257435,53565813,361476956,583830000,1012610000,1117201000,889733000,950506000,1139279000,- -
15,EBITDA,-9145321,-54803051,-662490487,-25066553,482931720,1537056823,2717002000,3736450000,3775431000,3744868000,6036896000,8243609000,5918238000
16,EBITDA ratio,-0.4775,-0.2536,-0.4641,-0.0058,0.0470,0.0657,0.0676,0.0660,0.0518,0.0443,0.0649,0.0809,0.0506
17,Operating Income,-9427775,-55491232,-671978549,-74549513,326203078,843744699,2070549000,2707709000,2690446000,2421113000,4773374000,5860086000,5582422000
18,Operating Income ratio,-0.4923,-0.2568,-0.4707,-0.0173,0.0317,0.0360,0.0515,0.0478,0.0369,0.0286,0.0513,0.0575,0.0477
19,Total Other Income Expenses (Gains),321,3741,-2222986,19834425,103162829,229388810,-20029000,-41625000,-149593000,325962000,169431000,1159271000,290853000
20,Income Before Tax,-9427454,-55487491,-674201535,-54715089,429365907,1073133509,2050520000,2666084000,2540853000,2747075000,4942805000,7019357000,5873275000
21,Income Before Tax Ratio,-0.4923,-0.2568,-0.4723,-0.0127,0.0418,0.0458,0.0510,0.0471,0.0348,0.0325,0.0532,0.0689,0.0502
22,Income Tax expense (Gain),- -,- -,- -,4407798,112416185,247988031,457745000,601828000,626140000,566604000,983554000,1130016000,1222704000
23,Net Income,-9427454,-55487491,-674201535,-59122886,316949722,851435557,1589665000,2036817000,1949655000,2128787000,4016832000,5906957000,4681073000
24,Net Income ratio,-0.4923,-0.2568,-0.4723,-0.0137,0.0308,0.0364,0.0395,0.0360,0.0267,0.0252,0.0432,0.0580,0.0400
25,EPS,-0.03,-0.15,-2.64,-0.14,0.58,1.50,2.75,3.51,3.32,3.22,6.02,8.75,6.93
26,EPS Diluted,-0.03,-0.15,-2.64,-0.14,0.55,1.41,2.65,3.37,3.19,3.12,5.92,8.56,6.78
27,Weighted Average Shares Outstanding,373173705,373173705,373173705,444246030,544813185,566553410,578680460,579790440,587771145,661330785,667620645,675388950,675388950
