,https://roic.ai/company/QNTA,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,- -,- -,1268988,1158
2,COGS,- -,- -,- -,- -,303720,281
3,Gross Profit,- -,- -,- -,- -,965268,877
4,Gross Profit Ratio,- -,- -,- -,- -,0.7607,0.7571
5,Research and Development Exp.,- -,4400,74000,85000,351670,452
6,General and Administrative Exp.,- -,14860,54993,93954,6101421,4273
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,14860,54993,93954,6101421,4273
9,Other Expenses,- -,- -,4000,- -,- -,1537
10,Operating Expenses,- -,19260,132993,178954,6453091,6263
11,COGS and Expenses,- -,19260,132993,178954,6756811,6544
12,Interest Income ,- -,- -,- -,- -,37,- -
13,Interest Expense (Gain),- -,- -,- -,- -,226239,1268445
14,Depreciation and Amortization,- -,- -,4000,- -,261034,342889
15,EBITDA,- -,-19260,-128993,-178954,-5300091,1603170
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-4.1766,1384.2922
17,Operating Income,- -,-19260,-132993,-178954,-5487823,-5385835
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-4.3246,-4650.5183
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-299541,5377671
20,Income Before Tax,- -,-19260,-132993,-178954,-5787364,-8164
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-4.5606,-7.0498
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,- -,-19260,-132993,-178954,-5787364,-8164
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-4.5606,-7.0498
25,EPS,- -,-0.00,-0.01,-0.01,-0.14,-0.14
26,EPS Diluted,- -,-0.00,-0.01,-0.01,-0.14,-0.14
27,Weighted Average Shares Outstanding,- -,22000000,22000000,19783000,42808603,59908938
28,Weighted Average Shares Outstanding Diluted,- -,22000000,22000000,19783000,42808603,59908938
