,https://roic.ai/company/NGL-PB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,734991000,809633000,- -,1310473000,4417767000,9699274000,16802057000,11742110000,13022228000,17282718000,24016907000,7584000000,5227023000
2,COGS,706418000,752149000,- -,1217023000,4107963000,9253453000,16152156000,11067961000,12545114000,16788750000,23497777000,6869695000,4811049000
3,Gross Profit,28573000,57484000,- -,93450000,309804000,445821000,649901000,674149000,477114000,493968000,519130000,714305000,415974000
4,Gross Profit Ratio,0.0389,0.0710,- -,0.0713,0.0701,0.0460,0.0387,0.0574,0.0366,0.0286,0.0216,0.0942,0.0796
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,52698000,79860000,149430000,139541000,116566000,109451000,107534000,113664000,70468000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16652000,40964000,- -,63309000,52698000,79860000,149430000,139541000,116566000,109451000,107534000,113664000,70468000
9,Other Expenses,2490000,6754000,- -,15111000,169799000,259396000,372176000,318445000,314642000,351573000,235311000,342187000,260823000
10,Operating Expenses,19142000,47718000,- -,78420000,222497000,339256000,521606000,457986000,431208000,461024000,342845000,455851000,331291000
11,COGS and Expenses,725560000,799867000,- -,1295443000,4330460000,9592709000,16673762000,11525947000,12976322000,17249774000,23840622000,7325546000,5142340000
12,Interest Income ,162000,120000,- -,765000,1261000,- -,- -,12004000,8605000,7627000,5199000,1517000,- -
13,Interest Expense (Gain),1621000,2233000,- -,7620000,32994000,58854000,110123000,133089000,150478000,199570000,164726000,181184000,198799000
14,Depreciation and Amortization,3290000,3752000,- -,17188000,77513000,132653000,210475000,249211000,237795000,269430000,227694000,276848000,331200000
15,EBITDA,13115000,14028000,- -,33285000,160322000,240099000,333637000,183004000,527254000,399583000,753701000,61370000,-113211000
16,EBITDA ratio,0.0178,0.0173,- -,0.0254,0.0363,0.0248,0.0199,0.0156,0.0405,0.0231,0.0314,0.0081,-0.0217
17,Operating Income,9431000,9766000,- -,15030000,87307000,106565000,87111000,-104603000,255083000,138257000,141989000,-3332000,-390753000
18,Operating Income ratio,0.0128,0.0121,- -,0.0115,0.0198,0.0110,0.0052,-0.0089,0.0196,0.0080,0.0059,-0.0004,-0.0748
19,Total Other Income Expenses (Gains),-1307000,-1723000,- -,-6565000,-37242000,-56870000,-60849000,-82861000,-109270000,-206404000,-204479000,-176868000,-250056000
20,Income Before Tax,8124000,8043000,- -,8465000,50065000,49695000,26262000,-187464000,145813000,-68147000,-62490000,-180200000,-640809000
21,Income Before Tax Ratio,0.0111,0.0099,- -,0.0065,0.0113,0.0051,0.0016,-0.0160,0.0112,-0.0039,-0.0026,-0.0238,-0.1226
22,Income Tax expense (Gain),3255000,- -,- -,601000,1875000,937000,-3622000,-367000,1939000,1458000,1234000,345000,-3391000
23,Net Income,4949000,8043000,- -,7876000,47940000,47655000,16661000,-198929000,137042000,-70875000,360047000,-397007000,-639819000
24,Net Income ratio,0.0067,0.0099,- -,0.0060,0.0109,0.0049,0.0010,-0.0169,0.0105,-0.0041,0.0150,-0.0523,-0.1224
25,EPS,0.07,0.11,- -,0.11,0.67,0.67,0.23,-2.78,1.92,-0.99,5.04,-5.55,-8.95
26,EPS Diluted,0.07,0.11,- -,0.11,0.67,0.67,0.23,-2.78,1.92,-0.99,5.04,-5.55,-8.95
