,https://roic.ai/company/FSLY,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,104900000,144563000,200462000,290874000,354330000
2,COGS,48672000,65499000,88322000,120007000,167002000
3,Gross Profit,56228000,79064000,112140000,170867000,187328000
4,Gross Profit Ratio,0.5360,0.5469,0.5594,0.5874,0.5287
5,Research and Development Exp.,28989000,34618000,46492000,74814000,126859000
6,General and Administrative Exp.,17451000,23450000,41099000,102084000,126845000
7,Selling and Marketing Exp.,40818000,50134000,71097000,101181000,152645000
8,"Selling, General and Administrative Exp.",58269000,73584000,112196000,203265000,279490000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,87258000,108202000,158688000,278079000,406349000
11,COGS and Expenses,135930000,173701000,247010000,398086000,573351000
12,Interest Income ,443000,939000,3287000,1628000,1282000
13,Interest Expense (Gain),1116000,1810000,5236000,1549000,5245000
14,Depreciation and Amortization,9642000,13400000,16553000,46822000,76920000
15,EBITDA,-21484000,-15540000,-29269000,-59041000,-140463000
16,EBITDA ratio,-0.2048,-0.1075,-0.1460,-0.2030,-0.3964
17,Operating Income,-31030000,-29138000,-46548000,-107212000,-219021000
18,Operating Income ratio,-0.2958,-0.2016,-0.2322,-0.3686,-0.6181
19,Total Other Income Expenses (Gains),-1212000,-1612000,-4510000,-200000,-3607000
20,Income Before Tax,-32242000,-30750000,-51058000,-107412000,-222628000
21,Income Before Tax Ratio,-0.3074,-0.2127,-0.2547,-0.3693,-0.6283
22,Income Tax expense (Gain),208000,185000,492000,-11480000,69000
23,Net Income,-32450000,-30935000,-51550000,-95932000,-222697000
24,Net Income ratio,-0.3093,-0.2140,-0.2572,-0.3298,-0.6285
25,EPS,-0.41,-0.41,-0.75,-0.93,-1.92
26,EPS Diluted,-0.41,-0.41,-0.75,-0.93,-1.92
27,Weighted Average Shares Outstanding,78920076,76085515,68350000,103552000,116053000
28,Weighted Average Shares Outstanding Diluted,78920076,76085515,68350000,103552000,116053000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517413/000151741320000043/0001517413-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1517413/000151741321000030/0001517413-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1517413/000151741322000038/0001517413-22-000038-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,31309000,36963000,16142000,62900000,166068000
32,Short-Term Investments,18886000,46679000,114967000,131283000,361795000
33,Cash and Short-Term Investments,50195000,83642000,131109000,194183000,527863000
34,Net Receivables,19094000,24729000,37136000,50258000,64625000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,6658000,8896000,81078000,16815000,32160000
37,Total Current Assets,75947000,117267000,249323000,261256000,624648000
38,PP&E,36973000,42354000,60037000,155998000,236592000
39,Goodwill,382000,360000,372000,635590000,636805000
40,Intangible Assets,695000,610000,1125000,121742000,102596000
41,Intangible Assets,1077000,970000,1497000,757332000,739401000
42,Investments,- -,- -,- -,131283000,528911000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2174000,2163000,10112000,-85918000,29468000
45,Total Non-Current Assets,40224000,45487000,71646000,958695000,1534372000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,116171000,162754000,320969000,1219951000,2159020000
48,Accounts Payable,4095000,2333000,4602000,9150000,9257000
49,Short-Term Debt,1758000,11370000,4472000,30928000,41396000
50,Tax Payable,2008000,3077000,3938000,6274000,7498000
51,Deferred Revenue,515000,1622000,317000,15916000,26421000
52,Other Current Liabilities,11881000,16425000,27730000,38095000,54798000
53,Total Current Liabilities,18249000,31750000,37121000,94089000,131872000
54,Long-Term Debt,23154000,39439000,20081000,14707000,1010612000
55,Deferred Revenue,- -,- -,- -,2104000,- -
56,Deferred Tax Liabilities,- -,- -,- -,1676000,- -
57,Other Non-Current Liabilities,181774000,223492000,6115000,45510000,2583000
58,Total Non-Current Liabilities,204928000,262931000,26196000,63997000,1013195000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,9549000,90525000,118803000
61,Total Liabilities,223177000,294681000,63317000,158086000,1145067000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,2000,2000
64,Retained Earnings,-115251000,-146186000,-192009000,-288193000,-510890000
65,Other Comprehensive Income/Loss,-24000,-36000,196000,6000,-2627000
66,Other Total Stockholders Equity,8268000,14294000,449463000,1350050000,- -
67,Total Stockholders Equity,-107006000,-131927000,257652000,1061865000,1013953000
68,Total Liabilities And Stockholders Equity,116171000,162754000,320969000,1219951000,2159020000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,116171000,162754000,320969000,1219951000,2159020000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517413/000151741320000043/0001517413-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1517413/000151741321000030/0001517413-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1517413/000151741322000038/0001517413-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-32450000,-30935000,-51550000,-95932000,-222697000
74,Depreciation and Amortization,9642000,13400000,16553000,46822000,76920000
75,Deferred Income Tax,- -,- -,- -,-12950000,- -
76,Stock Based Compensation,2809000,4079000,12145000,64433000,140488000
77,Change in Working Capital,-7478000,27819000,126685000,-45035000,-43039000
78,Accounts Receivable,-6043000,-6234000,-12767000,-9264000,-14563000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,1109000,-372000,2391000,4059000,146000
81,Other Working Capital,57698000,85517000,212202000,167167000,- -
82,Other Non-Cash Items,1616000,-31348000,-135136000,22746000,9846000
83,Cash Provided by Operating Activities,-25861000,-16985000,-31303000,-19916000,-38482000
84,CAPEX,-13248000,-19657000,-20100000,-37511000,-50387000
85,Acquisitions Net,- -,- -,- -,-200988000,-1169000
86,Purchases of Investments,-46071000,-62660000,-190980000,-269059000,-928155000
87,Sales/Maturities of Investments,43539000,35210000,123402000,231960000,184612000
88,Other Investing Activites,-1149000,87000,-5491000,-7367000,-14983000
89,Cash Used for Investing Activites,-15780000,-47020000,-87678000,-275023000,-794511000
90,Debt Repayment,-7847000,-2048000,-50537000,-26073000,-13568000
91,Common Stock Issued,- -,- -,192510000,274896000,- -
92,Common Stock Repurchased,- -,-13000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,63253000,71698000,26175000,23916000,950119000
95,Cash Used/Provided by Financing Activities,55406000,69637000,168148000,272739000,936551000
96,Effect of Forex Changes on Cash,-32000,22000,99000,-149000,-477000
97,Net Change In Cash,13733000,5654000,49266000,-22349000,103081000
98,Cash at the End of Period,31396000,36963000,86229000,63880000,166961000
99,Cash at the Beginning of Period,17663000,31309000,36963000,86229000,63880000
100,Free Cash Flow,-39109000,-36642000,-51403000,-57427000,-88869000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517413/000151741320000043/0001517413-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1517413/000151741321000030/0001517413-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1517413/000151741322000038/0001517413-22-000038-index.htm
102,false,,,,,
