,https://roic.ai/company/EH,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,31695000,66487000,121814000,180093000,56807000
2,COGS,27511000,32740000,50596000,73914000,20777000
3,Gross Profit,4184000,33747000,71218000,106179000,36030000
4,Gross Profit Ratio,0.1320,0.5076,0.5846,0.5896,0.6343
5,Research and Development Exp.,68669000,60276000,57167000,105252000,137148000
6,General and Administrative Exp.,35387000,35939000,36948000,61613000,187388000
7,Selling and Marketing Exp.,30357000,20174000,26855000,37186000,43229000
8,"Selling, General and Administrative Exp.",65744000,56113000,63803000,98799000,230617000
9,Other Expenses,-4312000,-8293000,-3407000,-6576000,-11199000
10,Operating Expenses,130101000,108096000,117563000,197475000,356566000
11,COGS and Expenses,157612000,140836000,168159000,271389000,377343000
12,Interest Income ,174000,1057000,883000,3795000,5143000
13,Interest Expense (Gain),- -,564000,837000,2337000,1803000
14,Depreciation and Amortization,4441000,5601000,5673000,6192000,- -
15,EBITDA,-77808000,-72872000,-41281000,-78884000,-312022000
16,EBITDA ratio,-2.4549,-1.0960,-0.3389,-0.4380,-5.4927
17,Operating Income,-125917000,-74349000,-46345000,-91296000,-320536000
18,Operating Income ratio,-3.9728,-1.1182,-0.3805,-0.5069,-5.6425
19,Total Other Income Expenses (Gains),44526000,-5876000,-821000,-775000,7050000
20,Income Before Tax,-81391000,-80225000,-47166000,-92071000,-313486000
21,Income Before Tax Ratio,-2.5679,-1.2066,-0.3872,-0.5112,-5.5184
22,Income Tax expense (Gain),5184000,76000,754000,206000,134000
23,Net Income,-87433000,-79113000,-48545000,-87619000,-313959000
24,Net Income ratio,-2.7586,-1.1899,-0.3985,-0.4865,-5.5268
25,EPS,-1.97,-1.68,-2.48,-1.60,-2.99
26,EPS Diluted,-1.97,-1.68,-2.48,-1.60,-2.92
27,Weighted Average Shares Outstanding,48306000,47330500,30568000,54783000,104899000
28,Weighted Average Shares Outstanding Diluted,48306000,47330500,30568000,54783000,107486000
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,61455000,61519000,321662000,137840000,246863000
32,Short-Term Investments,39000000,- -,7674000,49271000,65108000
33,Cash and Short-Term Investments,100455000,61519000,329336000,187111000,311971000
34,Net Receivables,6248000,21374000,60122000,166502000,57549000
35,Inventory,1398000,3917000,18490000,47094000,78075000
36,Other Current Assets,22251000,14944000,20565000,23754000,29555000
37,Total Current Assets,130352000,101754000,428513000,424461000,477150000
38,PP&E,19496000,19058000,16272000,20869000,33821000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,531000,395000,1209000,1062000,745000
42,Investments,2919000,3057000,2983000,2919000,6143000
43,Tax Assets,- -,135000,184000,- -,- -
44,Other Non-Current Assets,- -,272000,252000,35238000,17575000
45,Total Non-Current Assets,22946000,22917000,20900000,60088000,58284000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,153298000,124671000,449413000,484549000,535434000
48,Accounts Payable,15884000,18235000,30081000,60406000,45560000
49,Short-Term Debt,- -,12257000,5312000,45000000,13000000
50,Tax Payable,1346000,463000,3067000,5595000,4000
51,Deferred Revenue,1288000,5987000,9998000,8322000,16032000
52,Other Current Liabilities,15778000,20364000,50207000,44319000,61855000
53,Total Current Liabilities,32950000,56843000,95598000,158047000,136447000
54,Long-Term Debt,- -,- -,32534000,- -,17000000
55,Deferred Revenue,300000,220000,140000,3030000,2169000
56,Deferred Tax Liabilities,292000,292000,292000,292000,292000
