,https://roic.ai/company/CALT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,184829000,874000,229347000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,149826000,241371000,357485000
6,General and Administrative Exp.,51278000,56405000,84603000,133146000,62882000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",51278000,56405000,84603000,133146000,62882000,- -,390232000
9,Other Expenses,111000,112000,51000,51000,- -,141724000,6085000
10,Operating Expenses,51389000,56517000,84654000,133197000,212708000,383095000,753802000
11,COGS and Expenses,51389000,56517000,84654000,133197000,212708000,383095000,753802000
12,Interest Income ,- -,2000,- -,6000,926000,547000,- -
13,Interest Expense (Gain),9000,1008000,2244000,8000,325000,393000,- -
14,Depreciation and Amortization,111000,112000,51000,51000,1822000,2823000,- -
15,EBITDA,-51278000,-56403000,-84603000,-133140000,-30354000,-429918000,-504129000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.1642,-491.8970,-2.1981
17,Operating Income,-50911000,-56020000,-84509000,-132482000,-28019000,-379720000,-524456000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.1516,-434.4622,-2.2867
19,Total Other Income Expenses (Gains),-103000,-892000,-2285000,433000,-4482000,-56431000,11083000
20,Income Before Tax,-51014000,-56912000,-86794000,-132049000,-32501000,-436151000,-513373000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.1758,-499.0286,-2.2384
22,Income Tax expense (Gain),- -,- -,- -,- -,77000,360000,-3836000
23,Net Income,-51014000,-56912000,-86794000,-132049000,-32578000,-433494000,-500293000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.1763,-495.9886,-2.1814
25,EPS,-1.54,-1.71,-2.61,-5.09,-0.88,-19.32,-22.30
26,EPS Diluted,-1.54,-1.71,-2.61,-5.09,-0.88,-19.32,-22.30
27,Weighted Average Shares Outstanding,33232347,33232347,33232347,25948037,36940587,22436724,22436724
28,Weighted Average Shares Outstanding Diluted,33232347,33232347,33232347,25948037,36940587,22436724,22436724
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,25162000,24241000,57352000,646175000,753540000,996304000,955507000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25162000,24241000,57352000,646175000,753540000,996304000,955507000
34,Net Receivables,- -,- -,- -,- -,46586000,- -,11343000
35,Inventory,- -,- -,- -,- -,- -,- -,889000
36,Other Current Assets,2610000,2557000,4437000,1794000,21006000,40547000,45033000
37,Total Current Assets,27772000,26798000,61789000,647969000,821132000,1036851000,1012772000
38,PP&E,65000,209000,158000,107000,6063000,5407000,39609000
39,Goodwill,- -,- -,- -,- -,- -,445301000,37200000
40,Intangible Assets,- -,- -,- -,- -,16066000,16066000,362218000
41,Intangible Assets,- -,- -,- -,- -,16066000,461367000,399418000
42,Investments,1000,1000,1000,1000,1000,2225000,3915000
43,Tax Assets,- -,- -,- -,- -,- -,600000,4196000
44,Other Non-Current Assets,290000,290000,340000,340000,1938000,- -,- -
45,Total Non-Current Assets,356000,500000,499000,448000,24068000,469599000,447138000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28128000,27298000,62288000,648417000,845200000,1506450000,1459910000
48,Accounts Payable,3107000,4922000,13684000,22643000,24384000,53827000,67971000
49,Short-Term Debt,- -,30000000,470000,- -,2486000,- -,- -
50,Tax Payable,- -,- -,- -,- -,77000,518000,- -
51,Deferred Revenue,- -,- -,- -,- -,874000,- -,- -
52,Other Current Liabilities,6934000,6599000,14958000,7599000,25626000,51792000,67475000
53,Total Current Liabilities,10041000,41521000,29112000,30242000,53370000,105619000,135446000
54,Long-Term Debt,- -,- -,- -,- -,3584000,- -,213216000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,79996000,30856000
57,Other Non-Current Liabilities,- -,- -,- -,- -,175000,64535000,72111000
58,Total Non-Current Liabilities,- -,- -,- -,- -,3759000,144531000,316183000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6070000,- -,24052000
61,Total Liabilities,10041000,41521000,29112000,30242000,57129000,250150000,451629000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,455000,531000,667000,1408000,1548000,1998000,2094000
64,Retained Earnings,-176213000,-233126000,-320410000,-455518000,-488096000,-918596000,-1453554000
65,Other Comprehensive Income/Loss,86000,-36000,-40000,-34000,-45000,-6090000,- -
66,Other Total Stockholders Equity,193759000,218408000,352959000,1072319000,1274664000,2133179000,2459741000
67,Total Stockholders Equity,18087000,-14223000,33176000,618175000,788071000,1210491000,1008281000
68,Total Liabilities And Stockholders Equity,28128000,27298000,62288000,648417000,845200000,1460641000,1459910000
69,Minority Interest,- -,- -,- -,- -,- -,45809000,- -
70,Total Liabilities & Equity,28128000,27298000,62288000,648417000,845200000,1506450000,1459910000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-51014000,-56912000,-86794000,-132049000,-32578000,-433494000,-500293000
74,Depreciation and Amortization,111000,112000,51000,51000,1822000,2823000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,249000,6012000,- -
77,Change in Working Capital,1990000,371000,16181000,4242000,-45901000,54083000,5470000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,175000,- -,- -
82,Other Non-Cash Items,1000,996000,2555000,-435000,5397000,61395000,33235000
83,Cash Provided by Operating Activities,-48912000,-55433000,-68007000,-128191000,-71011000,-309181000,-461588000
84,CAPEX,- -,-256000,- -,- -,-16184000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-172602000,- -
86,Purchases of Investments,-290000,- -,-50000,- -,-1888000,-5000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-16066000,- -,-24340000
89,Cash Used for Investing Activites,-290000,-256000,-50000,- -,-18072000,-172607000,-24340000
