,https://roic.ai/company/DNB,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1742500000,1716400000,1413900000,1738100000,2165600000
2,COGS,- -,- -,- -,- -,664300000
3,Gross Profit,- -,- -,- -,1738000000,1501300000
4,Gross Profit Ratio,- -,- -,- -,0.9999,0.6932
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,672400000,610000000,651200000,557800000,- -
7,Selling and Marketing Exp.,- -,- -,- -,557000000,- -
8,"Selling, General and Administrative Exp.",672400000,610000000,651200000,1114800000,714700000
9,Other Expenses,653000000,652100000,930900000,525500000,615900000
10,Operating Expenses,1325400000,1262100000,1582100000,1640300000,1330600000
11,COGS and Expenses,1325400000,1262100000,1582100000,1640300000,1994900000
12,Interest Income ,1600000,1900000,2400000,800000,700000
13,Interest Expense (Gain),59700000,54400000,303500000,271100000,206400000
14,Depreciation and Amortization,79700000,88700000,482400000,536900000,615900000
15,EBITDA,460000000,512800000,107700000,586000000,774000000
16,EBITDA ratio,0.2640,0.2988,0.0762,0.3371,0.3574
17,Operating Income,385000000,428900000,-220000000,63000000,145600000
18,Operating Income ratio,0.2209,0.2499,-0.1556,0.0362,0.0672
19,Total Other Income Expenses (Gains),-62300000,-55800000,-455900000,-282300000,-190800000
20,Income Before Tax,322700000,373100000,-675900000,-219300000,-45200000
21,Income Before Tax Ratio,0.1852,0.2174,-0.4780,-0.1262,-0.0209
22,Income Tax expense (Gain),179700000,81600000,-118200000,-110500000,23400000
23,Net Income,140900000,288100000,-560000000,-111500000,-71700000
24,Net Income ratio,0.0809,0.1679,-0.3961,-0.0642,-0.0331
25,EPS,0.34,0.70,-0.67,-0.48,-0.15
26,EPS Diluted,0.34,0.70,-0.67,-0.48,-0.15
27,Weighted Average Shares Outstanding,411300000,411300000,411300000,367100000,428600000
28,Weighted Average Shares Outstanding Diluted,411300000,411300000,411300000,367100000,428700000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1799208/000179920821000013/0001799208-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1799208/000179920822000011/0001799208-22-000011-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,90200000,98600000,354500000,177100000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,90200000,98600000,354500000,177100000
34,Net Receivables,- -,279500000,279300000,321300000,401700000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,41600000,40000000,198200000,139200000
37,Total Current Assets,- -,411300000,417900000,874000000,718000000
38,PP&E,- -,31200000,29400000,99300000,96800000
39,Goodwill,- -,770800000,2840100000,2856200000,3493300000
40,Intangible Assets,- -,417900000,5631200000,5244700000,5381900000
41,Intangible Assets,- -,1188700000,8471300000,8100900000,8875200000
42,Investments,- -,- -,- -,27000000,- -
43,Tax Assets,- -,42700000,12600000,14000000,18500000
44,Other Non-Current Assets,- -,147000000,181600000,104200000,288700000
45,Total Non-Current Assets,- -,1409600000,8694900000,8345400000,9279200000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,1820900000,9112800000,9219400000,9997200000
48,Accounts Payable,- -,36300000,55000000,61200000,83500000
49,Short-Term Debt,- -,17000000,104300000,48600000,28100000
50,Tax Payable,- -,13700000,7800000,6900000,- -
51,Deferred Revenue,- -,529100000,467500000,467200000,569400000
