,https://roic.ai/company/VICR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23400000,28500000,36800000,55600000,63800000,84000000,115400000,144000000,145000000,162200000,164600000,189900000,257583000,195910000,152591000,151421000,171580000,179351000,192047000,195827000,205368000,197959000,250733000,252968000,218507000,199160000,225731000,220194000,200280000,227830000,291220000,262977000,296576000,359364000
2,COGS,12800000,14500000,16400000,23000000,26500000,35900000,49700000,60000000,58600000,69900000,79100000,92900000,129505000,137421000,114772000,112409000,108292000,107944000,110211000,116818000,119083000,110365000,136213000,146274000,126856000,117681000,128611000,120676000,109071000,126174000,152249000,140011000,165129000,181164000
3,Gross Profit,10600000,14000000,20400000,32600000,37300000,48100000,65700000,84000000,86400000,92300000,85500000,97000000,128078000,58489000,37819000,39012000,63288000,71407000,81836000,79009000,86285000,87594000,114520000,106694000,91651000,81479000,97120000,99518000,91209000,101656000,138971000,122966000,131447000,178200000
4,Gross Profit Ratio,0.4530,0.4912,0.5543,0.5863,0.5846,0.5726,0.5693,0.5833,0.5959,0.5691,0.5194,0.5108,0.4972,0.2986,0.2478,0.2576,0.3689,0.3981,0.4261,0.4035,0.4201,0.4425,0.4567,0.4218,0.4194,0.4091,0.4302,0.4520,0.4554,0.4462,0.4772,0.4676,0.4432,0.4959
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,11600000,14300000,17700000,20700000,19900000,20563000,20194000,20483000,23445000,26211000,29466000,31381000,30372000,31398000,31636000,35981000,38967000,38744000,39848000,41479000,41472000,41848000,44924000,44286000,46588000,50916000,53114000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,21700000,27200000,30300000,34900000,36800000,43179000,43312000,41838000,41270000,41112000,40811000,46437000,48919000,56206000,47932000,49417000,54041000,55655000,60737000,68197000,58313000,55675000,58092000,62224000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6100000,8500000,10100000,12300000,15600000,19800000,24800000,21700000,27200000,30300000,34900000,36800000,43179000,43312000,41838000,41270000,41112000,40811000,46437000,48919000,56206000,47932000,49417000,54041000,55655000,60737000,68197000,58313000,55675000,58092000,62224000,62557000,63163000,69484000
9,Other Expenses,700000,1400000,1900000,3200000,4900000,6700000,7600000,8200000,8300000,8300000,11600000,15800000,18326000,- -,- -,- -,- -,-2250000,37200000,-1353000,-177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6800000,9900000,12000000,15500000,20500000,26500000,32400000,41500000,49800000,56300000,67200000,72500000,82068000,63506000,62321000,64715000,67323000,68027000,115018000,77938000,87427000,79568000,85398000,93008000,94399000,100585000,109676000,99785000,97523000,103016000,106510000,109145000,114079000,122598000
11,COGS and Expenses,19600000,24400000,28400000,38500000,47000000,62400000,82100000,101500000,108400000,126200000,146300000,165400000,211573000,200927000,177093000,177124000,175615000,175971000,225229000,194756000,206510000,189933000,221611000,239282000,221255000,218266000,238287000,220461000,206594000,229190000,258759000,249156000,279208000,303762000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000,136000,97000,80000,47000,68000,124000,257000,300000,95000,930000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,95000,930000
14,Depreciation and Amortization,700000,1400000,1900000,3200000,4900000,6700000,7600000,8200000,8300000,8300000,11600000,15800000,18326000,19984000,22263000,23197000,21900000,17655000,13991000,11619000,10515000,10198000,10222000,11005000,10423000,10008000,9805000,9142000,8438000,8893000,9254000,10334000,11056000,11705000
15,EBITDA,4600000,5200000,10000000,21500000,24100000,30900000,43300000,55000000,48700000,49200000,34900000,43800000,68122000,19089000,-2843000,-1694000,19497000,22535000,-15099000,15939000,7896000,14358000,39627000,24571000,7553000,-10593000,-4507000,13668000,2422000,8704000,42066000,25510000,29600000,69436000
16,EBITDA ratio,0.1966,0.1825,0.2717,0.3867,0.3777,0.3679,0.3752,0.3819,0.3359,0.3033,0.2120,0.2306,0.2645,0.0974,-0.0186,-0.0112,0.1136,0.1256,-0.0786,0.0814,0.0384,0.0725,0.1580,0.0971,0.0346,-0.0532,-0.0200,0.0621,0.0121,0.0382,0.1444,0.0970,0.0998,0.1932
17,Operating Income,3800000,4100000,8400000,17100000,16800000,21600000,33300000,42500000,36600000,36000000,18300000,24500000,46010000,-5017000,-24502000,-25703000,-4035000,3380000,-33182000,1071000,-1142000,4773000,29122000,13686000,-2785000,-20467000,-14763000,-267000,-6314000,-1360000,32059000,13821000,17368000,55602000
18,Operating Income ratio,0.1624,0.1439,0.2283,0.3076,0.2633,0.2571,0.2886,0.2951,0.2524,0.2219,0.1112,0.1290,0.1786,-0.0256,-0.1606,-0.1697,-0.0235,0.0188,-0.1728,0.0055,-0.0056,0.0241,0.1161,0.0541,-0.0127,-0.1028,-0.0654,-0.0012,-0.0315,-0.0060,0.1101,0.0526,0.0586,0.1547
19,Total Other Income Expenses (Gains),100000,-300000,-300000,1200000,2400000,2600000,2400000,4300000,3800000,4900000,5000000,3500000,3786000,4122000,-604000,812000,1632000,1500000,4092000,4388000,211000,682000,497000,346000,194000,2000,268000,25000,284000,1262000,874000,1066000,1093000,1203000
20,Income Before Tax,3900000,3800000,8100000,18300000,19200000,24200000,35700000,46800000,40400000,40900000,23300000,28000000,49796000,-895000,-25106000,-24891000,-2403000,4880000,-29090000,5459000,-931000,5455000,29619000,14032000,-2591000,-20465000,-14495000,-242000,-6030000,-98000,32933000,14887000,18461000,56805000
21,Income Before Tax Ratio,0.1667,0.1333,0.2201,0.3291,0.3009,0.2881,0.3094,0.3250,0.2786,0.2522,0.1416,0.1474,0.1933,-0.0046,-0.1645,-0.1644,-0.0140,0.0272,-0.1515,0.0279,-0.0045,0.0276,0.1181,0.0555,-0.0119,-0.1028,-0.0642,-0.0011,-0.0301,-0.0004,0.1131,0.0566,0.0622,0.1581
22,Income Tax expense (Gain),1400000,1300000,3000000,7100000,7200000,9100000,13600000,17300000,14800000,14700000,7500000,8900000,15876000,-336000,-9164000,-5356000,1320000,964000,648000,-1015000,976000,1362000,-3920000,4723000,1207000,3039000,-425000,-401000,231000,-356000,1087000,778000,539000,176000
23,Net Income,2500000,2500000,5100000,11200000,12000000,15100000,22100000,29500000,25600000,26200000,15800000,19100000,33920000,-559000,-15942000,-19535000,-3723000,3916000,-29738000,5335000,-3595000,2798000,33325000,8843000,-4077000,-23640000,-13887000,4927000,-6247000,167000,31725000,14098000,17910000,56625000
24,Net Income ratio,0.1068,0.0877,0.1386,0.2014,0.1881,0.1798,0.1915,0.2049,0.1766,0.1615,0.0960,0.1006,0.1317,-0.0029,-0.1045,-0.1290,-0.0217,0.0218,-0.1548,0.0272,-0.0175,0.0141,0.1329,0.0350,-0.0187,-0.1187,-0.0615,0.0224,-0.0312,0.0007,0.1089,0.0536,0.0604,0.1576
25,EPS,0.07,0.07,0.14,0.29,0.28,0.35,0.52,0.70,0.60,0.62,0.37,0.46,0.80,-0.01,-0.38,-0.47,-0.09,0.09,-0.71,0.13,-0.09,0.07,0.80,0.21,-0.10,-0.60,-0.36,0.13,-0.16,0.00,0.80,0.35,0.42,1.34
26,EPS Diluted,0.07,0.07,0.14,0.29,0.28,0.35,0.52,0.68,0.60,0.60,0.37,0.45,0.78,-0.01,-0.38,-0.47,-0.09,0.09,-0.71,0.13,-0.09,0.07,0.80,0.21,-0.10,-0.60,-0.36,0.13,-0.16,0.00,0.78,0.34,0.41,1.29
27,Weighted Average Shares Outstanding,35714286,35714286,36428571,38620690,42857143,43142857,42500000,42142857,42666667,42595000,42292000,41568000,42276000,42342000,42337000,41896000,42022000,41923000,41839000,41597000,41651000,41665000,41700000,41797000,41811000,39195000,38569000,38754000,38842000,39228000,39872000,40330000,42186000,42186000
28,Weighted Average Shares Outstanding Diluted,35714286,35714286,36428571,38620690,42857143,43142857,42500000,43382353,42743000,43344000,42785000,42412000,43265000,42342000,42337000,41896000,42022000,42089000,41839000,41687000,41651000,41671000,41772000,41856000,41811000,39195000,38569000,39146000,38842000,39933000,40729000,41677000,43869000,43869000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751978/0000950135-97-001292-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751978/000095013505001465/b53304vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013506001593/b58492vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013507001656/b63649vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013508001871/b68148vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013509001744/0000950135-09-001744-index.html,https://www.sec.gov/Archives/edgar/data/751978/000095012310022990/0000950123-10-022990-index.html,https://www.sec.gov/Archives/edgar/data/751978/000095012311021734/b84123e10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312512093608/0001193125-12-093608-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312513096150/0001193125-13-096150-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312514099821/d640434d10k.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312515080277/d850860d10k.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312516496705/0001193125-16-496705-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312517073261/0001193125-17-073261-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312518077391/0001193125-18-077391-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312519057343/0001193125-19-057343-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312520057067/0001193125-20-057067-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312521063132/0001193125-21-063132-index.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312522060946/0001193125-22-060946-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,1200000,1800000,18400000,28900000,36300000,43200000,65200000,73600000,84900000,58900000,69100000,62916000,57481000,72120000,41723000,36277000,34024000,36185000,20017000,22639000,40224000,49279000,71908000,84554000,56339000,55187000,62980000,56170000,44230000,70557000,84668000,161742000,182418000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,28808000,28779000,67046000,77371000,88692000,82401000,57490000,1773000,2583000,- -,- -,- -,463000,270000,- -,- -,- -,- -,- -,50166000,45215000
33,Cash and Short-Term Investments,700000,1200000,1800000,18400000,28900000,36300000,43200000,65200000,73600000,84900000,58900000,69100000,68516000,86289000,100899000,108769000,113648000,122716000,118586000,77507000,24412000,42807000,49279000,71908000,84554000,56802000,55457000,62980000,56170000,44230000,70557000,84668000,211908000,227633000
34,Net Receivables,4300000,3900000,7900000,12700000,11600000,11400000,17300000,26200000,25000000,35300000,28200000,32500000,48094000,30724000,22469000,22493000,23359000,28072000,43199000,32054000,28757000,26565000,38825000,31410000,27165000,27683000,28431000,25982000,25216000,34487000,43673000,38115000,40999000,55097000
35,Inventory,3800000,5300000,5600000,8400000,9600000,14400000,13700000,16700000,21100000,23400000,29500000,33400000,44497000,40748000,30325000,22080000,26229000,17168000,22001000,23078000,26681000,21357000,35489000,35752000,29955000,29696000,26328000,23442000,27136000,36499000,47370000,49187000,57269000,67322000
36,Other Current Assets,100000,200000,400000,21000000,15400000,11300000,2900000,3000000,2800000,3200000,5100000,6900000,8577000,10739000,19371000,7649000,4742000,5191000,5883000,4322000,2906000,4718000,4561000,5264000,4389000,4343000,3262000,3102000,3250000,3616000,3460000,7096000,6756000,6708000
37,Total Current Assets,8900000,10600000,15700000,60500000,65500000,73400000,77100000,111100000,122500000,146800000,121700000,141900000,169684000,168500000,173064000,160991000,167978000,173147000,189669000,136961000,82756000,95447000,128154000,144334000,146063000,118524000,113478000,115506000,111772000,118832000,165060000,179066000,316932000,356760000
38,PP&E,5500000,8000000,11600000,16700000,26700000,36000000,44100000,51500000,57600000,69800000,111100000,109100000,107807000,110846000,98738000,82366000,67001000,59114000,51573000,50257000,48254000,49009000,50848000,47241000,44092000,40092000,37387000,37450000,37574000,41356000,50432000,56952000,74843000,115975000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1926000,962000,- -,- -,- -,- -,1032000,- -,829000,- -,- -,- -,425000,332000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1926000,962000,- -,- -,- -,- -,1032000,- -,829000,- -,- -,- -,425000,332000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29995000,18417000,9585000,6736000,5188000,3002000,2866000,2508000,2525000,2526000,2510000,2517000,2639000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1275000,2805000,2542000,3523000,- -,- -,15000,38000,210000,265000,205000,226000,208000
44,Other Non-Current Assets,300000,100000,200000,400000,4800000,5400000,5300000,4400000,6300000,12200000,16800000,17900000,16622000,10276000,6643000,8107000,9903000,13494000,6865000,5240000,38986000,3889000,4688000,4439000,2167000,1836000,643000,1708000,1346000,2801000,2785000,1994000,1296000,1291000
45,Total Non-Current Assets,5800000,8100000,11800000,17100000,31500000,41400000,49400000,55900000,63900000,82000000,127900000,127000000,124429000,121122000,105381000,90473000,76904000,72608000,58438000,55497000,89166000,85130000,76758000,63807000,56518000,47116000,42064000,42039000,42295000,46892000,56008000,61661000,79307000,120445000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14700000,18700000,27500000,77600000,97000000,114800000,126500000,167000000,186400000,228800000,249600000,268900000,294113000,289622000,278445000,251464000,244882000,245755000,248107000,192458000,171922000,180577000,204912000,208141000,202581000,165640000,155542000,157545000,154067000,165724000,221068000,240727000,396239000,477205000
48,Accounts Payable,- -,- -,2700000,2300000,3600000,4900000,4100000,7600000,5600000,8500000,9900000,10300000,9515000,3087000,5724000,5078000,5806000,8741000,7273000,10062000,5592000,9458000,11999000,8151000,6812000,8677000,7932000,7470000,7588000,9065000,16149000,9005000,14121000,21189000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1520000,1629000,1551000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,102000,420000,336000,15000,41000,31000,92000,300000,710000,57000,139000,66000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,817000,603000,157000,306000,- -,76000,983000,662000,2521000,689000,1194000,784000,1018000,1439000,1988000,3403000,5791000,5069000,5507000,7309000,7912000
