,https://roic.ai/company/SLAB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46900000,103100000,74100000,182000000,- -,325300000,425689000,288200000,337500000,- -,415600000,441000000,491625000,563300000,580100000,- -,620700000,697626000,768867000,868267000,837554000,- -,886677000
2,COGS,13600000,35600000,31900000,79900000,- -,162300000,193904000,100700000,130200000,- -,159800000,161300000,193179000,225300000,227200000,- -,242200000,276122000,314676000,346868000,327270000,- -,359151000
3,Gross Profit,33300000,67500000,42200000,102100000,- -,163000000,231785000,187500000,207300000,- -,255800000,279700000,298446000,338000000,352900000,- -,378500000,421504000,454191000,521399000,510284000,- -,527526000
4,Gross Profit Ratio,0.7100,0.6547,0.5695,0.5610,- -,0.5011,0.5445,0.6506,0.6142,- -,0.6155,0.6342,0.6071,0.6000,0.6083,- -,0.6098,0.6042,0.5907,0.6005,0.6093,- -,0.5949
5,Research and Development Exp.,8300000,19400000,29000000,32000000,- -,51900000,101222000,89800000,89300000,- -,101200000,104400000,135953000,138000000,157800000,- -,173000000,199744000,209491000,238347000,257150000,- -,287887000
6,General and Administrative Exp.,- -,21400000,25300000,39100000,- -,44100000,72553000,89000000,94800000,- -,100700000,108800000,112419000,114400000,130800000,- -,154100000,155483000,159726000,197844000,196437000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,21400000,25300000,39100000,- -,44100000,72553000,89000000,94800000,- -,100700000,108800000,112419000,114400000,130800000,- -,154100000,155483000,159726000,197844000,196437000,- -,- -
9,Other Expenses,10300000,3700000,39100000,- -,- -,1600000,- -,2600000,100000,- -,10300000,- -,- -,-100000,-0,- -,-0,- -,0,- -,- -,- -,201339000
10,Operating Expenses,18600000,44500000,93400000,71100000,- -,97600000,173775000,181400000,184200000,- -,212200000,213200000,248372000,252300000,288600000,- -,327100000,355227000,369217000,436191000,453587000,- -,489226000
11,COGS and Expenses,32200000,80100000,125300000,151000000,- -,259900000,367679000,282100000,314400000,- -,372000000,374500000,441551000,477600000,515800000,- -,569300000,631349000,683893000,783059000,780857000,- -,848377000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2725000,1859000,1338000,853000,- -,1007000,1291000,6057000,6647000,13185000,- -,11143000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,37000,1149000,3293000,- -,3154000,2587000,14128000,19694000,20233000,- -,34142000
14,Depreciation and Amortization,3100000,13834000,18174000,17587000,- -,24155000,20530000,21232000,16085000,- -,18624000,19729000,24600000,27775000,29402000,- -,30484000,40931000,42012000,60014000,56467000,- -,62513000
15,EBITDA,17400000,39634000,-30226000,48887000,- -,90355000,86171000,56732000,227685000,- -,71724000,88909000,76977000,115224000,94695000,- -,82638000,108014000,106743000,156969000,126349000,- -,111956000
16,EBITDA ratio,0.3710,0.3844,-0.4079,0.2686,- -,0.2778,0.2024,0.1968,0.6746,- -,0.1726,0.2016,0.1566,0.2046,0.1632,- -,0.1331,0.1548,0.1388,0.1808,0.1509,- -,0.1263
17,Operating Income,14700000,23367000,-51247000,31026000,- -,65414000,58010000,29115000,23097000,- -,43656000,66511000,50074000,85675000,64310000,- -,51421000,66277000,84974000,85208000,56697000,- -,38300000
18,Operating Income ratio,0.3134,0.2266,-0.6916,0.1705,- -,0.2011,0.1363,0.1010,0.0684,- -,0.1050,0.1508,0.1019,0.1521,0.1109,- -,0.0828,0.0950,0.1105,0.0981,0.0677,- -,0.0432
19,Total Other Income Expenses (Gains),-400000,2433000,2847000,274000,- -,786000,7631000,-9415000,23403000,- -,9444000,2489000,2266000,625000,-2310000,- -,-2421000,-1781000,-8071000,-13047000,-7048000,- -,-22999000
20,Income Before Tax,14300000,25800000,-48400000,31300000,- -,66200000,65641000,19700000,46500000,- -,53100000,69000000,52340000,86300000,62000000,- -,49000000,64496000,76903000,72161000,49649000,- -,15301000
21,Income Before Tax Ratio,0.3049,0.2502,-0.6532,0.1720,- -,0.2035,0.1542,0.0684,0.1378,- -,0.1278,0.1565,0.1065,0.1532,0.1069,- -,0.0789,0.0925,0.1000,0.0831,0.0593,- -,0.0173
22,Income Tax expense (Gain),3300000,11800000,-2800000,10600000,- -,21500000,18135000,4300000,6800000,- -,20200000,-4100000,16868000,22800000,12200000,- -,11000000,3002000,3511000,-6330000,30384000,- -,2770000
23,Net Income,11000000,14000000,-45600000,20700000,- -,44700000,47506000,31200000,204800000,- -,32900000,73100000,35472000,63500000,49800000,- -,38000000,61494000,47092000,83591000,19265000,- -,12531000
24,Net Income ratio,0.2345,0.1358,-0.6154,0.1137,- -,0.1374,0.1116,0.1083,0.6068,- -,0.0792,0.1658,0.0722,0.1127,0.0858,- -,0.0612,0.0881,0.0612,0.0963,0.0230,- -,0.0141
25,EPS,0.73,0.37,-0.99,0.44,- -,0.92,0.89,0.56,3.74,- -,0.68,1.62,0.82,1.51,1.17,- -,0.88,1.47,1.11,1.94,0.44,- -,0.29
26,EPS Diluted,0.25,0.29,-0.99,0.41,- -,0.86,0.86,0.54,3.64,- -,0.67,1.57,0.79,1.47,1.14,- -,0.87,1.45,1.09,1.90,0.43,- -,0.28
27,Weighted Average Shares Outstanding,47250000,38326000,45914000,47419000,- -,48850000,53399000,55346000,54826000,- -,48109000,45023000,43421000,42136000,42715000,- -,42970000,41713000,42446000,43159000,43346000,- -,43775000
28,Weighted Average Shares Outstanding Diluted,47250000,48788000,45914000,50811000,- -,52288000,55485000,57201000,56321000,- -,48989000,46542000,44832000,43106000,43537000,- -,43793000,42376000,43332000,44044000,44290000,- -,44372000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1038074/000091205701002379/0000912057-01-002379-index.html,- -,https://www.sec.gov/Archives/edgar/data/1038074/000104746903002158/0001047469-03-002158-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000110465904001731/0001104659-04-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465906007281/0001104659-06-007281-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465907007988/0001104659-07-007988-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746908000932/0001047469-08-000932-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000104746909000964/0001047469-09-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746910000705/0001047469-10-000705-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746912001075/0001047469-12-001075-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746913000608/0001047469-13-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746914000500/0001047469-14-000500-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000104746915000641/0001047469-15-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746917000461/0001047469-17-000461-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746918000522/0001047469-18-000522-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746919000300/0001047469-19-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465920007928/0001104659-20-007928-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000110465921011613/0001104659-21-011613-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8200000,51900000,82300000,74000000,- -,58400000,255369000,68200000,264400000,- -,172300000,195700000,94964000,56700000,45500000,- -,141700000,141106000,269366000,197043000,227146000,- -,202720000
32,Short-Term Investments,6500000,44500000,18900000,41200000,- -,131900000,108341000,318100000,308600000,- -,101300000,214500000,212526000,225300000,229800000,- -,193500000,153961000,494657000,416779000,498825000,- -,521963000
33,Cash and Short-Term Investments,14700000,96400000,101200000,115200000,- -,190300000,363710000,386300000,573000000,- -,273600000,410200000,307490000,282000000,275300000,- -,335200000,295067000,764023000,613822000,725971000,- -,724683000
34,Net Receivables,10300000,13600000,10500000,27500000,- -,47900000,68824000,36700000,51200000,- -,36100000,56100000,55351000,78000000,72100000,- -,70400000,74401000,71367000,73194000,75639000,- -,95169000
