,https://roic.ai/company/FIVN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,43188000,63822000,84132000,103102000,128868000,162090000,200225000,257664000,328006000,434908000,609591000
2,COGS,24563000,39306000,48807000,54661000,59495000,66934000,83104000,104034000,134511000,180284000,271099000
3,Gross Profit,18625000,24516000,35325000,48441000,69373000,95156000,117121000,153630000,193495000,254624000,338492000
4,Gross Profit Ratio,0.4313,0.3841,0.4199,0.4698,0.5383,0.5871,0.5849,0.5962,0.5899,0.5855,0.5553
5,Research and Development Exp.,8739000,13217000,17529000,22110000,22659000,23878000,27120000,34172000,45190000,68747000,106897000
6,General and Administrative Exp.,6990000,11546000,18053000,24416000,25822000,25072000,29151000,40448000,49446000,65769000,93916000
7,Selling and Marketing Exp.,10207000,16808000,28065000,37445000,42042000,52748000,66570000,72001000,95592000,132413000,193929000
8,"Selling, General and Administrative Exp.",17197000,28354000,46118000,61861000,67864000,77820000,95721000,112449000,145038000,198182000,287845000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,25936000,41571000,63647000,83971000,90523000,101698000,122841000,146621000,190228000,266929000,394742000
11,COGS and Expenses,50499000,80877000,112454000,138632000,150018000,168632000,205945000,250655000,324739000,447213000,665841000
12,Interest Income ,- -,14000,- -,245000,100000,-12000,490000,3315000,6079000,3034000,- -
13,Interest Expense (Gain),457000,557000,1080000,4161000,4727000,4238000,3471000,10245000,13794000,28348000,8027000
14,Depreciation and Amortization,1539000,2624000,4415000,6463000,7388000,8390000,8314000,10274000,19109000,30774000,47430000
15,EBITDA,-5812000,-16091000,-25749000,-27077000,-13662000,822000,3084000,20598000,28455000,14539000,-8828000
16,EBITDA ratio,-0.1346,-0.2521,-0.3061,-0.2626,-0.1060,0.0051,0.0154,0.0799,0.0868,0.0334,-0.0145
17,Operating Income,-7311000,-17055000,-28322000,-35530000,-21150000,-6542000,-5720000,7009000,3267000,-12305000,-56250000
18,Operating Income ratio,-0.1693,-0.2672,-0.3366,-0.3446,-0.1641,-0.0404,-0.0286,0.0272,0.0100,-0.0283,-0.0923
19,Total Other Income Expenses (Gains),-497000,-2217000,-2922000,-2171000,-4627000,-5264000,-2981000,-6930000,-7715000,-32278000,-8035000
20,Income Before Tax,-7808000,-19272000,-31244000,-37701000,-25777000,-11806000,-8701000,79000,-4448000,-44583000,-64285000
21,Income Before Tax Ratio,-0.1808,-0.3020,-0.3714,-0.3657,-0.2000,-0.0728,-0.0435,0.0003,-0.0136,-0.1025,-0.1055
22,Income Tax expense (Gain),64000,62000,70000,85000,61000,54000,268000,300000,104000,-2453000,-11285000
23,Net Income,-7872000,-19334000,-31314000,-37786000,-25838000,-11860000,-8969000,-221000,-4552000,-42130000,-53000000
24,Net Income ratio,-0.1823,-0.3029,-0.3722,-0.3665,-0.2005,-0.0732,-0.0448,-0.0009,-0.0139,-0.0969,-0.0869
25,EPS,-0.24,-0.58,-0.88,-1.00,-0.52,-0.23,-0.16,-0.00,-0.08,-0.66,-0.78
26,EPS Diluted,-0.24,-0.58,-0.94,-1.00,-0.52,-0.23,-0.16,-0.00,-0.08,-0.66,-0.78
27,Weighted Average Shares Outstanding,33347000,33347000,33347000,37604000,50141000,52342000,54946000,58076000,60371000,64154000,67800000
28,Weighted Average Shares Outstanding Diluted,33347000,33347000,33347000,37604000,50141000,52342000,54946000,58076000,60371000,64154000,67800000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288847/000128884715000011/a12311410k.htm,https://www.sec.gov/Archives/edgar/data/1288847/000128884716000054/0001288847-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884717000038/0001288847-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884718000030/0001288847-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884719000021/0001288847-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884720000028/0001288847-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884721000029/0001288847-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1288847/000128884722000017/0001288847-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5961000,37309000,58289000,58484000,58122000,68947000,81912000,77976000,220372000,90878000
32,Short-Term Investments,- -,2490000,- -,20000000,- -,- -,- -,209907000,241973000,383171000,378980000
33,Cash and Short-Term Investments,- -,8451000,37309000,78289000,58484000,58122000,68947000,291819000,319949000,603543000,469858000
34,Net Receivables,- -,5441000,6970000,8335000,10567000,13881000,19048000,25127000,38480000,48731000,86324000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,942000,1651000,1960000,2184000,3008000,4840000,17056000,22845000,36844000,61044000
37,Total Current Assets,- -,14834000,45930000,88584000,71235000,75011000,92835000,334002000,381274000,689118000,617226000
38,PP&E,- -,10874000,11607000,12571000,13225000,14688000,19888000,25885000,41936000,60223000,126488000
39,Goodwill,- -,- -,11798000,11798000,11798000,11798000,11798000,11798000,11798000,165420000,165420000
40,Intangible Assets,- -,- -,3065000,2553000,2041000,1539000,1073000,631000,15533000,51684000,39897000
41,Intangible Assets,- -,- -,14863000,14351000,13839000,13337000,12871000,12429000,27331000,217104000,205317000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,42127000,147377000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6907000
44,Other Non-Current Assets,- -,899000,3439000,1428000,934000,2203000,2602000,22350000,31839000,55170000,89627000
45,Total Non-Current Assets,- -,11773000,29909000,28350000,27998000,30228000,35361000,60664000,101106000,374624000,575716000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,26607000,75839000,116934000,99233000,105239000,128196000,394666000,482380000,1063742000,1192942000
48,Accounts Payable,- -,4649000,4306000,4179000,2569000,3366000,4292000,7010000,10156000,17145000,20510000
49,Short-Term Debt,- -,3987000,6379000,7995000,24684000,6972000,6987000,6647000,8582000,4524000,9826000
50,Tax Payable,- -,105000,98000,297000,1262000,1347000,1326000,1741000,1885000,1714000,2660000
51,Deferred Revenue,- -,4269000,4375000,5346000,6413000,10047000,13975000,17391000,24681000,31983000,43720000
52,Other Current Liabilities,- -,3976000,10233000,14830000,14857000,13693000,14264000,16946000,22573000,49909000,83519000
53,Total Current Liabilities,- -,16881000,25293000,32350000,48523000,34078000,39518000,47994000,65992000,103561000,157575000
54,Long-Term Debt,- -,16000,38190000,35278000,17327000,32912000,32594000,196763000,209604000,643316000,815687000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2097000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,17777000,10423000,7553000,7103000,7921000,9246000,7161000,10326000,37701000,6451000
58,Total Non-Current Liabilities,- -,17793000,48613000,42831000,24430000,40833000,41840000,203924000,219930000,681017000,824235000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,7763000,9215000,9272000,9578000,12145000,13812000,11156000,13720000,9903000,56914000
61,Total Liabilities,- -,34674000,73906000,75181000,72953000,74911000,81358000,251918000,285922000,784578000,981810000
62,Preferred Stock,- -,31940000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4000,36000,49000,51000,53000,57000,59000,61000,67000,68000
64,Retained Earnings,- -,-59482000,-90796000,-128582000,-154420000,-166280000,-175421000,-151497000,-156049000,-198179000,-228436000
65,Other Comprehensive Income/Loss,- -,-9806000,-10410000,-15626000,-22478000,-30338000,-36864000,-93000,576000,335000,-287000
66,Other Total Stockholders Equity,- -,29277000,103103000,185912000,203127000,226893000,259066000,294279000,351870000,476941000,439787000
67,Total Stockholders Equity,- -,-8067000,1933000,41753000,26280000,30328000,46838000,142748000,196458000,279164000,211132000
68,Total Liabilities And Stockholders Equity,- -,26607000,75839000,116934000,99233000,105239000,128196000,394666000,482380000,1063742000,1192942000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,26607000,75839000,116934000,99233000,105239000,128196000,394666000,482380000,1063742000,1192942000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1288847/000128884715000011/a12311410k.htm,https://www.sec.gov/Archives/edgar/data/1288847/000128884716000054/0001288847-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884717000038/0001288847-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884718000030/0001288847-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884719000021/0001288847-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884720000028/0001288847-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884721000029/0001288847-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1288847/000128884722000017/0001288847-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-7872000,-19334000,-31314000,-37786000,-25838000,-11860000,-8969000,-221000,-4552000,-42130000,-53000000
74,Depreciation and Amortization,1539000,2624000,4415000,6463000,7388000,8390000,8314000,10274000,19109000,30774000,47430000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3088000,-6907000
