,https://roic.ai/company/BSPK,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15919,62103,8054,35566
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22925,71413,3505,13569
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7006,-9310,4549,21997
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.4401,-0.1499,0.5648,0.6185
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,392684,364469,6605699,7111977,-3026889,4017275,984330
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68229,- -,- -,- -
8,"Selling, General and Administrative Exp.",7403,7092,21071,21087,232705,35964,391551,317847,389198,392684,364469,6605699,7180206,-3026889,4017275,984330
9,Other Expenses,- -,- -,- -,- -,- -,- -,131,3798,3798,3798,131,1739,3346,3345,2797,3244
10,Operating Expenses,7403,7092,21071,21087,232705,35964,391682,321645,392996,396482,364600,6614938,7183552,-3023544,4020072,987574
11,COGS and Expenses,7403,7092,21071,21087,232705,35964,391682,321645,392996,396482,364600,6614938,7206477,-2952131,4023577,1001143
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,3478,4804,6929,4383,- -,- -,1049,- -,365,27658,419000,357473,535688,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,131,3799,3798,3798,131,1739,3346,3345,2797,3244
15,EBITDA,-7403,-7092,-21071,-21087,-232705,-35964,-391551,-317847,-389198,-392684,-364469,-6613199,-7187212,2941579,-4102321,-962333
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-451.4864,47.3661,-509.3520,-27.0577
17,Operating Income,-7403,-7092,-21071,-21087,-232705,-35964,-391682,-321645,-392996,-731167,-364600,-6616186,-7190558,3014234,-4015523,-965577
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-451.6966,48.5360,-498.5750,-27.1489
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-1049,- -,-365,-63311,-419000,-433473,-625283,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-391682,-321645,-394045,-731167,-364965,-6679497,-7609558,2580761,-4640806,-965577
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-478.0173,41.5561,-576.2113,-27.1489
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7403,-7092,-24549,-25891,-239634,-40347,-391682,-321645,-394045,-731167,-364965,-6679497,-7609558,2580761,-4640806,-965577
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-478.0173,41.5561,-576.2113,-27.1489
25,EPS,-3.26,-3.13,-0.36,-1.50,-1.22,-0.21,-0.31,-0.28,-0.24,-0.30,-0.12,-0.48,-0.21,0.04,-0.04,-0.00
26,EPS Diluted,-3.26,-3.13,-0.36,-1.50,-1.22,-0.21,-0.31,-0.28,-0.24,-0.30,-0.12,-0.48,-0.21,0.04,-0.04,-0.00
27,Weighted Average Shares Outstanding,2268,2268,68937,2270,196194,196194,1274357,1139968,1590750,2422709,2922712,13814767,35408438,60588674,118851176,232158289
28,Weighted Average Shares Outstanding Diluted,2268,2268,68937,2270,196194,196194,1274357,1139968,1590750,2422709,2922712,13814767,35408438,60588674,118851176,232158289
