,https://roic.ai/company/AMR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,926021000,- -,1649969000,2031205000,2290260000,1416187000,2258586000
2,COGS,979469000,- -,1431979000,1733275000,2153413000,1430110000,1679742000
3,Gross Profit,-53448000,- -,217990000,297930000,136847000,-13923000,578844000
4,Gross Profit Ratio,-0.0577,- -,0.1321,0.1467,0.0598,-0.0098,0.2563
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,44158000,- -,71950000,59271000,78953000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",44158000,- -,67459000,59271000,78953000,- -,63901000
9,Other Expenses,-99000,- -,178000,-6345000,27223000,81637000,- -
10,Operating Expenses,44059000,- -,67637000,52926000,106176000,81637000,63901000
11,COGS and Expenses,1023528000,- -,1499616000,1786201000,2259589000,1511747000,1901446000
12,Interest Income ,4000,- -,210000,1949000,7296000,7027000,334000
13,Interest Expense (Gain),28000,- -,35977000,38810000,66798000,74528000,-69654000
14,Depreciation and Amortization,204338000,- -,124007000,72157000,315074000,161530000,110047000
15,EBITDA,-368246000,- -,246527000,244769000,7996000,-213005000,325574000
16,EBITDA ratio,-0.3977,- -,0.1494,0.1205,0.0035,-0.1504,0.1441
17,Operating Income,-394932000,- -,181527000,193760000,-157532000,-170688000,357140000
18,Operating Income ratio,-0.4265,- -,0.1100,0.0954,-0.0688,-0.1205,0.1581
19,Total Other Income Expenses (Gains),-17906000,- -,-75771000,-56269000,-103167000,-72946000,-66602000
20,Income Before Tax,-412838000,- -,105756000,137491000,-260699000,-243634000,290538000
21,Income Before Tax Ratio,-0.4458,- -,0.0641,0.0677,-0.1138,-0.1720,0.1286
22,Income Tax expense (Gain),-155052000,- -,-67979000,-165363000,-57557000,-2164000,-3609000
23,Net Income,-417560000,- -,154522000,299165000,-316319000,-446899000,288790000
24,Net Income ratio,-0.4509,- -,0.0937,0.1473,-0.1381,-0.3156,0.1279
25,EPS,-40.54,- -,15.12,27.28,-16.82,-24.42,15.78
26,EPS Diluted,-40.54,- -,14.35,25.54,-16.82,-24.42,15.78
27,Weighted Average Shares Outstanding,10300000,- -,10216464,10967014,18808460,18298363,18298363
28,Weighted Average Shares Outstanding Diluted,10300000,- -,10770005,11712653,18808460,18298363,18298363
29,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1704715/000170471519000013/0001704715-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1704715/000170471520000010/0001704715-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1704715/000170471521000026/0001704715-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1704715/000170471522000012/0001704715-22-000012-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,269000,127948000,141924000,233599000,212793000,139227000,81211000
32,Short-Term Investments,- -,- -,12366000,16181000,689000,- -,- -
33,Cash and Short-Term Investments,269000,127948000,154290000,249780000,213482000,139227000,81211000
34,Net Receivables,88175000,191531000,149092000,383269000,287512000,223480000,489241000
35,Inventory,66505000,75399000,69561000,121965000,162659000,108051000,129382000
36,Other Current Assets,26595000,30338000,90211000,74587000,47826000,39377000,48152000
37,Total Current Assets,181544000,425216000,463154000,829601000,711479000,510135000,747986000
38,PP&E,1493390000,317013000,196579000,1228222000,1115081000,832541000,362218000
39,Goodwill,- -,- -,- -,95624000,- -,- -,- -
40,Intangible Assets,12018000,87149000,18458000,154584000,125145000,88196000,74197000
41,Intangible Assets,12018000,87149000,18458000,250208000,125145000,88196000,74197000
42,Investments,- -,- -,- -,15236000,18413000,18383000,- -
43,Tax Assets,- -,- -,78744000,27179000,33065000,- -,317000
44,Other Non-Current Assets,28458000,117374000,79665000,395612000,299640000,230834000,672994000
45,Total Non-Current Assets,1533866000,521536000,373446000,1916457000,1591344000,1169954000,1109726000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1715410000,946752000,836600000,2746058000,2302823000,1680089000,1857712000
48,Accounts Payable,32696000,98166000,76319000,114568000,98746000,58413000,90090000
49,Short-Term Debt,68000,2324000,10730000,42743000,30298000,28830000,- -
50,Tax Payable,35385000,13208000,3478000,24140000,24946000,21540000,- -
51,Deferred Revenue,3510000,12321000,200000,- -,- -,13197000,- -
52,Other Current Liabilities,92021000,105801000,154926000,197925000,186108000,158614000,205839000
53,Total Current Liabilities,128295000,218612000,242175000,355236000,315152000,259054000,295929000
54,Long-Term Debt,68000,346837000,361973000,545269000,564481000,553697000,445562000
55,Deferred Revenue,12147000,1000000,- -,- -,- -,- -,317000
56,Deferred Tax Liabilities,67734000,- -,- -,15118000,422000,480000,317000
57,Other Non-Current Liabilities,293269000,343079000,139804000,759295000,726646000,666756000,568678000
58,Total Non-Current Liabilities,373218000,690916000,501777000,1319682000,1291549000,1220933000,1014874000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1813000,- -,- -
61,Total Liabilities,501513000,909528000,743952000,1674918000,1606701000,1479987000,1310803000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,103000,108000,202000,205000,206000,208000
64,Retained Earnings,-559922000,-10930000,103964000,403129000,86810000,-360529000,- -
65,Other Comprehensive Income/Loss,4135000,2087000,-1948000,-23130000,-58616000,-111985000,-58503000
66,Other Total Stockholders Equity,2676819000,45964000,-9476000,690939000,667723000,672410000,58295000
67,Total Stockholders Equity,1213897000,37224000,92648000,1071140000,696122000,200102000,546909000
68,Total Liabilities And Stockholders Equity,1715410000,946752000,836600000,2746058000,2302823000,1680089000,1857712000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1715410000,946752000,836600000,2746058000,2302823000,1680089000,1857712000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1704715/000170471519000013/0001704715-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1704715/000170471520000010/0001704715-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1704715/000170471521000026/0001704715-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1704715/000170471522000012/0001704715-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-417560000,- -,154522000,299165000,-316319000,-446899000,288790000
74,Depreciation and Amortization,204338000,- -,124007000,72157000,315074000,161530000,110047000
75,Deferred Income Tax,-250680000,- -,-78744000,-66682000,-12098000,33123000,-163000
76,Stock Based Compensation,2668000,- -,20372000,13354000,12397000,4896000,5315000
77,Change in Working Capital,153355000,- -,14375000,253386000,-78038000,-145246000,200976000
78,Accounts Receivable,41403000,- -,34840000,-84139000,47424000,91190000,-336240000
79,Inventory,2440000,- -,441000,33232000,-40694000,48689000,-21331000
80,Accounts Payable,-1534000,- -,31138000,-7075000,-28148000,-28620000,25154000
81,Other Working Capital,206604000,- -,220979000,474365000,396327000,251081000,452057000
82,Other Non-Cash Items,458741000,- -,71033000,-412999000,210864000,521832000,-430022000
83,Cash Provided by Operating Activities,150862000,- -,305565000,158381000,131880000,129236000,174943000
84,CAPEX,-59533000,- -,-83121000,-92131000,-192411000,-153990000,-83300000
85,Acquisitions Net,-5874000,- -,-40359000,-5253000,-10051000,-55635000,- -
86,Purchases of Investments,-42130000,- -,- -,-3280000,-92855000,-21129000,-17985000
87,Sales/Maturities of Investments,- -,- -,- -,3360000,100250000,16685000,13265000
88,Other Investing Activites,-6900000,- -,-80948000,117619000,-189096000,-149890000,-85135000
89,Cash Used for Investing Activites,-97034000,- -,-121307000,102196000,-191752000,-209969000,-89855000
90,Debt Repayment,-1835000,- -,-372026000,-476081000,-571281000,-79667000,-119097000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-49932000,-20270000,-37622000,-209000,- -
93,Dividends Paid,- -,- -,-100735000,- -,- -,- -,- -
