,https://roic.ai/company/ILAL,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,- -,- -,463800,8290
2,COGS,- -,- -,- -,- -,21040,- -
3,Gross Profit,- -,- -,- -,- -,442760,8290
4,Gross Profit Ratio,- -,- -,- -,- -,0.9546,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,179050,665580,1224190,593750,1636183,2023321
7,Selling and Marketing Exp.,- -,- -,- -,- -,189187,122726
8,"Selling, General and Administrative Exp.",179050,665580,1224190,593750,1825370,2146047
9,Other Expenses,- -,-2,-2,-3,-1,- -
10,Operating Expenses,179050,665578,1224188,593747,1825369,2146047
11,COGS and Expenses,179050,665580,1224190,593750,1762760,2146047
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,372075,471344
14,Depreciation and Amortization,- -,- -,- -,- -,36707,45874
15,EBITDA,-179050,-665580,-1390520,-769070,-1187308,-2149580
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-2.5600,-259.2979
17,Operating Income,-179050,-665578,-1224188,-593747,-1382612,-2137757
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-2.9811,-257.8718
19,Total Other Income Expenses (Gains),- -,-2,-166332,-87663,-213478,-529041
20,Income Before Tax,-179050,-665580,-1390520,-681410,-1596090,-2666798
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.4413,-321.6885
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-179050,-665580,-1390520,-681410,-1596090,-2666798
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.4413,-321.6885
25,EPS,-0.02,-0.04,-0.09,-0.04,-0.10,-0.14
26,EPS Diluted,-0.02,-0.04,-0.09,-0.04,-0.10,-0.14
27,Weighted Average Shares Outstanding,11025780,15977901,15977901,15977901,16672181,21793535
28,Weighted Average Shares Outstanding Diluted,11025780,15977901,15977901,15977901,16672181,21793535
