,https://roic.ai/company/SCTY,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,163837000,539449000,563356000,570372000,553455000,540358000,504505000,503597000
2,COGS,91723000,93600000,110246000,115236000,119193000,128939000,112274000,119390000
3,Gross Profit,72114000,445849000,453110000,455136000,434262000,411419000,392231000,384207000
4,Gross Profit Ratio,0.4402,0.8265,0.8043,0.7980,0.7846,0.7614,0.7775,0.7629
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,-6105000,- -,- -,- -,- -,- -,132509000,- -
7,Selling and Marketing Exp.,97426000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",91321000,- -,- -,- -,- -,- -,132509000,- -
9,Other Expenses,97426000,351478000,389390000,387487000,401958000,342013000,328491000,149314000
10,Operating Expenses,188747000,351478000,389390000,387487000,401958000,342013000,461000000,149314000
11,COGS and Expenses,280470000,445078000,499636000,502723000,521151000,470952000,-35545000,268704000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),25738000,119607000,125415000,127308000,145492000,180770000,-149189000,80265000
14,Depreciation and Amortization,216100000,262422000,268734000,254913000,245606000,223073000,211609000,231117000
15,EBITDA,161249000,355912000,327991000,313062000,277910000,-286459000,629981000,313265000
16,EBITDA ratio,0.9842,0.6598,0.5822,0.5489,0.5021,-0.5301,1.2487,0.6221
17,Operating Income,-149378000,93490000,63725000,67649000,32304000,-494143000,540050000,-99600000
18,Operating Income ratio,-0.9117,0.1733,0.1131,0.1186,0.0584,-0.9145,1.0705,-0.1978
19,Total Other Income Expenses (Gains),-27179000,-119607000,-129883000,-136808000,-145492000,-196159000,27511000,-80265000
20,Income Before Tax,-176557000,-26117000,-66158000,-69159000,-113188000,-690302000,567561000,-179865000
21,Income Before Tax Ratio,-1.0776,-0.0484,-0.1174,-0.1213,-0.2045,-1.2775,1.1250,-0.3572
22,Income Tax expense (Gain),-24799000,3600000,6290000,7148000,-1893000,-11552000,2479000,1891000
23,Net Income,-55790000,-29717000,-72448000,-76307000,-111295000,-678750000,565082000,-8000
24,Net Income ratio,-0.3405,-0.0551,-0.1286,-0.1338,-0.2011,-1.2561,1.1201,-0.0000
25,EPS,-2.48,-1.32,-3.22,-3.39,-4.95,-30.17,25.11,-0.00
26,EPS Diluted,-2.48,-1.32,-3.22,-3.39,-4.95,-30.17,25.11,-0.00
27,Weighted Average Shares Outstanding,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000
28,Weighted Average Shares Outstanding Diluted,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1408356/000119312514104447/0001193125-14-104447-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459015000897/0001564590-15-000897-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459016012549/0001564590-16-012549-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459017003084/0001564590-17-003084-index.htm,https://www.sec.gov/Archives/edgar/data/1265107/000126510718000013/0001265107-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1265107/000126510719000004/0001265107-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1265107/000126510720000007/0001265107-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1265107/000126510721000019/0001265107-21-000019-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,4400000,1953000,2580000,3177000,3302000,2188000,14763000,6123000
32,Short-Term Investments,- -,138311000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4400000,140264000,2580000,3177000,3302000,2188000,14763000,6123000
34,Net Receivables,13000000,13796000,13622000,13869000,12645000,13121000,12083000,13360000
35,Inventory,111394000,217223000,- -,- -,- -,- -,- -,7612000
36,Other Current Assets,-96494000,-347957000,9945000,9360000,10668000,28367000,25433000,22783000
37,Total Current Assets,32300000,23326000,26147000,26406000,26615000,43676000,52279000,49878000
38,PP&E,24600000,23280000,26654000,28270000,32789000,36539000,61373000,41943000
39,Goodwill,526500000,527502000,563549000,563549000,563549000,- -,81943000,- -
40,Intangible Assets,1405600000,1418485000,1450192000,1403584000,1309022000,1195463000,1201089000,113010000
41,Intangible Assets,1932100000,1945987000,2013741000,1967133000,1872571000,1195463000,1283032000,113010000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,17600000,9204000,- -,- -,- -,783000,684000,- -
44,Other Non-Current Assets,11900000,-4635000,3725000,11908000,9340000,29307000,21944000,- -
45,Total Non-Current Assets,1986200000,1973836000,2044120000,2007311000,1914700000,1262092000,1367033000,154953000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2018500000,1997162000,2070267000,2033717000,1941315000,1305768000,1419312000,204831000
48,Accounts Payable,6900000,6710000,8621000,11461000,11073000,12099000,16869000,20728000
49,Short-Term Debt,29041000,29241000,5500000,11000000,11000000,1816450000,8225000,8225000
50,Tax Payable,1577000,531000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,59899000,86238000,16207000,15147000,13871000,13060000,12008000,584000
52,Other Current Liabilities,-9040000,-37624000,52387000,49563000,62793000,42598000,33145000,79973000
53,Total Current Liabilities,86800000,84565000,82715000,87171000,98737000,1884207000,70247000,109510000
54,Long-Term Debt,1597600000,1619624000,1739147000,1687778000,1707297000,- -,978219000,8225000
55,Deferred Revenue,410161000,557408000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,9238000,13194000,13191000,17330000,13304000,- -,- -,- -
57,Other Non-Current Liabilities,-376999000,-535195000,34149000,26493000,19241000,10536000,24768000,210822000
58,Total Non-Current Liabilities,1640000000,1655031000,1786487000,1731601000,1739842000,10536000,1002987000,219047000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1295607000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,19920000,18723000
61,Total Liabilities,1726800000,1739596000,1869202000,1818772000,1838579000,1894743000,1073234000,1186070000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,- -,- -,- -,- -,225000,225000
64,Retained Earnings,-45400000,-74169000,-146617000,-222924000,-334219000,-1036294000,-33331000,-1172241000
65,Other Comprehensive Income/Loss,-17500000,-24254000,-27057000,-28825000,-7000000,8000000,-3777000,-2093000
66,Other Total Stockholders Equity,354590000,355979000,374739000,466694000,443955000,439319000,382961000,1334702000
67,Total Stockholders Equity,291700000,257566000,201065000,214945000,102736000,-588975000,346078000,160593000
68,Total Liabilities And Stockholders Equity,2018500000,1997162000,2070267000,2033717000,1941315000,1305768000,1419312000,1346663000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-1141832000
70,Total Liabilities & Equity,2018500000,1997162000,2070267000,2033717000,1941315000,1305768000,1419312000,204831000
