,https://roic.ai/company/PNNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,13025572,39810962,45118771,60139757,91738495,113392390,100500581,125207097,-4489743,21719821,67869416,50877562,28956726,-9858612,171310908
2,COGS,- -,10928480,- -,19637082,14899983,14223777,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,28882482,45118771,40502675,76838512,99168613,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.7255,1.0000,0.6735,0.8376,0.8746,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,4438276,17771292,4657320,18642382,30110648,6018897,5813517,5755909,7172590,6238640,4591353,4751715,6833128,4094003
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1730211,4438276,4372289,4657320,5480785,7242067,6018897,5813517,5755909,7172590,6238640,4591353,4751715,6833128,4094003
9,Other Expenses,-29513338,-420731,13399003,- -,13161597,22868581,2757500,8337500,- -,-6539475,-1780725,-1427253,7080205,-1921987,- -
10,Operating Expenses,-27783127,4017545,17771292,4657320,18642382,30110648,8776397,14151017,5755909,633115,4457915,3164100,11831920,4911141,4094003
11,COGS and Expenses,-27783127,14946025,17771292,24294402,33542365,44334425,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,13107341,39214485,44906467,59035893,87012108,104906003,117706414,137784918,147708538,131045066,115845355,101296541,108206721,95403297,71089768
13,Interest Expense (Gain),1835816,6308933,4628564,3672444,5322231,11680634,15384208,20260652,26355081,27601242,26642113,22818492,31105838,32167755,22506953
14,Depreciation and Amortization,23921978,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,9164423,-34394006,40430593,20306229,15585705,75341724,107108392,131316732,16109429,48687948,90053614,70531954,48230644,17398002,189723858
16,EBITDA ratio,0.7036,-0.8639,0.8961,0.3377,0.1699,0.6644,1.0657,1.0488,-3.5881,2.2416,1.3269,1.3863,1.6656,-1.7648,1.1075
17,Operating Income,40808699,18556004,22718915,35845355,52645075,57377331,- -,- -,- -,- -,- -,- -,- -,- -,44510366
18,Operating Income ratio,3.1330,0.4661,0.5035,0.5960,0.5739,0.5060,- -,- -,- -,- -,- -,- -,- -,- -,0.2598
19,Total Other Income Expenses (Gains),-57402070,-59258943,13083114,-19211570,-42381601,6283759,- -,- -,- -,- -,- -,- -,- -,- -,122706539
