,https://roic.ai/company/ENIA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,3195872695,4287549539,4525441833,4494022438,3450392006,3956624752,4876065580,6245078753,7309297610,9410844487,10414349689,12712730155,13717884512,12584218985,12771030786,10823876745,11252605382,7475029786,7131507272,9591590000,12119134000,14084917000,11239000000,15985144000
2,COGS,- -,1485321741,2330351421,2350756016,2975045803,2401309878,2778212951,3416558356,4243639278,4872365966,6353041131,6743045632,6318732676,7360240663,6813963707,7773721648,6073976424,6707270331,4068122263,4122479474,6232249000,8346155000,8794059000,7556000000,10646949000
3,Gross Profit,- -,1710550954,1957198118,2174685817,1518976635,1049082128,1178411801,1459507224,2001439474,2436931644,3057803356,3671304057,6393997479,6357643849,5770255278,4997309138,4749900321,4545335052,3406907522,3009027799,3359341000,3772979000,5290858000,3683000000,5338195000
4,Gross Profit Ratio,- -,0.5352,0.4565,0.4805,0.3380,0.3040,0.2978,0.2993,0.3205,0.3334,0.3249,0.3525,0.5030,0.4635,0.4585,0.3913,0.4388,0.4039,0.4558,0.4219,0.3502,0.3113,0.3756,0.3277,0.3339
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,977430733,783077046,1404903635,1388348791,1385906600,1325824156,993325321,847543367,1111684000,1217967000,1608406000,418000000,1576960000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32202249,- -,19866024,16302407,15641254,13968593,7431822,5274514,5137000,12737000,11811000,- -,- -
8,"Selling, General and Administrative Exp.",- -,267990547,462082918,549940345,410603116,309771760,285105495,317944297,437482489,431147909,536625446,572507218,1009632983,783077046,1424769659,1404651198,1401547854,1339792749,1000757143,852817881,1116821000,1230704000,1620217000,1305665000,1576960000
9,Other Expenses,- -,437083307,718600607,833247989,- -,120254640,- -,- -,0,11411040,8897964,- -,1460963275,2012578264,1163661053,441318454,-109586686,192128949,579226147,174634514,-24371000,128159000,730718000,81335000,757378000
10,Operating Expenses,- -,705073854,1180683525,1383188334,410603116,430026400,285105495,317944297,437482489,442558949,545523410,572507218,2470596257,2795655310,2588430712,1845969652,1291961168,1531921698,1579983290,1027452395,1092450000,1358863000,2350935000,1387000000,2334338000
11,COGS and Expenses,- -,2190395595,3511034946,3733944349,3385648920,2831336278,3063318446,3734502654,4681121768,5314924915,6898564541,7315552850,8789328933,10155895974,9402394419,9619691300,7365937592,8239192029,5648105554,5149931869,7324699000,9705018000,11144994000,8943000000,12981287000
12,Interest Income ,- -,99678815,- -,122025983,83131024,118375057,113089504,132544138,180236841,234357875,233746793,276174827,82554760,357885221,125473820,540006838,494240437,438709054,415626082,279595448,293843000,358081000,76122000,66080000,97028000
13,Interest Expense (Gain),- -,478868354,- -,822774529,659802770,610076405,707167682,648252396,686194000,733751026,817830269,776259357,950953551,916168744,726196676,925032769,737898504,811566165,543492028,781933893,311159000,463237000,411392000,280488000,334380000
14,Depreciation and Amortization,- -,-437083307,-718600607,-833247989,687218550,1192232055,684660014,760296508,807143946,886991920,965484637,979381775,895563192,938446104,818229993,903423632,827399191,790646836,451964497,478610598,648114000,862440000,948330000,858000000,993096000
15,EBITDA,- -,377432224,-705219982,387689420,1609727437,1400114543,1482720587,1735336747,1971697420,2363244505,2669894785,3355870200,3856874965,3593983450,3154904869,3438509576,3774393369,3467567590,2666659202,2370966368,2187450000,2964990000,3210153000,2530488000,2874627000
16,EBITDA ratio,- -,0.1181,-0.1645,0.0857,0.3582,0.4058,0.3747,0.3559,0.3157,0.3233,0.2837,0.3222,0.3034,0.2620,0.2507,0.2692,0.3487,0.3082,0.3567,0.3325,0.2281,0.2447,0.2279,0.2252,0.1798
17,Operating Income,- -,- -,- -,- -,1108373518,739310368,893306306,1141562927,1563956985,2005783735,2521177910,3098796839,3793458407,3561988539,3016244510,3053807668,3308162700,2919386020,1769209461,1820453250,2219399000,2434520000,2768863000,2053115000,2664046000
