,https://roic.ai/company/VNO-PL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304284000,337437000,388132000,517962000,618759000,- -,731454000,771191000,744929000,763792000,719705000,742312000,722154000,718259000,744338000,588388000,588441000,589027000,-181509000,546892000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,845880000,921097000,1067922000,1822989000,1985189000,- -,1801572000,1858976000,1844407000,2001213000,1968043000,1829419000,1786907000,1729508000,1768674000,1474984000,1551919000,1507008000,1989796000,1344207000
12,Interest Income ,- -,- -,- -,- -,- -,11100000,9300000,- -,11700000,- -,11800000,- -,- -,24100000,18500000,32926000,54385000,31685000,25402000,203995000,167225000,262188000,228499000,-2682000,38031000,10319000,14023000,13861000,19495000,3920000,6371000,3890000,4352000,26125000,19706000,9177000,2801000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,32200000,34900000,33900000,31200000,14200000,16400000,16700000,42900000,114700000,141700000,170273000,173076000,207840000,204260000,30901000,161712000,215587000,634554000,571533000,616592000,541728000,523286000,476266000,457597000,420792000,345864000,367960000,311588000,315970000,262816000,229251000,210849000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,9700000,11300000,11500000,11400000,10800000,11800000,14700000,47400000,59200000,83600000,99846000,123862000,205826000,219911000,253822000,346775000,413162000,462635000,577338000,559053000,556312000,580990000,557888000,561998000,583408000,566207000,595270000,529826000,472785000,438933000,417942000,432594000
15,EBITDA,- -,- -,- -,- -,- -,51000000,63900000,47700000,64200000,66200000,81200000,92800000,151300000,326800000,427800000,504110000,560676000,646569000,884874000,877640000,1048091000,1188889000,1743407000,1339377000,1302551000,1768399000,1791405000,1659546000,1489160000,1880054000,1587810000,1878459000,1109920000,1276342000,3953125000,221978000,808946000
16,EBITDA ratio,- -,- -,- -,- -,- -,1.5596,1.5739,1.1749,1.3375,0.7531,0.7899,0.7911,0.7468,0.7192,0.6448,0.6273,0.5723,0.4505,0.5887,0.5141,0.4114,0.4384,0.5863,0.4966,0.4749,0.6362,0.6144,0.5999,0.5394,0.7132,0.6345,0.7495,0.5326,0.5899,2.0539,0.1453,0.5090
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554816000,581958000,637865000,724639000,726906000,- -,814032000,795779000,805862000,856153000,677628000,874190000,815642000,760248000,550791000,607366000,582961000,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3866,0.3872,0.3736,0.2844,0.2680,- -,0.3018,0.2902,0.2899,0.2936,0.2449,0.3166,0.3094,0.3038,0.2198,0.2914,0.2694,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151200000,-118442000,33763000,-83601000,-119614000,- -,-734847000,-698497000,-54975000,-236859000,-260897000,-740369000,-310457000,-37775000,432271000,-288920000,-123363000,3020039000,36630000,-10496000
20,Income Before Tax,- -,- -,- -,- -,- -,11700000,18000000,2300000,25400000,- -,- -,- -,- -,- -,- -,- -,- -,403616000,463516000,671628000,641038000,607292000,587502000,79185000,97282000,750887000,619294000,416731000,133821000,505185000,722473000,983062000,318446000,459598000,3437731000,-425215000,197057000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.3578,0.4433,0.0567,0.5292,- -,- -,- -,- -,- -,- -,- -,- -,0.2813,0.3084,0.3934,0.2516,0.2239,0.1976,0.0294,0.0355,0.2701,0.2124,0.1506,0.0485,0.1917,0.2887,0.3923,0.1528,0.2124,1.7861,-0.2783,0.1240
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,4800000,7500000,1100000,-6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10530000,-204537000,20737000,22476000,24827000,8132000,-6406000,11002000,-84695000,8312000,41090000,37633000,103439000,-36630000,-10496000
23,Net Income,- -,11000000,14100000,9900000,10100000,4300000,10200000,1200000,28000000,41200000,53000000,61400000,61000000,152900000,202500000,233991000,263738000,232903000,460703000,592917000,539604000,560140000,635688000,395043000,106169000,647883000,662302000,617260000,475971000,864852000,760434000,906917000,227416000,449954000,3147937000,-388585000,175999000
24,Net Income ratio,- -,Infinity,Infinity,Infinity,Infinity,0.1315,0.2512,0.0296,0.5833,0.4687,0.5156,0.5234,0.3011,0.3365,0.3052,0.2912,0.2692,0.1623,0.3065,0.3473,0.2118,0.2065,0.2138,0.1465,0.0387,0.2331,0.2272,0.2231,0.1724,0.3281,0.3039,0.3619,0.1091,0.2080,1.6355,-0.2543,0.1107
25,EPS,- -,0.02,0.03,0.02,0.02,0.01,0.02,0.00,0.05,0.07,0.10,0.11,0.11,0.28,0.37,0.42,0.48,0.42,0.83,1.07,0.98,1.01,1.15,0.71,0.19,1.17,1.20,1.12,0.86,1.57,1.38,1.64,0.41,0.81,5.70,-0.70,0.32
26,EPS Diluted,- -,0.02,0.03,0.02,0.02,0.01,0.02,0.00,0.05,0.07,0.10,0.11,0.11,0.28,0.37,0.42,0.48,0.42,0.83,1.07,0.98,1.01,1.15,0.71,0.19,1.17,1.20,1.12,0.86,1.57,1.38,1.64,0.41,0.81,5.70,-0.70,0.32
27,Weighted Average Shares Outstanding,- -,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981
28,Weighted Average Shares Outstanding Diluted,- -,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981,552529981
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899689/000089968921000009/0000899689-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968922000006/0000899689-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208200000,320542000,599282000,294504000,2233317000,1154595000,1526853000,535479000,690789000,606553000,960319000,583290000,1198477000,1835707000,1501027000,1817655000,570916000,1515012000,1624482000,1760225000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334322000,40000000,- -,741321000,- -,- -,- -,150997000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208200000,320542000,599282000,294504000,2233317000,1154595000,1861175000,575479000,690789000,1347874000,960319000,583290000,1198477000,1986704000,1501027000,1817655000,570916000,1515012000,1624482000,1760225000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413427000,657354000,950711000,1003078000,1249251000,799310000,1280016000,1055287000,1093551000,1047499000,1186595000,1109971000,1001630000,1029307000,1127203000,985411000,1008453000,- -,- -,735979000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263125000,161833000,229193000,192619000,140351000,- -,41566000,293950000,200822000,-643253000,183256000,262440000,186512000,-43198000,98295000,97157000,245616000,- -,- -,227268000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,884752000,1139729000,1779186000,1490201000,3622919000,- -,3182757000,1924716000,1985162000,1752120000,2330170000,1955701000,2386619000,2972813000,2726525000,2900223000,1824985000,1515012000,1624482000,2723472000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6822268000,6878603000,8314404000,9776018000,11584810000,16565296000,15708565000,15455076000,14910925000,14531974000,- -,- -,- -,14671870000,11606306000,11871012000,- -,- -,367365000,337197000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522719000,442510000,348745000,319704000,370602000,323322000,276239000,227901000,192731000,159260000,136781000,30965000,23856000,154895000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522719000,442510000,348745000,319704000,370602000,323322000,276239000,227901000,192731000,159260000,136781000,30965000,23856000,154895000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1040236000,982091000,790694000,1645999000,1769541000,- -,1417572000,1589937000,2285545000,2828430000,2703271000,2109294000,1966792000,2276180000,2093855000,1594385000,1329069000,4255127000,3494846000,3305119000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270923000,518505000,696233000,724945000,977011000,- -,586597000,773233000,987094000,1014259000,16561932000,15708907000,16618670000,994529000,4195430000,873054000,13889959000,-4255127000,-3494846000,10745905000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8133427000,8379199000,9801331000,12146962000,14331362000,- -,18235453000,18260756000,18532309000,18694367000,19635805000,18141523000,18861701000,18170480000,18088322000,14497711000,15355809000,30965000,391221000,14543116000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22478935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9018179000,9518928000,11580517000,13637163000,17954281000,22478935000,21418210000,20185472000,20517471000,20446487000,21965975000,20097224000,21248320000,21143293000,20814847000,17397934000,17180794000,1545977000,2015703000,17266588000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202756000,226100000,413923000,476523000,531977000,- -,515607000,475242000,438479000,423512000,- -,- -,- -,- -,- -,415794000,- -,440049000,- -,613497000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9076000,- -,- -,358468000,852218000,874000000,138000000,2034269000,295870000,- -,550000000,115630000,- -,80000000,575000000,575000000,575000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59429000,40110000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16997000,23349000,32506000,52020000,60955000,- -,- -,- -,- -,- -,484746000,422276000,499702000,443955000,458694000,- -,430976000,-575000000,-575000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219753000,249449000,446429000,537619000,592932000,- -,874075000,1327460000,1312479000,561512000,2519015000,718146000,499702000,993955000,574324000,415794000,510976000,499478000,40110000,1188497000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4071320000,4064385000,4936633000,6245807000,9554798000,12951812000,12290618000,10087397000,10019639000,10424002000,9261921000,9682848000,10898859000,10541010000,10496055000,9729487000,9756621000,- -,- -,8411153000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498510000,542998000,519280000,346119000,287846000,227069000,167730000,- -,- -,48118000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19895000,17842000,13278000,13315000,15305000,1280000,1146000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2099750000,2127521000,2184714000,1590227000,1655781000,- -,2569137000,2103367000,2341670000,1939211000,1767080000,1557208000,1839951000,1786131000,1838126000,2017883000,1637584000,- -,- -,1103582000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6171070000,6191906000,7121347000,7836034000,11210579000,12951812000,14879650000,12208606000,12374587000,12376528000,11542816000,11784334000,13259236000,12673260000,12622027000,11974439000,11561935000,- -,- -,9562853000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27818588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9587642000,8627290000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498254000,401008000,370206000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6390823000,6441355000,7567776000,8373653000,11803511000,14866776000,15753725000,13536066000,13687066000,12938040000,14061831000,12502480000,13758938000,13667215000,13196351000,12390233000,12072911000,10087120000,8667400000,10751350000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265488000,250992000,577454000,834527000,828660000,825095000,823807000,823686000,783088000,1021660000,1240278000,1277225000,1277026000,1276954000,1038055000,891988000,891294000,891214000,1182339000,1182459000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4320000,4739000,5128000,5675000,6083000,6140000,6195000,7218000,7317000,7373000,7440000,7469000,7493000,7521000,7542000,7577000,7600000,- -,- -,7648000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-169629000,-57618000,133899000,103061000,-69188000,-82178000,-975998000,-1577591000,-1480876000,-1401704000,-1573275000,-1734839000,-1505385000,-1766780000,-1419382000,-4183253000,-4167184000,- -,- -,-3079320000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13564000,-6940000,47782000,83406000,92963000,29772000,-6899000,28449000,73453000,73729000,-18946000,71537000,93267000,46921000,118972000,128682000,7664000,-40233000,-75099000,-17534000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2540741000,2886400000,3248478000,4236841000,5292252000,5339570000,5817380000,6961007000,6932728000,7127258000,7195438000,7143840000,6873025000,7132979000,7153332000,7492658000,7725857000,6772263000,6608297000,8143093000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2627356000,3077573000,4012741000,5263510000,6150770000,6118399000,5664485000,6242769000,6315710000,6828316000,6850935000,6765232000,6745426000,6697595000,6898519000,4337652000,4465231000,6732030000,6533198000,6236346000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9018179000,9518928000,11580517000,13637163000,17954281000,20985175000,21418210000,19778835000,20002776000,19766356000,20912766000,19267712000,20504364000,20364810000,20094870000,16727885000,16538142000,16819150000,15200598000,16987696000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1493760000,- -,406637000,514695000,680131000,1053209000,829512000,743956000,778483000,719977000,670049000,642652000,-15273173000,-13184895000,278892000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9018179000,9518928000,11580517000,13637163000,17954281000,22478935000,21418210000,20185472000,20517471000,20446487000,21965975000,20097224000,21248320000,21143293000,20814847000,17397934000,17180794000,1545977000,2015703000,17266588000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899689/000089968921000009/0000899689-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968922000006/0000899689-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,4300000,10200000,1200000,28000000,41200000,53000000,61400000,61000000,152900000,202500000,233991000,263738000,232903000,460703000,592917000,539604000,560140000,635688000,395043000,106169000,647883000,662302000,617260000,475971000,864852000,760434000,906917000,227416000,449954000,3147937000,-388585000,175999000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,9700000,11300000,11500000,11400000,10800000,11800000,14700000,47400000,59200000,83600000,99846000,123862000,205826000,219911000,253822000,346775000,413162000,462635000,577338000,559053000,556312000,580990000,557888000,561998000,583408000,566207000,595270000,529826000,472785000,438933000,417942000,432594000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2600000,4800000,800000,-6400000,-600000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222174000,- -,- -,- -,- -,- -,- -,-90030000,- -,34800000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32829000,- -,53908000,48677000,38329000
77,Change in Working Capital,- -,- -,- -,- -,- -,2300000,-1800000,-3300000,4000000,-2200000,- -,- -,- -,- -,- -,- -,- -,664999000,225281000,442477000,-380175000,2077405000,-3029987000,2308682000,-1711426000,75427000,517925000,-1379453000,1426400000,649362000,91941000,173343000,332228000,-1170420000,-298475000,568838000,3546000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45023000,24373000,- -,-1646000,15383000,2019000,8869000,- -,- -,- -,8366000,- -,1183000,- -,- -,63204000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25231000,- -,3760000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,3300000,1500000,-1800000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,664999000,890280000,1332757000,952582000,3029987000,- -,2308682000,597256000,672683000,1190608000,-188845000,1237555000,1886917000,1978858000,2152201000,2484429000,1314009000,1015534000,1584372000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-11900000,11700000,5700000,-9600000,-2300000,-1600000,-5400000,2400000,-22700000,-109200000,-83916000,85000,-631403000,-376944000,-624523000,256474000,-2226039000,2628989000,-2241077000,1679783000,-508536000,-1058718000,1029354000,-1423580000,-962312000,-656402000,-674863000,-296957000,1050322000,-2679764000,-222632000,111338000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1800000,36200000,15900000,27400000,46900000,62900000,70700000,110800000,189400000,176900000,249921000,387685000,499825000,528951000,664693000,762678000,824668000,697325000,817812000,633579000,771086000,702499000,825049000,1040789000,1135310000,672150000,1000667000,860142000,802641000,662539000,424240000,761806000
84,CAPEX,- -,- -,- -,- -,- -,-38400000,-7700000,-11200000,-27000000,-25400000,-16600000,-14800000,-911200000,-964900000,-395800000,-371642000,-67090000,-96018000,-120593000,-117942000,-957812000,-1720645000,-3039118000,-832891000,-681874000,-474982000,-349604000,- -,- -,- -,-475819000,- -,-355852000,-74609000,-438935000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11574000,-100882000,-15331000,-136773000,-971358000,-251233000,- -,-160832000,-38266000,-165170000,-571922000,-82490000,10174000,-120639000,-235439000,-127608000,-40537000,-35056000,1730486000,-8959000,-138933000
86,Purchases of Investments,- -,- -,- -,- -,- -,-69900000,-23000000,-8000000,-24500000,- -,-109600000,-17000000,-8400000,-73500000,-21600000,-26531000,-14325000,- -,-17356000,-59714000,-242617000,-153914000,-424106000,-164886000,-145089000,-504096000,-43850000,-191330000,-186079000,- -,- -,-4379000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,37500000,13500000,35800000,53100000,10000000,22300000,46700000,- -,25800000,12500000,- -,1930000,87896000,7952000,- -,115974000,308055000,112779000,51185000,79355000,320462000,126768000,195208000,479859000,- -,- -,3937000,- -,4101000,168314000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-38400000,-7700000,-11300000,-27000000,-25400000,-16600000,-14800000,-1056100000,-1209700000,-485100000,-672844000,-55753000,-11131000,-105557000,-154242000,-653283000,-1819418000,-2756377000,654193000,543673000,303425000,673847000,-563650000,418122000,-453826000,32512000,-761143000,190072000,-846767000,564476000,-78841000,-393414000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-70800000,-17200000,16500000,1600000,-15400000,-103900000,14900000,-1064500000,-1257400000,-494200000,-699375000,-79722000,-24117000,-130292000,-350729000,-1751284000,-1916510000,-3067704000,-453231000,-242201000,-520361000,-164761000,-642262000,722076000,-574465000,-678746000,-889193000,-206317000,-877722000,2463276000,-87800000,-532347000
90,Debt Repayment,- -,- -,- -,- -,- -,-21200000,-11900000,-7900000,-368900000,-900000,-91200000,-55200000,-422200000,-894900000,-669000000,-633655000,-835257000,-731238000,-752422000,-702823000,-398957000,-1544076000,-868055000,-993665000,-4296440000,-2004718000,-3740327000,-2747694000,-3580100000,-1312258000,-2936578000,-1894990000,-631681000,-685265000,-2718987000,- -,-1584243000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56453000,- -,- -,780750000,1004394000,- -,- -,710226000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
