,https://roic.ai/company/FENC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,-55234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,55234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,83597.0234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,939362,1910109,3133561,3545710,3587858,12441000,14003000,10912000,10366000,2113000,708000,1494000,2075000,597000,357000,256000,472000,1936000,5008000,5607000,5105000,4981000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1545000,1334000,2520000,1634000,2399000,5015000,5401000,7402000,12950000,12242000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",614247,738719,907398,1781021,3493783,3182000,2883000,3278000,3520000,1214000,3896000,1944000,1545000,1334000,2520000,1634000,2399000,5015000,5401000,7402000,12950000,12242000
9,Other Expenses,- -,55234,- -,- -,- -,2723000,- -,- -,- -,-497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1553609,2704061,4040959,5326731,7081641,18346000,16886000,14190000,13886000,2830000,4604000,3438000,3620000,1931000,2877000,1890000,2871000,6951000,10409000,13009000,18055000,17223000
11,COGS and Expenses,1605619,2648828,4040959,6744718,9421505,18346000,19063000,14190000,13886000,2830000,4604000,3438000,3620000,1931000,2877000,1890000,2871000,6951000,10409000,13009000,18055000,- -
12,Interest Income ,- -,- -,- -,- -,- -,361000,- -,- -,286000,47000,32000,43000,25000,2000,2000,3000,- -,- -,- -,- -,87000,54000
