,https://roic.ai/company/ATUS,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,6017212000,9326570000,9566608000,9760859000,9894642000,10090849000
2,COGS,1899994000,3035655000,3173076000,3300528000,3340442000,3382129000
3,Gross Profit,4117218000,6290915000,6393532000,6460331000,6554200000,6708720000
4,Gross Profit Ratio,0.6842,0.6745,0.6683,0.6619,0.6624,0.6648
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -
9,Other Expenses,3417157000,5273130000,4672605000,4563542000,4347838000,4166917000
10,Operating Expenses,3417157000,5273130000,4672605000,4563542000,4347838000,4166917000
11,COGS and Expenses,5317151000,8308785000,7845681000,7864070000,7688280000,7549046000
12,Interest Income ,13811000,1921000,10856000,5709000,2194000,160000
13,Interest Expense (Gain),1456541000,1603132000,1556282000,1536559000,1352535000,1266751000
14,Depreciation and Amortization,1700306000,2930475000,2382339000,2263144000,2083365000,1787152000
15,EBITDA,2065151000,3200671000,3918799000,3985829000,4011831000,4339189000
16,EBITDA ratio,0.3432,0.3432,0.4096,0.4083,0.4055,0.4300
17,Operating Income,459666000,865384000,1682379000,1823811000,2115289000,2524627000
18,Operating Income ratio,0.0764,0.0928,0.1759,0.1868,0.2138,0.2502
19,Total Other Income Expenses (Gains),-1550811000,-2196733000,-1700440000,-1636682000,-1532062000,-1218720000
20,Income Before Tax,-1091145000,-1331349000,-18061000,187129000,583227000,1305907000
21,Income Before Tax Ratio,-0.1813,-0.1427,-0.0019,0.0192,0.0589,0.1294
22,Income Tax expense (Gain),-259666000,-2852967000,-38655000,47190000,139748000,294975000
23,Net Income,-832030000,1520031000,18833000,138936000,436183000,990311000
24,Net Income ratio,-0.1383,0.1630,0.0020,0.0142,0.0441,0.0981
25,EPS,-1.13,2.15,0.03,0.21,0.75,1.70
26,EPS Diluted,-1.13,2.15,0.03,0.21,0.75,1.70
27,Weighted Average Shares Outstanding,737069000,696055000,730088000,660384000,581057000,581057000
28,Weighted Average Shares Outstanding Diluted,737069000,696055000,730088000,662541000,583689000,583689000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1702780/000170278018000002/0001702780-18-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/1702780/000162828020001613/0001628280-20-001613-index.html,https://www.sec.gov/Archives/edgar/data/1702780/000162828021001975/0001628280-21-001975-index.htm,https://www.sec.gov/Archives/edgar/data/1702780/000162828022002873/0001628280-22-002873-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,486792000,273329000,298781000,701898000,278422000,195711000
32,Short-Term Investments,741515000,- -,- -,- -,2250854000,- -
33,Cash and Short-Term Investments,1228307000,273329000,298781000,701898000,2529276000,195711000
34,Net Receivables,371808000,392121000,465956000,463892000,446843000,410728000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,104804000,188110000,138517000,215566000,-1999553000,183195000
37,Total Current Assets,1704919000,853560000,903254000,1381356000,976566000,789634000
38,PP&E,6597635000,6063829000,5828881000,6033741000,6047338000,6562591000
39,Goodwill,7992700000,7996760000,8012416000,8142309000,8160566000,8205863000
40,Intangible Assets,19372725000,18086535000,17212905000,16501190000,15849133000,15418356000
41,Intangible Assets,27365425000,26083295000,25225321000,24643499000,24009699000,23624219000
42,Investments,5606000,930000,1462626000,1931697000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,800664000,1773611000,193726000,117829000,2343057000,2238590000
45,Total Non-Current Assets,34769330000,33921665000,32710554000,32726766000,32400094000,32425400000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,36474249000,34775225000,33613808000,34108122000,33376660000,33215034000
48,Accounts Payable,697310000,790220000,857502000,799618000,795576000,1023045000
49,Short-Term Debt,1601967000,593357000,158625000,170682000,1245713000,917313000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,94816000,104220000,140053000,124777000,109798000,94943000
52,Other Current Liabilities,1310840000,1005186000,865011000,883402000,947016000,699818000
53,Total Current Liabilities,3704933000,2492983000,2021191000,1978479000,3098103000,2735119000
54,Long-Term Debt,22414956000,21335513000,22653975000,24249603000,25476629000,25866673000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7966815000,4775115000,4723937000,4762595000,5006167000,5048129000
57,Other Non-Current Liabilities,357703000,675774000,534469000,838183000,998900000,436015000
58,Total Non-Current Liabilities,30739474000,26786402000,27912381000,29850381000,31481696000,31350817000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,28155000,21980000,25190000,291079000,320878000,455961000
61,Total Liabilities,34444407000,29279385000,29933572000,31828860000,34579799000,34085936000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7371000,7091000,6434000,4831000,4546000
64,Retained Earnings,-975978000,854824000,251830000,390766000,-985641000,-848836000
65,Other Comprehensive Income/Loss,1979000,-10022000,-11783000,-3250000,3646000,6497000
66,Other Total Stockholders Equity,3003820000,4642128000,3423803000,1876014000,-163866000,18005000
67,Total Stockholders Equity,2029555000,5494301000,3670941000,2269964000,-1141030000,-819788000
68,Total Liabilities And Stockholders Equity,36473962000,34773686000,33604513000,34098824000,33438769000,33266148000
69,Minority Interest,287000,1539000,9295000,9298000,-62109000,-51114000
70,Total Liabilities & Equity,36474249000,34775225000,33613808000,34108122000,33376660000,33215034000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1702780/000170278018000002/0001702780-18-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/1702780/000162828020001613/0001628280-20-001613-index.html,https://www.sec.gov/Archives/edgar/data/1702780/000162828021001975/0001628280-21-001975-index.htm,https://www.sec.gov/Archives/edgar/data/1702780/000162828022002873/0001628280-22-002873-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-832030000,1520031000,18833000,138936000,436183000,990311000
74,Depreciation and Amortization,1700306000,2930475000,2382339000,2263144000,2083365000,1787152000
75,Deferred Income Tax,-263989000,-2871144000,-67603000,14931000,75512000,40701000
76,Stock Based Compensation,14368000,57430000,59812000,99078000,125087000,98296000
77,Change in Working Capital,438114000,360591000,521486000,520814000,-1524414000,-346485000
78,Accounts Receivable,-58760000,-89683000,-144079000,-91718000,-50747000,-30379000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-11814000,69088000,12455000,-33107000,- -,- -
81,Other Working Capital,-2000014000,-1639423000,-1117937000,-597123000,-2121537000,-17171000
82,Other Non-Cash Items,127686000,4360000,-406550000,-482734000,1784431000,284103000
83,Cash Provided by Operating Activities,1184455000,2001743000,2508317000,2554169000,2980164000,2854078000
84,CAPEX,-625647000,-993071000,-1154173000,-1359421000,-1073955000,-1231715000
85,Acquisitions Net,-8974949000,-46703000,-14290000,-170311000,-149973000,-340444000
86,Purchases of Investments,-4608000,-102183000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,9327000,354000,- -,- -
88,Other Investing Activites,-619762000,-983328000,-1143394000,-1355512000,-1070453000,-1233159000
89,Cash Used for Investing Activites,-9599319000,-1132214000,-1148357000,-1525469000,-1220426000,-1573603000
90,Debt Repayment,-9295482000,-6987197000,-5409510000,-8168894000,-6237887000,-5141162000
91,Common Stock Issued,- -,349071000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-500000000,-1686873000,-4816379000,-804928000
93,Dividends Paid,-365559000,-919317000,-1499935000,- -,- -,- -
94,Other Financing Activites,9792462000,6458402000,6018449000,9231355000,8873221000,4583566000
95,Cash Used/Provided by Financing Activities,131421000,-1099041000,-1390996000,-624412000,-2181045000,-1362524000
96,Effect of Forex Changes on Cash,- -,- -,-26000,-1166000,-2167000,-662000
97,Net Change In Cash,-8283443000,-229512000,-31062000,403122000,-423474000,-82711000
98,Cash at the End of Period,503093000,273581000,299038000,702160000,278686000,195975000
99,Cash at the Beginning of Period,8786536000,503093000,330100000,299038000,702160000,278686000
100,Free Cash Flow,558808000,1008672000,1354144000,1194748000,1906209000,1622363000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1702780/000170278018000002/0001702780-18-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/1702780/000162828020001613/0001628280-20-001613-index.html,https://www.sec.gov/Archives/edgar/data/1702780/000162828021001975/0001628280-21-001975-index.htm,https://www.sec.gov/Archives/edgar/data/1702780/000162828022002873/0001628280-22-002873-index.htm
102,false,,,,,,
