,https://roic.ai/company/ENOB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,42769,- -,- -,- -,- -,- -
2,COGS,- -,- -,295661,- -,5275,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,-295661,- -,37494,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,-Infinity,- -,0.8767,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,804188,62763,616961,2498107,4694349,15538122
6,General and Administrative Exp.,- -,37092,2114584,- -,1326841,2573136,4693884,8420216,7120835,7740130
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,37092,2114584,- -,1326841,2573136,4693884,8420216,7120835,7740130
9,Other Expenses,29945,- -,18981,- -,27395,14528,2858514,71709,108584,123535
10,Operating Expenses,29945,37092,2133565,- -,2158424,2650427,8169359,10990032,11923768,23401787
11,COGS and Expenses,29945,37092,2429226,- -,2163699,2650427,8169359,10990032,11923768,23401787
12,Interest Income ,- -,- -,5937,- -,- -,- -,45816,73487,50296,13179
13,Interest Expense (Gain),- -,497,84550,- -,2364,26259,143262,43,104280,379608
14,Depreciation and Amortization,- -,- -,45201,- -,27395,14528,2858514,71709,108583,391415
15,EBITDA,-29945,-37092,-2378088,- -,-2168267,-2635899,-5310845,-10918323,-11815184,-22997193
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,- -,-50.6972,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-29945,- -,-2429226,- -,-2120930,-2650427,-8169359,-10990032,-11923768,-23401787
18,Operating Income ratio,-Infinity,- -,-Infinity,- -,-49.5904,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-497,-119196,- -,-77096,192720,-1094222,-7026448,507410,-3447096
20,Income Before Tax,-29945,-37589,-2548422,- -,-2198026,-2457707,-9263581,-18016480,-11416358,-26848883
