,https://roic.ai/company/PFIE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,3043852,2325666,- -,- -,6257269,5912350,8033926,15925213,16887267,35392108,51179392,27072446,38286376,45614535,38981313,21458609,26356176
2,COGS,2759516,2124402,- -,- -,3277877,2289414,3342144,6887869,8273067,15629598,24514866,13432126,18022469,23213909,20429606,11932408,29910322
3,Gross Profit,284336,201264,- -,- -,2979392,3622936,4691782,9037344,8614200,19762510,26664526,13640320,20263907,22400626,18551707,9526201,-3554146
4,Gross Profit Ratio,0.0934,0.0865,- -,- -,0.4761,0.6128,0.5840,0.5675,0.5101,0.5584,0.5210,0.5038,0.5293,0.4911,0.4759,0.4439,-0.1349
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,703266,1832671,899013,1221211,1397440,1933112,1299103,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1638388,1833264,2277546,4510306,6454837,10387351,16296156,12264442,11676693,13029228,13454195,10641122,11533496
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1369497,872882,58280,- -,1638388,1833264,2277546,4510306,6454837,10387351,16296156,12264442,11676693,13029228,13454195,10641122,11533496
9,Other Expenses,18667,-27747,- -,- -,- -,60496,73017,159421,- -,- -,- -,516786,526583,- -,- -,666187,1882519
10,Operating Expenses,1388164,845135,58280,- -,1638388,1893760,2350563,4669727,6454837,11090617,18128827,13680241,13424487,14426668,15387307,12606412,13416015
11,COGS and Expenses,4147680,2969537,58280,- -,4916265,4183174,5692707,11557596,14727904,26720215,42643693,27112367,31446956,37640577,35816913,24538820,43326337
12,Interest Income ,- -,- -,- -,- -,32,571,3727,375,25942,5863,26010,37278,180325,501429,283476,181254,133201
13,Interest Expense (Gain),93926,187509,131742,- -,6034,6281,32272,20370,- -,2692,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,42706,40119,- -,- -,40655,60496,91024,198707,243838,359305,1140319,989484,889724,896681,1467007,1176707,- -
15,EBITDA,-1061122,-603752,-58280,- -,1380741,1790242,2435970,4570299,2407398,9043918,9731907,1152056,8012953,9494643,5034568,-1482457,-1680901
16,EBITDA ratio,-0.3486,-0.2596,-Infinity,- -,0.2207,0.3028,0.3032,0.2870,0.1426,0.2555,0.1902,0.0426,0.2093,0.2081,0.1292,-0.0691,-0.0638
17,Operating Income,-1103828,-643871,-58280,- -,1341004,1729176,2341219,4367617,2159363,8671893,8535699,-39921,6839420,7973958,3164400,-3080211,-2015000
18,Operating Income ratio,-0.3626,-0.2769,-Infinity,- -,0.2143,0.2925,0.2914,0.2743,0.1279,0.2450,0.1668,-0.0015,0.1786,0.1748,0.0812,-0.1435,-0.0765
19,Total Other Income Expenses (Gains),-93926,-187509,-131742,- -,-6952,-5710,-28545,-16395,4197,10028,55889,202493,283809,624004,403161,421047,334099
20,Income Before Tax,-1197754,-831380,-190022,- -,1334052,1723466,2312674,4351222,2163560,8681921,8591588,162572,7123229,8597962,3567561,-2659164,-1680901
21,Income Before Tax Ratio,-0.3935,-0.3575,-Infinity,- -,0.2132,0.2915,0.2879,0.2732,0.1281,0.2453,0.1679,0.0060,0.1861,0.1885,0.0915,-0.1239,-0.0638
22,Income Tax expense (Gain),- -,- -,- -,- -,458907,444191,686211,1163451,730905,3074612,2843905,127828,2673694,2517200,1546069,-483567,-629358
23,Net Income,-1197754,-831380,-175273,- -,875145,1279274,1626463,3187771,1432655,5607309,5747683,34744,4449535,6080762,2021492,-2175597,-1051543
24,Net Income ratio,-0.3935,-0.3575,-Infinity,- -,0.1399,0.2164,0.2024,0.2002,0.0848,0.1584,0.1123,0.0013,0.1162,0.1333,0.0519,-0.1014,-0.0399
25,EPS,-0.03,-0.03,-0.01,- -,0.02,0.03,0.04,0.07,0.03,0.12,0.11,0.00,0.09,0.13,0.04,-0.05,-0.02
26,EPS Diluted,-0.03,-0.03,-0.01,- -,0.02,0.03,0.04,0.07,0.03,0.12,0.11,0.00,0.09,0.12,0.04,-0.05,-0.02
27,Weighted Average Shares Outstanding,38499110,28182387,19569750,- -,40013699,45000000,45000000,45000000,45109767,46230669,51609760,53243151,49365592,48471011,47490937,47778063,48239236
28,Weighted Average Shares Outstanding Diluted,38499110,28182387,19569750,- -,40013699,45116800,45229413,45218238,45371956,46822984,51680775,53558942,49858435,49222353,48133749,47778063,49328808
