,https://roic.ai/company/GKOS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,20946000,45587000,71700000,114397000,159254000,181278000,236984000,224959000,294011000
2,COGS,2535000,11418000,12988000,16177000,21050000,25075000,38588000,91719000,66627000
3,Gross Profit,18411000,34169000,58712000,98220000,138204000,156203000,198396000,133240000,227384000
4,Gross Profit Ratio,0.8790,0.7495,0.8189,0.8586,0.8678,0.8617,0.8372,0.5923,0.7734
5,Research and Development Exp.,15511000,19205000,25047000,29223000,44225000,49676000,68308000,85392000,100999000
6,General and Administrative Exp.,- -,- -,43961000,64756000,96260000,119529000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,43961000,64756000,96260000,119529000,176635000,171401000,179257000
9,Other Expenses,17098000,28135000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,32609000,47340000,69008000,93979000,140485000,169205000,244943000,256793000,280256000
11,COGS and Expenses,35144000,58758000,81996000,110156000,161535000,194280000,283531000,348512000,346883000
12,Interest Income ,13000,3000,82000,889000,2326000,2252000,3169000,2379000,1288000
13,Interest Expense (Gain),307000,876000,1062000,608000,44000,- -,2565000,14115000,13372000
14,Depreciation and Amortization,1157000,4231000,4267000,4722000,5482000,6264000,9863000,34613000,34421000
15,EBITDA,-11169000,-7001000,-31879000,9895000,5527000,-6104000,-37608000,-83586000,-1474000
16,EBITDA ratio,-0.5332,-0.1536,-0.4446,0.0865,0.0347,-0.0337,-0.1587,-0.3716,-0.0050
17,Operating Income,-14198000,-13171000,-10296000,4241000,-2281000,-13002000,-50292000,-123553000,-32872000
18,Operating Income ratio,-0.6778,-0.2889,-0.1436,0.0371,-0.0143,-0.0717,-0.2122,-0.5492,-0.1118
19,Total Other Income Expenses (Gains),-23000,-868000,-27992000,324000,2282000,634000,256000,-8761000,-16395000
20,Income Before Tax,-14221000,-14039000,-38288000,4565000,1000,-12368000,-50036000,-132314000,-49267000
21,Income Before Tax Ratio,-0.6789,-0.3080,-0.5340,0.0399,0.0000,-0.0682,-0.2111,-0.5882,-0.1676
22,Income Tax expense (Gain),6000,18000,33000,43000,93000,583000,-65460000,-11966000,326000
23,Net Income,-12639000,-12126000,-37241000,4522000,-92000,-12951000,15424000,-120348000,-49593000
24,Net Income ratio,-0.6034,-0.2660,-0.5194,0.0395,-0.0006,-0.0714,0.0651,-0.5350,-0.1687
25,EPS,-0.51,-0.51,-2.13,0.14,-0.00,-0.37,0.41,-2.70,-1.07
26,EPS Diluted,-0.51,-0.51,-2.13,0.12,-0.00,-0.37,0.37,-2.70,-1.07
27,Weighted Average Shares Outstanding,24885000,23920000,17474000,32928000,34381000,35317000,37355000,44497000,46737000
28,Weighted Average Shares Outstanding Diluted,24885000,23920000,17474000,36459000,34381000,35317000,41145000,44497000,49320000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1192448/000155837016004119/0001558370-16-004119-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837017001833/0001558370-17-001833-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837018001301/0001558370-18-001301-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837019001235/0001558370-19-001235-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837020001862/0001558370-20-001862-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837021002061/0001558370-21-002061-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837022002371/0001558370-22-002371-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,6728000,2304000,21572000,6494000,24508000,29821000,62430000,96596000,100708000
32,Short-Term Investments,- -,- -,69552000,89268000,94506000,110667000,111553000,307772000,313343000
33,Cash and Short-Term Investments,6728000,2304000,91124000,95762000,119014000,140488000,173983000,404368000,414051000
34,Net Receivables,2892000,5398000,7549000,14305000,16656000,18673000,38417000,36059000,33438000
35,Inventory,1853000,2258000,4097000,6844000,11222000,13282000,42578000,15809000,23011000
36,Other Current Assets,486000,594000,1370000,3112000,2568000,4124000,7900000,13206000,15626000
37,Total Current Assets,11959000,10554000,104140000,120023000,149460000,176567000,262878000,469442000,486126000
38,PP&E,1866000,1950000,2154000,7593000,11794000,19153000,91808000,95460000,146133000
39,Goodwill,- -,- -,- -,- -,- -,- -,66134000,66134000,66134000
40,Intangible Assets,16975000,13475000,10218000,6567000,3147000,- -,382605000,357693000,332781000
41,Intangible Assets,16975000,13475000,10218000,6567000,3147000,- -,448739000,423827000,398915000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,235000,213000,- -,- -,- -
44,Other Non-Current Assets,77000,42000,149000,188000,1200000,11037000,14975000,16773000,18524000
45,Total Non-Current Assets,18918000,15467000,12521000,14348000,16376000,30403000,555522000,536060000,563572000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30877000,26021000,116661000,134371000,165836000,206970000,818400000,1005502000,1049698000
48,Accounts Payable,3335000,3298000,3626000,2967000,6244000,6286000,5781000,4371000,7333000
49,Short-Term Debt,- -,10382000,8931000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,3198000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2137000,6507000,7805000,13971000,20544000,24079000,51919000,45331000,56027000
53,Total Current Liabilities,5472000,20187000,20362000,16938000,26788000,30365000,57700000,49702000,63360000
54,Long-Term Debt,17500000,8968000,765000,- -,- -,- -,72630000,270810000,382375000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,9632000,10512000,7318000
57,Other Non-Current Liabilities,737000,391000,343000,159000,846000,2745000,5166000,7029000,9494000
58,Total Non-Current Liabilities,18237000,9359000,1108000,159000,846000,2745000,87428000,288351000,399187000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,72630000,81394000,102349000
61,Total Liabilities,23709000,29546000,21470000,17097000,27634000,33110000,145128000,338053000,462547000
62,Preferred Stock,156210000,157379000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5000,6000,32000,34000,35000,36000,44000,45000,47000
64,Retained Earnings,-147246000,-159372000,-196613000,-192091000,-192183000,-205134000,-189710000,-310058000,-365211000
65,Other Comprehensive Income/Loss,2000,44000,51000,648000,-591000,738000,1330000,1004000,15000
66,Other Total Stockholders Equity,5941000,8023000,291721000,308683000,330941000,378220000,861608000,976458000,952300000
67,Total Stockholders Equity,14912000,6080000,95191000,117274000,138202000,173860000,673272000,667449000,587151000
68,Total Liabilities And Stockholders Equity,38621000,35626000,116661000,134371000,165836000,206970000,818400000,1005502000,1049698000
69,Minority Interest,-7744000,-9605000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30877000,26021000,116661000,134371000,165836000,206970000,818400000,1005502000,1049698000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1192448/000155837016004119/0001558370-16-004119-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837017001833/0001558370-17-001833-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837018001301/0001558370-18-001301-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837019001235/0001558370-19-001235-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837020001862/0001558370-20-001862-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837021002061/0001558370-21-002061-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837022002371/0001558370-22-002371-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-12639000,-12126000,-37241000,4522000,-92000,-12951000,15424000,-120348000,-49593000
74,Depreciation and Amortization,1157000,4231000,4267000,4722000,5482000,6264000,9863000,34613000,34421000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-66306000,-12176000,-1029000
76,Stock Based Compensation,1346000,1530000,7889000,8786000,17592000,25704000,36393000,46477000,30146000
77,Change in Working Capital,-1440000,-16120000,93411000,19307000,19587000,23530000,-4469000,-3224000,3577000
78,Accounts Receivable,-2340000,-2514000,-2163000,-6791000,-2181000,-2252000,-6632000,2243000,1700000
79,Inventory,-938000,-413000,-1848000,-2935000,-4162000,-2303000,4078000,1962000,-7703000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,6487000,-9633000,83778000,103085000,122672000,146202000,-1777000,287000,- -
82,Other Non-Cash Items,-1729000,15378000,-70514000,-25028000,-17061000,-23683000,8726000,31670000,7186000
83,Cash Provided by Operating Activities,-13305000,-7107000,-2188000,12309000,25508000,18864000,-369000,-22988000,24708000
84,CAPEX,-852000,-868000,-877000,-6278000,-6311000,-10315000,-4724000,-6935000,-47785000
85,Acquisitions Net,- -,- -,-15000000,- -,- -,- -,49652000,- -,- -
86,Purchases of Investments,-10817000,- -,-69751000,-75192000,-94307000,-94936000,-81996000,-302822000,-217366000
87,Sales/Maturities of Investments,10711000,- -,- -,55354000,88891000,78851000,80494000,104697000,206916000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,3000
89,Cash Used for Investing Activites,-958000,-868000,-85628000,-26116000,-11727000,-26400000,43426000,-205060000,-58232000
90,Debt Repayment,- -,- -,-18404000,-9696000,- -,- -,-22496000,- -,-659000
91,Common Stock Issued,- -,- -,113589000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-132000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19389000,3500000,11925000,8054000,4667000,21576000,12851000,262542000,39919000
95,Cash Used/Provided by Financing Activities,19257000,3500000,107110000,-1642000,4667000,21576000,-9645000,262542000,39260000
96,Effect of Forex Changes on Cash,2000,51000,-26000,371000,-434000,48000,-252000,-88000,-1774000
97,Net Change In Cash,4996000,-4424000,19268000,-15078000,18014000,14088000,33160000,34406000,3962000
98,Cash at the End of Period,6728000,2304000,21572000,6494000,24508000,38596000,71756000,106162000,110124000
99,Cash at the Beginning of Period,1732000,6728000,2304000,21572000,6494000,24508000,38596000,71756000,106162000
100,Free Cash Flow,-14157000,-7975000,-3065000,6031000,19197000,8549000,-5093000,-29923000,-23077000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1192448/000155837016004119/0001558370-16-004119-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837017001833/0001558370-17-001833-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837018001301/0001558370-18-001301-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837019001235/0001558370-19-001235-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837020001862/0001558370-20-001862-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837021002061/0001558370-21-002061-index.htm,https://www.sec.gov/Archives/edgar/data/1192448/000155837022002371/0001558370-22-002371-index.htm
102,false,,,,,,,,,
