,https://roic.ai/company/GO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,1831531000,2075465000,2287660000,2559617000,- -,3134640000
2,COGS,1270354000,1443582000,1592263000,1772515000,- -,2161293000
3,Gross Profit,561177000,631883000,695397000,787102000,- -,973347000
4,Gross Profit Ratio,0.3064,0.3045,0.3040,0.3075,- -,0.3105
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,459956000,511795000,567509000,629180000,- -,810493000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",459956000,511795000,567509000,629180000,- -,810493000
9,Other Expenses,37152000,43152000,45421000,95213000,- -,55479000
10,Operating Expenses,497108000,554947000,612930000,724393000,- -,865972000
11,COGS and Expenses,1767462000,1998529000,2205193000,2496908000,- -,3027265000
12,Interest Income ,961000,1131000,1350000,2013000,- -,1767000
13,Interest Expense (Gain),43807000,46357000,52686000,-45927000,- -,19489000
14,Depreciation and Amortization,37152000,43156000,47057000,50143000,- -,58051000
15,EBITDA,97881000,115285000,121595000,20998000,- -,164674000
16,EBITDA ratio,0.0534,0.0555,0.0532,0.0082,- -,0.0525
17,Operating Income,64069000,76936000,82467000,68343000,- -,107375000
18,Operating Income ratio,0.0350,0.0371,0.0360,0.0267,- -,0.0343
19,Total Other Income Expenses (Gains),-47147000,-51164000,-60615000,-51561000,- -,-20241000
20,Income Before Tax,16922000,25772000,21852000,16782000,- -,87134000
21,Income Before Tax Ratio,0.0092,0.0124,0.0096,0.0066,- -,0.0278
22,Income Tax expense (Gain),6724000,5171000,5984000,1363000,- -,-19579000
23,Net Income,10198000,20601000,15868000,15419000,- -,106713000
24,Net Income ratio,0.0056,0.0099,0.0069,0.0060,- -,0.0340
25,EPS,0.14,0.28,0.23,0.20,- -,1.16
26,EPS Diluted,0.14,0.28,0.23,0.19,- -,1.08
27,Weighted Average Shares Outstanding,74148000,74189000,74148000,81863000,- -,91818000
28,Weighted Average Shares Outstanding Diluted,74221000,74228000,74221000,81863000,- -,98452000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771515/000177151520000005/0001771515-20-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1771515/000177151521000009/0001771515-21-000009-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,5801000,21063000,28101000,- -,105326000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5801000,21063000,28101000,- -,105326000
34,Net Receivables,- -,6682000,7125000,9852000,- -,11393000
35,Inventory,- -,183012000,198304000,219420000,- -,245157000
36,Other Current Assets,- -,12061000,13880000,13453000,- -,20081000
37,Total Current Assets,- -,207556000,240372000,270826000,- -,381957000
38,PP&E,- -,277746000,304032000,1096845000,- -,1269049000
39,Goodwill,- -,747943000,747943000,747943000,- -,747943000
40,Intangible Assets,- -,75664000,68824000,47792000,- -,48226000
41,Intangible Assets,- -,823607000,816767000,795735000,- -,796169000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,16020000,- -,3529000
44,Other Non-Current Assets,- -,8961000,15691000,6103000,- -,34920000
45,Total Non-Current Assets,- -,1110314000,1136490000,1914703000,- -,2103667000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1317870000,1376862000,2185529000,- -,2485624000
48,Accounts Payable,- -,95555000,98123000,119217000,- -,114278000
49,Short-Term Debt,- -,5384000,7349000,38491000,- -,48675000
50,Tax Payable,- -,3026000,3463000,4641000,- -,7547000
51,Deferred Revenue,- -,- -,- -,2000000,- -,- -
52,Other Current Liabilities,- -,30393000,45452000,48919000,- -,69693000
53,Total Current Liabilities,- -,131332000,150924000,208627000,- -,232646000
54,Long-Term Debt,- -,705502000,850019000,453394000,- -,449233000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,9304000,15135000,16020000,- -,- -
57,Other Non-Current Liabilities,- -,44600000,60833000,762104000,- -,881438000
58,Total Non-Current Liabilities,- -,759406000,925987000,1231518000,- -,1330671000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,806000000,- -,930113000
61,Total Liabilities,- -,890738000,1076911000,1440145000,- -,1563317000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,68000,68000,89000,- -,95000
64,Retained Earnings,- -,23776000,12426000,28013000,- -,135165000
65,Other Comprehensive Income/Loss,- -,-83125000,-118756000,-159888000,- -,- -
