,https://roic.ai/company/UAVS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,10000,250000,- -,90800,3602798,6436805,4856027,6285411,8496519,10942270,14293367,4878722,2461727,1329005,107813,296677,1285383,9760952
2,COGS,- -,10000,210000,- -,- -,- -,2637333,1833108,3440228,3102321,4095850,6762248,4501940,2661258,1363946,61680,202049,711650,5504708
3,Gross Profit,- -,- -,40000,- -,90800,3602798,3799472,3022919,2845183,5394198,6846420,7531119,376782,-199531,-34941,46133,94628,573733,4256244
4,Gross Profit Ratio,- -,- -,0.1600,- -,1.0000,1.0000,0.5903,0.6225,0.4527,0.6349,0.6257,0.5269,0.0772,-0.0811,-0.0263,0.4279,0.3190,0.4464,0.4360
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38948,29392,4082799
6,General and Administrative Exp.,- -,10000,30000,30000,- -,- -,3562317,2413685,2917054,2894089,3302278,3257489,3244871,2492635,2286642,2029593,2512858,5435645,14957410
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77139,65015,40003,3150886
8,"Selling, General and Administrative Exp.",- -,10000,30000,30000,- -,- -,3562317,2413685,2917054,2894089,3302278,3257489,3244871,2492635,2286642,2106732,2577873,5475648,18108296
9,Other Expenses,- -,- -,- -,- -,2085817,6548487,911293,836536,1128712,1633467,1856660,3549245,1311446,413967,346197,- -,- -,- -,6853213
10,Operating Expenses,- -,10000,30000,30000,2085817,6548487,4473610,3250221,4045766,4527556,5158938,6806734,4556317,2906602,2632839,2106732,2616821,5505040,29044308
11,COGS and Expenses,- -,20000,240000,30000,2085817,6548487,7110943,5083329,7485994,7629877,9254788,13568982,9058257,5567860,3996785,2168412,2818870,6216690,34549016
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,398,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-20000,-20000,-20000,- -,1882246,3696521,1347578,463021,302357,772471,1305194,1293407,1911906,1254158,32417,501,549,7852
14,Depreciation and Amortization,- -,- -,- -,- -,208921,935330,1107548,915180,1128712,- -,- -,- -,- -,- -,- -,65362,- -,173661,1501826
15,EBITDA,- -,-50000,-30000,-70000,-1794182,-2010359,-502999,-2685333,-446889,648349,2062924,5878818,-50628447,-11263864,9529190,-1981904,-2522193,-4758240,-28599002
16,EBITDA ratio,- -,-5.0000,-0.1200,-Infinity,-19.7597,-0.5580,-0.0781,-0.5530,-0.0711,0.0763,0.1885,0.4113,-10.3774,-4.5756,7.1702,-18.3828,-8.5015,-3.7018,-2.9299
17,Operating Income,- -,-10000,10000,-30000,-1995017,-2945689,-5451861,-227302,-1200583,866642,1687482,724385,-53109622,-11138803,-2667780,-2060599,-2522193,-4931307,-30292772
18,Operating Income ratio,- -,-1.0000,0.0400,-Infinity,-21.9716,-0.8176,-0.8470,-0.0468,-0.1910,0.1020,0.1542,0.0507,-10.8860,-4.5248,-2.0074,-19.1127,-8.5015,-3.8364,-3.1035
19,Total Other Income Expenses (Gains),- -,-20000,-20000,-20000,-3854,- -,-936409,-3373211,-816679,-125522,-397029,3849239,1187768,-2036967,10942812,-19084,-501,-1143,184092
20,Income Before Tax,- -,-30000,-10000,-50000,- -,- -,- -,- -,-2017262,741120,1290453,4573624,-51921854,-13175770,8275032,-2079683,-2522694,-4932450,-30108680
21,Income Before Tax Ratio,- -,-3.0000,-0.0400,-Infinity,- -,- -,- -,- -,-0.3209,0.0872,0.1179,0.3200,-10.6425,-5.3522,6.2265,-19.2897,-8.5032,-3.8373,-3.0846
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30195804
23,Net Income,- -,-30000,-10000,-50000,-2003103,-4827935,-5307068,-4948091,-2038622,345992,1290453,4573624,-51921854,-13175770,8275032,-2079683,-2522694,-4932450,87124
24,Net Income ratio,- -,-3.0000,-0.0400,-Infinity,-22.0606,-1.3401,-0.8245,-1.0190,-0.3243,0.0407,0.1179,0.3200,-10.6425,-5.3522,6.2265,-19.2897,-8.5032,-3.8373,0.0089
25,EPS,- -,-1.50,-0.50,-2.50,-300.00,-431.25,-446.25,-390.00,-11.25,1.86,6.19,10.50,-162.50,-48.00,2.75,-0.25,-0.17,-0.12,0.00
26,EPS Diluted,- -,-1.50,-0.50,-2.50,-300.00,-431.25,-446.25,-390.00,-11.25,1.86,6.19,10.50,-162.50,-48.00,2.75,-0.25,-0.17,-0.12,0.00
27,Weighted Average Shares Outstanding,- -,20000,20000,20000,6528,11424,11848,12650,184079,185906,208611,299680,330628,336957,420122,8175639,14714533,40688019,40688019
28,Weighted Average Shares Outstanding Diluted,- -,20000,20000,20000,6528,11424,11848,12650,184079,185906,208611,299680,330628,336957,420122,8175639,14714533,40688019,40688019
