,https://roic.ai/company/KMDA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,13437194,15213593,14979712,36274341,55920914,72675000,70600000,71100000,69906000,77494000,102825000,114469000,127187000,133246000,103642000
2,COGS,10276493,15142761,15826863,30202453,40200736,49982000,44200000,56000000,54108000,56134000,70737000,72997000,77450000,85694000,73314000
3,Gross Profit,3160701,70832,-847151,6071889,15720179,22693000,26400000,15100000,15798000,21360000,32088000,41472000,49737000,47552000,30328000
4,Gross Profit Ratio,0.2352,0.0047,-0.0566,0.1674,0.2811,0.3123,0.3739,0.2124,0.2260,0.2756,0.3121,0.3623,0.3911,0.3569,0.2926
5,Research and Development Exp.,- -,12373169,- -,9762147,11027063,11821000,12700000,16000000,16530000,16245000,11973000,9747000,12396000,13609000,11357000
6,General and Administrative Exp.,16629796,4108003,13834250,4779608,4818707,4408000,9500000,7102000,6516000,6641000,7624000,7839000,9217000,9360000,11761000
7,Selling and Marketing Exp.,196587,631675,236801,2264381,2191802,1853000,- -,2898000,3652000,3243000,4398000,3630000,3630000,4518000,6278000
8,"Selling, General and Administrative Exp.",16826383,4739678,14071051,7043988,7010510,6261000,9500000,10000000,10168000,9884000,12022000,11469000,12847000,13878000,18039000
9,Other Expenses,1103276,0,749210,- -,- -,373000,24000,574000,524000,1001000,649000,997000,1710000,828000,1628000
10,Operating Expenses,17929659,17112848,14820261,16806135,18037572,18455000,22224000,26574000,27222000,27130000,24644000,22213000,26953000,28315000,31024000
11,COGS and Expenses,28206152,32255609,30647124,47008588,58238308,68437000,66900000,82500000,81330000,82975000,95381000,95210000,104403000,114009000,104338000
12,Interest Income ,216817,- -,116421,- -,2615344,578000,289000,1611000,463000,469000,500000,820000,1146000,1027000,295000
13,Interest Expense (Gain),442711,- -,4039345,- -,3790857,3355000,-3200000,-1600000,357000,470000,-274000,1082000,202000,266000,1277000
14,Depreciation and Amortization,2126931,2368650,2474927,2777629,2858119,3044000,3001000,2788000,3227000,3501000,3523000,3703000,4519000,4897000,5609000
15,EBITDA,-20326055,-10077730,-15519840,-12395469,3156069,7182000,201000,-11912000,-7686000,-1040000,10419000,25126000,27702000,23728000,5001000
16,EBITDA ratio,-1.5127,-0.6624,-1.0361,-0.3417,0.0564,0.0988,0.0028,-0.1675,-0.1099,-0.0134,0.1013,0.2195,0.2178,0.1781,0.0483
17,Operating Income,-16315204,-17042016,-16374119,-10734247,-2317394,4238000,3700000,-11479000,-11424000,-5481000,7444000,19259000,22784000,19237000,-696000
18,Operating Income ratio,-1.2142,-1.1202,-1.0931,-0.2959,-0.0414,0.0583,0.0524,-0.1614,-0.1634,-0.0707,0.0724,0.1682,0.1791,0.1444,-0.0067
19,Total Other Income Expenses (Gains),-6580493,4595635,-5659994,-4438851,-1175512,-3455000,-3200000,-1721000,154000,470000,-274000,1082000,197000,-672000,-1189000
20,Income Before Tax,-22895697,-12446380,-22034113,-15173098,-3492906,783000,500000,-13200000,-11270000,-5011000,7170000,20341000,22981000,18565000,-1885000
21,Income Before Tax Ratio,-1.7039,-0.8181,-1.4709,-0.4183,-0.0625,0.0108,0.0071,-0.1857,-0.1612,-0.0647,0.0697,0.1777,0.1807,0.1393,-0.0182
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,523000,- -,100000,- -,1722000,269000,-1955000,730000,1425000,345000
23,Net Income,-22895697,-12446380,-22034113,-15173098,-3492906,260000,400000,-13200000,-11270000,-6733000,6901000,22296000,22251000,17140000,-2230000
24,Net Income ratio,-1.7039,-0.8181,-1.4709,-0.4183,-0.0625,0.0036,0.0057,-0.1857,-0.1612,-0.0869,0.0671,0.1948,0.1749,0.1286,-0.0215
25,EPS,-2.16,-0.94,-1.09,-0.57,-0.13,0.01,0.01,-0.35,-0.31,-0.18,0.18,0.55,0.55,0.39,-0.05
26,EPS Diluted,-2.16,-1.39,-1.09,-0.57,-0.13,0.01,0.01,-0.35,-0.31,-0.18,0.18,0.55,0.55,0.38,-0.05
27,Weighted Average Shares Outstanding,10610697,13196359,21176072,26674717,27577113,28078996,32714631,35971335,36245813,36418833,37970697,40538182,40456364,43948718,44600000
28,Weighted Average Shares Outstanding Diluted,10610697,13196359,21176072,26674717,27577113,28686636,33674337,35971335,36245813,36427373,38045097,40538182,40456364,45105263,44600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1567529/000117891315001343/zk1516595.htm,https://www.sec.gov/Archives/edgar/data/1567529/000117891316004529/0001178913-16-004529-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891317000668/0001178913-17-000668-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891318000767/0001178913-18-000767-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891319000698/0001178913-19-000698-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000121390020004782/0001213900-20-004782-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13275487,30380756,25719069,24470573,16866000,59100000,14600000,5047000,9968000,12681000,18093000,42662000,70197000,18587000
