,https://roic.ai/company/MFON,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,919216,2524265,4079745,4093667,4000202,4618988,8432616,8591955,11556536,10056922,13255887,8174884
2,COGS,- -,- -,- -,417870,986854,1300325,1122037,1066917,1192491,2096392,2792738,3932334,5938298,4748444,5009443
3,Gross Profit,- -,- -,- -,501346,1537411,2779420,2971630,2933285,3426497,6336224,5799217,7624202,4118624,8507443,3165441
4,Gross Profit Ratio,- -,- -,- -,0.5454,0.6091,0.6813,0.7259,0.7333,0.7418,0.7514,0.6750,0.6597,0.4095,0.6418,0.3872
5,Research and Development Exp.,- -,- -,- -,405819,347884,562459,824653,1346198,728741,1712750,4201647,3713787,3609968,3535742,3583773
6,General and Administrative Exp.,- -,515,30727,1163479,3625799,2984531,3416850,4270844,4555895,4385763,3357166,4197539,5588329,3917935,3584721
7,Selling and Marketing Exp.,- -,- -,- -,225783,583284,1562520,3469383,3895033,4024971,5038041,3631727,3931469,2707356,2325709,4002565
8,"Selling, General and Administrative Exp.",- -,515,30727,1389262,4209083,4547051,6886233,8165877,8580866,9423804,6988893,8129008,8295685,6243644,7587286
9,Other Expenses,- -,- -,- -,- -,751072,549151,270579,416436,361840,709456,386304,486255,600066,674942,1574840
10,Operating Expenses,- -,- -,- -,1795081,5308039,5658661,7981465,9928511,9671447,11846010,11576844,12329050,12505719,10454328,12745899
11,COGS and Expenses,- -,515,30727,2212951,6294893,6958986,9103502,10995428,10863938,13942402,14369582,16261384,18444017,15202772,17755342
12,Interest Income ,- -,- -,- -,- -,176,2833,747,2131,1540,2780,4637,4145,28160,1221,5
13,Interest Expense (Gain),- -,- -,- -,120388,544215,4559564,6348186,- -,847,77361,169044,210422,236706,286896,267966
14,Depreciation and Amortization,- -,- -,- -,6348,751072,549151,270579,416435,361840,709456,386304,425247,600066,696574,707
15,EBITDA,- -,-515,-30727,-1102847,-15014482,-2230212,-10140266,-10024329,-5770359,-8727644,-5390664,-6579980,-7985202,-1934927,-7991111
16,EBITDA ratio,- -,-Infinity,-Infinity,-1.1998,-5.9481,-0.5467,-2.4771,-2.5060,-1.2493,-1.0350,-0.6274,-0.5694,-0.7940,-0.1460,-0.9775
17,Operating Income,- -,-515,-30727,-1293735,-15530932,-3767083,-6720073,-12035355,-6244950,-5509786,-5777627,-6992905,-8387095,-1955771,-8873385
18,Operating Income ratio,- -,-Infinity,-Infinity,-1.4074,-6.1527,-0.9234,-1.6416,-3.0087,-1.3520,-0.6534,-0.6724,-0.6051,-0.8340,-0.1475,-1.0854
19,Total Other Income Expenses (Gains),- -,- -,- -,64152,-778837,-3571844,-10038958,1594591,111904,-4004675,-168385,-222744,-434879,-962626,613601
20,Income Before Tax,- -,-515,- -,-1229583,-16309769,-7338927,-16759031,-10440764,-6133046,-9514461,-5946012,-7215649,-8821974,-2918397,-8259784
21,Income Before Tax Ratio,- -,-Infinity,- -,-1.3376,-6.4612,-1.7989,-4.0939,-2.6101,-1.3278,-1.1283,-0.6920,-0.6244,-0.8772,-0.2202,-1.0104
22,Income Tax expense (Gain),- -,- -,- -,- -,3220,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
