,https://roic.ai/company/AVDL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4900000,8100000,9522000,11040000,10902000,13087000,18406000,25167000,55410000,23598000,23020000,36654000,38619000,42118000,37094000,32600000,26101000,22443000,14775000,173209000,150246000,173245000,103269000,59215000,22334000,- -
2,COGS,400000,3100000,3533000,2087000,1750000,2166000,2373000,3676000,3602000,2525000,6250000,17320000,9621000,10118000,6914000,6284000,5860000,4349000,3383000,10921000,13248000,16301000,17516000,12125000,5742000,- -
3,Gross Profit,4500000,5000000,5989000,8953000,9152000,10921000,16033000,21491000,51808000,21073000,16770000,19334000,28998000,32000000,30180000,26316000,20241000,18094000,11392000,162288000,136998000,156944000,85753000,47090000,16592000,- -
4,Gross Profit Ratio,0.9184,0.6173,0.6290,0.8110,0.8395,0.8345,0.8711,0.8539,0.9350,0.8930,0.7285,0.5275,0.7509,0.7598,0.8136,0.8072,0.7755,0.8062,0.7710,0.9369,0.9118,0.9059,0.8304,0.7952,0.7429,- -
5,Research and Development Exp.,- -,10100000,10608000,11054000,9789000,10662000,12239000,20223000,35359000,47301000,38233000,43557000,36247000,30416000,28687000,25089000,26115000,26686000,17298000,25608000,34611000,33418000,39329000,32917000,20442000,17104000
6,General and Administrative Exp.,12600000,3200000,3631000,3692000,3455000,3414000,4017000,5967000,7614000,14541000,17375000,16626000,12911000,13337000,11333000,10810000,14153000,13307000,15698000,21712000,44179000,58860000,100359000,30183000,32405000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12600000,3200000,3631000,3692000,3455000,3414000,4017000,5967000,7614000,14541000,17375000,16626000,12911000,13337000,11333000,10810000,14153000,13307000,15698000,21712000,44179000,58860000,100359000,30183000,32405000,68495000
9,Other Expenses,900000,700000,1041000,1207000,12015000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11749000,12564000,13888000,3659000,6619000,816000,406000,- -
10,Operating Expenses,13500000,14000000,15280000,15953000,25259000,14076000,16256000,26190000,42973000,61842000,55608000,60183000,49158000,43753000,40020000,35899000,40268000,39993000,44745000,59884000,92678000,95937000,146307000,63916000,53253000,85599000
11,COGS and Expenses,13900000,17100000,18813000,18040000,27009000,16242000,18629000,29866000,46575000,64367000,61858000,77503000,58779000,53871000,46934000,42183000,46128000,44342000,48128000,70805000,105926000,112238000,163823000,76041000,58995000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1432000,525000,464000,667000,629000,254000,963000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,- -,95000,- -,51000,52000,49000,29000,45000,68000,35000,16000,18000,100000,24000,73000,118000,4600000,9272000,6298000,963000,1052000,10622000,12483000,12994000,-9942000
14,Depreciation and Amortization,900000,700000,1041000,1207000,1113000,1270000,1460000,1712000,2530000,4743000,5639000,6198000,7249000,5917000,4696000,3346000,3183000,3062000,14141000,13132000,14489000,4883000,7430000,2486000,1690000,815000
15,EBITDA,-7400000,-7500000,-7923000,-5471000,-8247000,-1538000,3961000,-2256000,11873000,-26852000,-31645000,-33217000,-11295000,-5422000,-4046000,-5163000,-4629000,-46433000,-62900000,97824000,5734000,98595000,-95145000,-23613000,9602000,-85546000
16,EBITDA ratio,-1.5102,-0.9259,-0.8321,-0.4956,-0.7565,-0.1175,0.2152,-0.0896,0.2143,-1.1379,-1.3747,-0.9062,-0.2925,-0.1287,-0.1091,-0.1584,-0.1773,-2.0689,-4.2572,0.5648,0.0382,0.5691,-0.9213,-0.3988,0.4299,-Infinity
17,Operating Income,-9000000,-9000000,-9291000,-7000000,-16107000,-3155000,-223000,-4699000,8835000,-40769000,-38838000,-40849000,-20160000,-11753000,-9840000,-9583000,-8363000,-50034000,-93857000,71447000,-4965000,89505000,-104926000,-24112000,5815000,-85546000
18,Operating Income ratio,-1.8367,-1.1111,-0.9757,-0.6341,-1.4774,-0.2411,-0.0121,-0.1867,0.1594,-1.7276,-1.6871,-1.1144,-0.5220,-0.2790,-0.2653,-0.2940,-0.3204,-2.2294,-6.3524,0.4125,-0.0330,0.5166,-1.0160,-0.4072,0.2604,-Infinity
19,Total Other Income Expenses (Gains),600000,800000,232000,322000,11273000,295000,2675000,702000,463000,9106000,1519000,1418000,1598000,314000,1074000,1001000,433000,-4061000,3526000,6947000,-4753000,3155000,-8271000,-14470000,-10897000,-7599000
20,Income Before Tax,-8400000,-8200000,-9059000,-6678000,-4834000,-2860000,2452000,-3997000,9298000,-31663000,-37319000,-39431000,-18562000,-11439000,-8766000,-8582000,-7930000,-54095000,-90331000,78394000,-9718000,92660000,-113197000,-38582000,-5082000,-93145000
21,Income Before Tax Ratio,-1.7143,-1.0123,-0.9514,-0.6049,-0.4434,-0.2185,0.1332,-0.1588,0.1678,-1.3418,-1.6212,-1.0758,-0.4806,-0.2716,-0.2363,-0.2633,-0.3038,-2.4103,-6.1138,0.4526,-0.0647,0.5348,-1.0961,-0.6516,-0.2275,-Infinity
22,Income Tax expense (Gain),-1500000,-1400000,-1247000,16000,50000,14000,-553000,-503000,-3201000,-4286000,-2118000,-1694000,-6478000,- -,209000,192000,-4702000,-11170000,-1407000,37735000,31558000,24389000,-17893000,-5356000,-12110000,-15816000
23,Net Income,-6900000,-6800000,-7812000,-6694000,-9461000,-2874000,3005000,-3494000,12499000,-27377000,-35201000,-37737000,-12084000,-11439000,-8975000,-8774000,-3228000,-42925000,-84906000,40659000,-41276000,68271000,-95304000,-33226000,7028000,-77329000
24,Net Income ratio,-1.4082,-0.8395,-0.8204,-0.6063,-0.8678,-0.2196,0.1633,-0.1388,0.2256,-1.1601,-1.5291,-1.0295,-0.3129,-0.2716,-0.2420,-0.2691,-0.1237,-1.9126,-5.7466,0.2347,-0.2747,0.3941,-0.9229,-0.5611,0.3147,-Infinity
25,EPS,-0.80,-0.65,-0.65,-0.52,-0.62,-0.18,0.19,-0.20,0.58,-1.19,-1.48,-1.57,-0.50,-0.47,-0.37,-0.36,-0.13,-1.69,-2.34,1.00,-1.00,1.66,-2.55,-0.89,0.13,-1.32
26,EPS Diluted,-0.80,-0.65,-0.65,-0.52,-0.62,-0.18,0.18,-0.20,0.53,-1.19,-1.48,-1.57,-0.50,-0.47,-0.37,-0.36,-0.13,-1.69,-2.34,0.93,-1.00,1.61,-2.55,-0.89,0.13,-1.32
27,Weighted Average Shares Outstanding,8625000,10461538,12046000,12939000,15331000,16198000,16198000,17762000,21514000,22999000,23812000,24024000,24082000,24225000,24411000,24669000,25086000,25449000,36214000,40580000,41248000,40465000,37325000,37403000,52996000,58535000
28,Weighted Average Shares Outstanding Diluted,8625000,10461538,12046000,12939000,15331000,16198000,16711000,17762000,23559000,22999000,23812000,24024000,24082000,24225000,24411000,24669000,25086000,25449000,36214000,43619000,41248000,41765000,37325000,37403000,54941000,58535000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1012477/000114420416097865/0001144204-16-097865-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247717000021/0001012477-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247718000008/0001012477-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247719000002/0001012477-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247720000007/0001012477-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247721000004/0001012477-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000110465922034756/0001104659-22-034756-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15500000,3800000,7277000,5210000,10137000,5309000,14527000,109617000,4591000,1018000,51827000,26313000,27021000,8716000,8184000,3456000,2742000,6636000,39760000,65064000,39215000,16564000,9325000,9774000,71722000,50708000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,100783000,82756000,10944000,14749000,10057000,35352000,23160000,21035000,6413000,401000,53074000,79738000,114980000,77511000,90590000,54384000,149680000,- -
33,Cash and Short-Term Investments,15500000,3800000,7277000,5210000,10137000,5309000,14527000,109617000,105374000,83774000,62771000,41062000,37078000,44068000,31344000,24491000,9155000,7037000,92834000,144802000,154195000,94075000,99915000,64158000,221402000,50708000
34,Net Receivables,1000000,3300000,3195000,1611000,2641000,7596000,3462000,8367000,8203000,2583000,8988000,12139000,18093000,18075000,9784000,7844000,13109000,21032000,8688000,13985000,19026000,16509000,13912000,11975000,38782000,- -
35,Inventory,200000,100000,804000,186000,860000,569000,375000,1057000,1597000,1050000,3332000,1771000,1837000,1072000,862000,1675000,1520000,3762000,6729000,4155000,3258000,6157000,4770000,3570000,- -,- -
36,Other Current Assets,1100000,7400000,5160000,745000,423000,325000,347000,1694000,5598000,4581000,1688000,1138000,2181000,3626000,3372000,2642000,1301000,1792000,4071000,3364000,4707000,7234000,6254000,2677000,3270000,141782000
37,Total Current Assets,17800000,14600000,16436000,7752000,14061000,13799000,18711000,120735000,120772000,91988000,76779000,56110000,59189000,66841000,45362000,36652000,25085000,33623000,112322000,166306000,181186000,123975000,124851000,82380000,263454000,192490000
38,PP&E,1700000,4100000,4618000,3502000,2922000,2672000,3405000,5085000,18162000,22317000,25705000,35140000,27601000,24759000,21425000,19383000,18238000,17435000,1777000,2616000,3320000,3001000,7805000,10584000,8164000,2937000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18491000,18491000,18491000,18491000,18491000,18491000,18491000,18491000,16836000,16836000
40,Intangible Assets,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41589000,40139000,28390000,15825000,22837000,92289000,1629000,813000,- -,- -
41,Intangible Assets,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60080000,58630000,46881000,34316000,41328000,110780000,20120000,19304000,16836000,16836000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000,- -,- -,- -,- -,- -,- -,- -,- -,- -,106513000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13102000,11581000,17774000,3877000,23029000,29427000,18256000,- -
44,Other Non-Current Assets,10200000,2700000,4264000,3666000,3377000,1673000,960000,1432000,6674000,10046000,12410000,10151000,5071000,2696000,7827000,13203000,13908000,6564000,125000,158000,1874000,11644000,14495000,9741000,4927000,-71511000
45,Total Non-Current Assets,12100000,6900000,8882000,7168000,6299000,4345000,4365000,6517000,24836000,32363000,38115000,45291000,32672000,27455000,29252000,32750000,92226000,82629000,61885000,48671000,64296000,129302000,65449000,69056000,48183000,54775000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29900000,21500000,25318000,14920000,20360000,18144000,23076000,127252000,145608000,124351000,114894000,101401000,91861000,94296000,74614000,69402000,117311000,116252000,174207000,214977000,245482000,253277000,190300000,151436000,311637000,247265000
48,Accounts Payable,3100000,2500000,2598000,1519000,1540000,1205000,1322000,4397000,9660000,11497000,9702000,8568000,5760000,6366000,4941000,3920000,3596000,5099000,8024000,10565000,7105000,7477000,3503000,6100000,2934000,7679000
49,Short-Term Debt,400000,400000,397000,538000,643000,781000,922000,257000,552000,828000,420000,980000,753000,895000,2376000,2123000,3428000,19279000,42345000,434000,268000,111000,106000,645000,474000,900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201000,1000,7643000,323000,1200000,414000,73000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1563000,1072000,1805000,9623000,2528000,182000,562000,2948000,798000,3862000,2528000,4798000,1189000,1380000,1336000,5121000,2223000,2007000,114000,- -,- -,- -
52,Other Current Liabilities,1300000,1200000,1358000,1438000,2367000,3403000,2460000,3591000,10586000,12389000,10630000,12459000,12944000,11773000,9576000,7473000,6146000,14837000,19137000,32668000,52825000,76944000,34660000,29239000,11701000,12421000
53,Total Current Liabilities,4800000,4100000,4353000,3495000,6113000,6461000,6509000,17868000,23326000,24896000,21314000,24955000,20255000,22896000,19421000,18314000,14359000,40595000,70842000,48788000,62421000,86539000,38383000,35984000,15109000,21000000
54,Long-Term Debt,1700000,3000000,2922000,2100000,1266000,779000,1391000,1675000,1589000,2333000,2795000,2400000,2269000,2944000,1547000,1689000,33278000,66320000,76135000,684000,547000,156000,115734000,121686000,128210000,144104000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201000,6033000,3247000,1531000,181000,- -,- -,- -,905000,1636000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26791000,8919000,- -,1351000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,300000,100000,258000,258000,2099000,3395000,2890000,15648000,3936000,10468000,17759000,19419000,20590000,17560000,14094000,18074000,12198000,9930000,2335000,96289000,139540000,79366000,33403000,22965000,6052000,3917000
58,Total Non-Current Liabilities,2000000,3100000,3180000,2358000,3365000,4174000,4281000,17323000,5525000,12801000,20554000,21819000,23060000,26537000,18888000,21294000,72448000,85169000,78470000,98324000,140992000,81158000,149137000,144651000,134262000,148021000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,149000,261000,789000,630000,272000,44000,165000,99000,192000,348000,256000,188000,13000,- -,- -,- -,- -,2964000,2314000,- -
61,Total Liabilities,6800000,7200000,7533000,5853000,9478000,10635000,10790000,35191000,28851000,37697000,41868000,46774000,43315000,49433000,38309000,39608000,86807000,125764000,149312000,147112000,203413000,167697000,187520000,180635000,149371000,169021000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -
63,Common Stock,- -,- -,1984000,1984000,2366000,2366000,2366000,3081000,3135000,3436000,3480000,3490000,3516000,3540000,3589000,3641000,3714000,3746000,6188000,6331000,414000,414000,427000,429000,583000,- -
64,Retained Earnings,-25700000,-32500000,-40357000,-47051000,-56512000,-59386000,-56381000,-59875000,-47806000,-75183000,-110384000,-148121000,-160205000,-171644000,-180619000,-189393000,-192621000,-235546000,-320452000,-279793000,-319800000,-262685000,-357989000,-391215000,-384187000,-447756000
65,Other Comprehensive Income/Loss,-5700000,-5500000,-6807000,-6962000,-7514000,- -,-4877000,1176000,13039000,-2719000,6451000,14085000,12150000,14469000,10873000,10057000,10253000,10815000,-7423000,-22657000,-23565000,-23266000,-23416000,-22806000,-21051000,-23940000
66,Other Total Stockholders Equity,54500000,52300000,62965000,61096000,72542000,64529000,71178000,147679000,148389000,161120000,173479000,185173000,193085000,198498000,202462000,205489000,209158000,211473000,346582000,363984000,385020000,371117000,383758000,384393000,566916000,549940000
67,Total Stockholders Equity,23100000,14300000,17785000,9067000,10882000,7509000,12286000,92061000,116757000,86654000,73026000,54627000,48546000,44863000,36305000,29794000,30504000,-9512000,24895000,67865000,42069000,85580000,2780000,-29199000,162266000,78244000
68,Total Liabilities And Stockholders Equity,29900000,21500000,25318000,14920000,20360000,18144000,23076000,127252000,145608000,124351000,114894000,101401000,91861000,94296000,74614000,69402000,117311000,116252000,174207000,214977000,245482000,253277000,190300000,151436000,311637000,247265000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29900000,21500000,25318000,14920000,20360000,18144000,23076000,127252000,145608000,124351000,114894000,101401000,91861000,94296000,74614000,69402000,117311000,116252000,174207000,214977000,245482000,253277000,190300000,151436000,311637000,247265000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1012477/000114420416097865/0001144204-16-097865-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247717000021/0001012477-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247718000008/0001012477-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247719000002/0001012477-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247720000007/0001012477-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247721000004/0001012477-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000110465922034756/0001104659-22-034756-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6900000,-6800000,-7812000,-6694000,-9461000,-2874000,3005000,-3494000,12499000,-27377000,-35201000,-37737000,-12084000,-11439000,-8975000,-8774000,-3228000,-42925000,-84906000,40659000,-41276000,68271000,-95304000,-33226000,7028000,-77329000
74,Depreciation and Amortization,900000,700000,1041000,1207000,1113000,1270000,1460000,1712000,2530000,4743000,5639000,6198000,7249000,5917000,4696000,3346000,3183000,3062000,14141000,13132000,14489000,4883000,7430000,2486000,1690000,815000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4758000,-11320000,-2806000,1420000,-4000000,3556000,- -,- -,-7431000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8286000,5499000,3170000,2779000,3040000,2029000,2690000,7741000,14679000,8072000,7852000,519000,2999000,8872000
77,Change in Working Capital,- -,-2500000,1583000,-7826000,3691000,-610000,4864000,90665000,-5421000,-30354000,-11627000,-24310000,7779000,5011000,-18004000,-7603000,-7612000,-17698000,48452000,76038000,1247000,-81329000,49032000,-40072000,201949000,-76855000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2392000,-1257000,733000,-464000,2610000,-512000,3426000,-8108000,-10050000,3054000,3452000,2471000,8281000,- -
79,Inventory,-100000,100000,-653000,536000,-682000,251000,271000,-569000,-419000,351000,-2059000,1818000,-171000,909000,152000,-917000,176000,-2186000,-3112000,2547000,1831000,-2899000,711000,1155000,-1352000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-258000,32000,-450000,-825000,-613000,1318000,1092000,-3887000,-434000,595000,-2032000,4641000,-2788000,4232000
81,Other Working Capital,13000000,10500000,12083000,4257000,7948000,7338000,12202000,102867000,97446000,67092000,55465000,31155000,38934000,43945000,25941000,18338000,10726000,-6972000,41480000,117518000,118765000,37436000,86468000,46396000,248345000,171490000
82,Other Non-Cash Items,1800000,-300000,-3000000,9074000,-965000,-570000,-558000,-76656000,-13758000,33599000,11363000,36608000,-18738000,3207000,13656000,-71000,-13764000,46176000,11811000,-54697000,33762000,13209000,-51726000,31968000,-254969000,67187000
83,Cash Provided by Operating Activities,-4200000,-8900000,-8188000,-4239000,-5622000,-2784000,8771000,12227000,-4150000,-19389000,-29826000,-19241000,-7508000,8195000,-5457000,-10323000,-23139000,-20676000,-10618000,84293000,18901000,16662000,-82716000,-38325000,-48734000,-77310000
84,CAPEX,-1500000,-1600000,-1131000,-673000,-737000,-1178000,-1435000,-2841000,-13837000,-11326000,-6394000,-11272000,-3523000,-1770000,-3599000,-1903000,-1069000,-1029000,-1728000,-1629000,-1201000,-53702000,-20178000,-29000,-98000,-26000
