,https://roic.ai/company/BMBL,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,360105000,488940000,542192000,765660000
2,COGS,110259000,139767000,146629000,209921000
3,Gross Profit,249846000,349173000,395563000,555739000
4,Gross Profit Ratio,0.6938,0.7141,0.7296,0.7258
5,Research and Development Exp.,37517000,39205000,46994000,105917000
6,General and Administrative Exp.,128981000,67079000,26027000,265738000
7,Selling and Marketing Exp.,93605000,142902000,152588000,211711000
8,"Selling, General and Administrative Exp.",222586000,209981000,178615000,477449000
9,Other Expenses,115897000,146814000,390984000,316977000
10,Operating Expenses,376000000,396000000,616593000,900343000
11,COGS and Expenses,376319000,395687000,616593000,900343000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,22134000,-25609000
14,Depreciation and Amortization,5957000,6734000,91767000,26174000
15,EBITDA,-12531000,79018000,17366000,-148561000
16,EBITDA ratio,-0.0348,0.1616,0.0320,-0.1940
17,Operating Income,-16214000,93253000,- -,-134683000
18,Operating Income ratio,-0.0450,0.1907,- -,-0.1759
19,Total Other Income Expenses (Gains),-4424000,-1271000,66275000,-14443000
20,Income Before Tax,-20638000,91982000,-8126000,-149126000
21,Income Before Tax Ratio,-0.0573,0.1881,-0.0150,-0.1948
22,Income Tax expense (Gain),3031000,6138000,-8126000,436071000
23,Net Income,-21519000,66146000,- -,-585197000
24,Net Income ratio,-0.0598,0.1353,- -,-0.7643
25,EPS,-0.19,0.60,- -,1.52
26,EPS Diluted,-0.19,0.60,- -,1.48
27,Weighted Average Shares Outstanding,111678499,109446687,109446687,121425908
28,Weighted Average Shares Outstanding Diluted,111678499,109446687,109446687,192675476
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1830043/000156459021013176/0001564590-21-013176-index.htm,https://www.sec.gov/Archives/edgar/data/1830043/000095017022003960/0000950170-22-003960-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,33289000,57449000,128029000,369175000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,33289000,57449000,128029000,369175000
34,Net Receivables,51141000,104321000,107981000,47538000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,12457000,8062000,15001000,52751000
37,Total Current Assets,96887000,169832000,251011000,469464000
38,PP&E,11903000,30324000,28544000,41037000
39,Goodwill,- -,- -,1540915000,1540112000
40,Intangible Assets,383000,1241000,1812410000,1696798000
41,Intangible Assets,383000,1241000,3353325000,3236910000
42,Investments,- -,- -,- -,- -
43,Tax Assets,7269000,7055000,- -,19090000
44,Other Non-Current Assets,287000,1846000,4388000,9319000
45,Total Non-Current Assets,19842000,40466000,3386257000,3306356000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,116729000,210298000,3637268000,3775820000
48,Accounts Payable,8318000,8066000,23741000,19169000
49,Short-Term Debt,- -,6224000,10271000,2588000
50,Tax Payable,21413000,25543000,71324000,388780000
51,Deferred Revenue,23389000,24749000,31269000,39924000
52,Other Current Liabilities,46093000,82425000,176053000,111482000
53,Total Current Liabilities,77800000,121464000,241334000,173163000
54,Long-Term Debt,- -,- -,826707000,620351000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,428087000,- -
57,Other Non-Current Liabilities,74148000,59152000,56359000,508026000
58,Total Non-Current Liabilities,74148000,59152000,1311153000,1128377000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,16021000,10764000,- -
61,Total Liabilities,151948000,180616000,1552487000,1301540000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,11000,11000,1903121000,1292000
64,Retained Earnings,-24794000,23352000,- -,-52856000
65,Other Comprehensive Income/Loss,492000,644000,180852000,80629000
66,Other Total Stockholders Equity,-2603000,-339000,- -,2445215000
67,Total Stockholders Equity,-26894000,23668000,2083973000,2474280000
68,Total Liabilities And Stockholders Equity,125054000,204284000,3636460000,3775820000
69,Minority Interest,-8325000,6014000,808000,- -
70,Total Liabilities & Equity,116729000,210298000,3637268000,3775820000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1830043/000156459021013176/0001564590-21-013176-index.htm,https://www.sec.gov/Archives/edgar/data/1830043/000095017022003960/0000950170-22-003960-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-21519000,66146000,- -,-585197000
74,Depreciation and Amortization,5957000,6734000,91767000,26174000
75,Deferred Income Tax,-3357000,-2173000,-789000,-4818000
76,Stock Based Compensation,255000,2160000,27468000,24408000
77,Change in Working Capital,91898000,29281000,-38691000,286624000
78,Accounts Receivable,68000,-5971000,10737000,-4999000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1131000,-252000,2970000,9594000
81,Other Working Capital,19087000,48368000,9677000,296301000
82,Other Non-Cash Items,-1468000,-756000,-23494000,346724000
83,Cash Provided by Operating Activities,71766000,101392000,56261000,93915000
84,CAPEX,-8047000,-9674000,-10632000,-4265000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-347000,-1722000,-2861283000,-3127000
89,Cash Used for Investing Activites,-8394000,-11396000,-2850651000,-3127000
90,Debt Repayment,- -,-41965000,- -,- -
91,Common Stock Issued,- -,104000,- -,2358371000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-37225000,-23359000,-360000000,- -
94,Other Financing Activites,- -,24000,3226236000,-2369147000
95,Cash Used/Provided by Financing Activities,-37225000,-65196000,2866236000,-10776000
96,Effect of Forex Changes on Cash,-351000,-640000,2513000,-2412000
97,Net Change In Cash,25796000,24160000,70837000,311726000
98,Cash at the End of Period,33289000,57449000,128286000,369175000
99,Cash at the Beginning of Period,7493000,33289000,57449000,57449000
100,Free Cash Flow,63719000,91718000,66893000,89650000
