,https://roic.ai/company/PRTC,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,8018000,8503000,2222000,11828000,4431000,2535000,20748000,9807000,11768000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,11828000,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,- -,- -,- -,- -
5,Research and Development Exp.,4228000,2832000,2836000,13408000,30357000,52716000,57293000,85848000,61186000
6,General and Administrative Exp.,3770000,3551000,7167000,18378000,17657000,23935000,24426000,34890000,26497000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3770000,3551000,7167000,18378000,17657000,23935000,24426000,34890000,26497000
9,Other Expenses,- -,- -,- -,23684000,- -,- -,- -,- -,- -
10,Operating Expenses,7998000,6383000,10003000,55470000,48014000,76651000,81719000,120738000,87683000
11,COGS and Expenses,14062000,11588000,19667000,55470000,78360000,117955000,124767000,145206000,131299000
12,Interest Income ,30000,36000,46000,262000,1193000,1750000,3358000,4362000,1183000
13,Interest Expense (Gain),609000,367000,2594000,835000,440000,704000,392000,2644000,2946000
14,Depreciation and Amortization,500000,453000,455000,740000,1570000,2099000,2778000,6665000,6645000
15,EBITDA,-9410000,-3209000,-38872000,-35894000,-48356000,33658000,-38263000,542862000,29977000
16,EBITDA ratio,-1.1736,-0.3774,-17.4941,-3.0347,-10.9131,13.2773,-1.8442,55.3545,2.5473
17,Operating Income,-9385000,-3731000,-17445000,-43642000,-73929000,-115420000,-104019000,-135399000,-119531000
18,Operating Income ratio,-1.1705,-0.4388,-7.8510,-3.6897,-16.6845,-45.5306,-5.0134,-13.8064,-10.1573
19,Total Other Income Expenses (Gains),-1394000,-1579000,-58776000,-12678000,-9253000,44709000,35581000,613873000,138500000
20,Income Before Tax,-10779000,-5310000,-76221000,-56320000,-83182000,-70711000,-68438000,478474000,18969000
21,Income Before Tax Ratio,-1.3444,-0.6245,-34.3029,-4.7616,-18.7727,-27.8939,-3.2985,48.7890,1.6119
22,Income Tax expense (Gain),535000,274000,-278000,1924000,-1574000,-14000,2221000,112409000,14401000
23,Net Income,-11054000,-4303000,-41643000,-39393000,-48792000,30869000,-43654000,421144000,5985000
24,Net Income ratio,-1.3786,-0.5061,-18.7412,-3.3305,-11.0115,12.1771,-2.1040,42.9432,0.5086
25,EPS,-0.49,-0.19,-1.83,-2.10,-2.10,1.30,-1.60,14.90,0.20
26,EPS Diluted,-0.49,-0.19,-1.83,-2.10,-2.10,1.30,-1.60,14.40,0.20
27,Weighted Average Shares Outstanding,22724801,22724801,22724801,18528124,22951187,23553239,27384827,28342647,28560367
28,Weighted Average Shares Outstanding Diluted,22724801,22724801,22724801,18528124,22951187,23892131,27384827,29178233,29285591
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,10855000,7171000,218960000,134751000,62062000,72649000,117051000,132360000,403881000
32,Short-Term Investments,1176000,1831000,1173000,179781000,218510000,116098000,133828000,30088000,- -
33,Cash and Short-Term Investments,12031000,9002000,220133000,314532000,280572000,188747000,250879000,162448000,403881000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,2327000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1509000,3135000,3586000,3670000,7581000,9362000,8907000,4070000,10467000
37,Total Current Assets,13540000,12137000,223719000,318202000,288153000,198109000,259786000,168845000,414348000
38,PP&E,1076000,1213000,1227000,4519000,6924000,6862000,8323000,43838000,42874000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
