,https://roic.ai/company/SGMO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,632000,1152000,2038000,2200000,3433000,4885000,4343000,2579000,1315000,2484000,7885000,9098000,16186000,22187000,20805000,10319000,21655000,24133000,45870000,39539000,19389000,36567000,84452000,102428000,118192000,110701000
2,COGS,- -,- -,- -,-700000,-5232000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,2900000,8665000,4885000,4343000,2579000,1315000,2484000,7885000,9098000,16186000,22187000,20805000,10319000,21655000,24133000,45870000,39539000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,1.3182,2.5240,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,628000,1700000,4259000,4300000,11347000,15514000,13363000,10187000,11046000,11419000,21527000,25559000,31229000,28984000,33154000,32098000,31709000,36979000,56744000,67198000,65618000,65728000,114866000,145922000,180647000,230819000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,4750000,- -,- -,- -,- -,- -,- -,- -,12605000,12586000,- -,12144000,13800000,15677000,19197000,26330000,27200000,46736000,61686000,67097000,63219000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,4750000,- -,- -,- -,- -,- -,- -,- -,12605000,12586000,- -,12144000,13800000,15677000,19197000,26330000,27200000,46736000,61686000,67097000,63219000
9,Other Expenses,- -,- -,- -,2500000,9801000,- -,22174000,4161000,4919000,4813000,7087000,8310000,10332000,- -,- -,14042000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,6800000,21148000,20264000,35537000,14348000,15965000,16232000,28614000,33869000,41561000,41589000,45740000,46140000,43853000,50779000,72421000,86395000,91948000,92928000,161602000,207608000,247744000,294038000
11,COGS and Expenses,950000,2497000,5496000,6100000,15916000,20264000,35537000,14348000,15965000,16232000,28614000,33869000,41561000,41589000,45740000,46140000,43853000,50779000,72421000,86395000,91948000,92928000,161602000,207608000,247744000,294038000
12,Interest Income ,- -,- -,- -,- -,3556000,3192000,1366000,752000,620000,850000,2411000,3217000,2231000,- -,81000,71000,- -,- -,- -,- -,- -,- -,8261000,- -,8775000,5346000
13,Interest Expense (Gain),- -,- -,- -,- -,139000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,700000,5232000,4310000,2513000,2171000,1480000,488000,-686000,-1871000,523000,572000,676000,646000,660000,569000,549000,988000,997000,1498000,2359000,9607000,13369000,17638000
15,EBITDA,-308000,-1400000,-3285000,-3100000,-3695000,-20939000,-27251000,-8262000,-12338000,-12805000,-18550000,-23351000,-23779000,-18015000,-24178000,-35104000,-21604000,-26055000,-25868000,-45437000,-70675000,-53070000,-65975000,-85579000,-107282000,-160342000
16,EBITDA ratio,-0.4873,-1.2153,-1.6119,-1.4091,-1.0763,-4.2864,-6.2747,-3.2036,-9.3825,-5.1550,-2.3526,-2.5666,-1.4691,-0.8120,-1.1621,-3.4019,-0.9976,-1.0796,-0.5639,-1.1492,-3.6451,-1.4513,-0.7812,-0.8355,-0.9077,-1.4484
17,Operating Income,-318000,-1345000,-3458000,-3900000,-12483000,-28441000,-31565000,-11769000,-14650000,-13748000,-20729000,-24771000,-25375000,-19402000,-24935000,-35821000,-22198000,-26706000,-26781000,-46856000,-72559000,-56361000,-77150000,-105180000,-129552000,-183337000
18,Operating Income ratio,-0.5032,-1.1675,-1.6968,-1.7727,-3.6362,-5.8221,-7.2680,-4.5634,-11.1407,-5.5346,-2.6289,-2.7227,-1.5677,-0.8745,-1.1985,-3.4714,-1.0251,-1.1066,-0.5838,-1.1851,-3.7423,-1.5413,-0.9135,-1.0269,-1.0961,-1.6561
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-13062000,-17946000,17000,212000,-696000,454000,74000,-1158000,268000,- -,- -,-66000,82000,364000,431000,887000,1793000,8261000,9761000,8775000,5346000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22264000,-26624000,-26417000,-46425000,-71672000,-54568000,-68889000,-95419000,-120777000,-177991000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.0281,-1.1032,-0.5759,-1.1742,-3.6965,-1.4923,-0.8157,-0.9316,-1.0219,-1.6079
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5722000,-14000,- -,- -,- -,345000,306000
23,Net Income,-308000,-1400000,-3285000,-3800000,-9066000,-25249000,-29764000,-10433000,-13818000,-13293000,-17864000,-21480000,-24302000,-18587000,-24854000,-35750000,-22264000,-26624000,-26417000,-40703000,-71658000,-54568000,-68334000,-95186000,-120996000,-178286000
24,Net Income ratio,-0.4873,-1.2153,-1.6119,-1.7273,-2.6408,-5.1687,-6.8533,-4.0454,-10.5080,-5.3514,-2.2656,-2.3610,-1.5014,-0.8377,-1.1946,-3.4645,-1.0281,-1.1032,-0.5759,-1.0294,-3.6958,-1.4923,-0.8091,-0.9293,-1.0237,-1.6105
25,EPS,-0.06,-0.26,-0.56,-1.38,-0.61,-1.09,-1.22,-0.42,-0.55,-0.51,-0.55,-0.58,-0.60,-0.44,-0.55,-0.71,-0.42,-0.48,-0.39,-0.58,-1.02,-0.70,-0.70,-0.85,-0.90,-1.23
26,EPS Diluted,-0.06,-0.26,-0.56,-1.38,-0.61,-1.09,-1.22,-0.42,-0.55,-0.51,-0.55,-0.58,-0.60,-0.44,-0.55,-0.71,-0.42,-0.48,-0.39,-0.58,-1.02,-0.70,-0.70,-0.85,-0.90,-1.23
27,Weighted Average Shares Outstanding,5143000,5485000,5843000,6014493,17383000,23120000,24493000,24811000,25126000,25855000,32502000,37355000,40825000,42048000,45167000,50512000,52741000,55974000,67022000,69757000,70553000,78084000,96941000,112114000,134449000,144568000
28,Weighted Average Shares Outstanding Diluted,5143000,5485000,5843000,6014493,17383000,23120000,24493000,24811000,25126000,25855000,32502000,37355000,40825000,42048000,45167000,50512000,52741000,55974000,67022000,69757000,70553000,78084000,96941000,112114000,134449000,144568000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001233/000091205702012726/0000912057-02-012726-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000104746903010531/0001047469-03-010531-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000104746904005491/0001047469-04-005491-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000095014905000054/0000950149-05-000054-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000095014906000120/0000950149-06-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000095013407004598/0000950134-07-004598-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312508044052/0001193125-08-044052-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312509043753/0001193125-09-043753-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312510049073/0001193125-10-049073-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312511038131/0001193125-11-038131-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312512073470/0001193125-12-073470-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312513076887/0001193125-13-076887-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312514065170/0001193125-14-065170-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000156459015000950/sgmo-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1001233/000156459016012882/0001564590-16-012882-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459017002900/0001564590-17-002900-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459018004163/0001564590-18-004163-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459019005808/0001564590-19-005808-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000162828020002582/0001628280-20-002582-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000162828021003069/0001628280-21-003069-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000162828022003819/0001628280-22-003819-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,300000,10151000,7644000,17639000,9803000,8626000,18507000,12702000,12275000,19409000,21159000,10784000,16766000,21679000,10186000,6030000,69482000,22061000,49826000,140418000,80428000,131329000,178872000
32,Short-Term Investments,- -,- -,- -,7300000,53359000,53950000,34504000,34052000,24634000,28449000,41218000,68813000,45422000,63781000,49501000,67366000,41868000,82627000,172932000,139518000,120474000,193482000,259715000,282046000,510094000,197676000
33,Cash and Short-Term Investments,- -,- -,- -,7600000,63510000,61594000,52143000,43855000,33260000,46956000,53920000,81088000,64831000,84940000,60285000,84132000,63547000,92813000,178962000,209000000,142535000,243308000,400133000,362474000,641423000,376548000
34,Net Receivables,- -,- -,- -,600000,2677000,1729000,1530000,1146000,829000,1189000,542000,533000,694000,410000,703000,1250000,4319000,3493000,10791000,2828000,5196000,3583000,5048000,37591000,6259000,6362000
