,https://roic.ai/company/VCYT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,2645000,11628000,21884000,38190000,49503000,65085000,71953000,92008000,120368000,117483000,219514000
2,COGS,2925000,7584000,12607000,16606000,21497000,25462000,28195000,33078000,36523000,41455000,74400000
3,Gross Profit,-280000,4044000,9277000,21584000,28006000,39623000,43758000,58930000,83845000,76028000,145114000
4,Gross Profit Ratio,-0.1059,0.3478,0.4239,0.5652,0.5657,0.6088,0.6081,0.6405,0.6966,0.6471,0.6611
5,Research and Development Exp.,6680000,6608000,7810000,4480000,5704000,7156000,4527000,14820000,14851000,17204000,29843000
6,General and Administrative Exp.,5372000,7918000,12100000,24178000,29675000,31955000,30333000,22310000,27621000,35196000,101353000
7,Selling and Marketing Exp.,2934000,8447000,12540000,21932000,25293000,28248000,32260000,41313000,53691000,52389000,79840000
8,"Selling, General and Administrative Exp.",8306000,16365000,24640000,46110000,54968000,60203000,62593000,63623000,81312000,87585000,181193000
9,Other Expenses,- -,- -,- -,- -,800000,1067000,3176000,2720000,2809000,48083000,15981000
10,Operating Expenses,14986000,22973000,32450000,50590000,61472000,68426000,70296000,81163000,98972000,152872000,227017000
11,COGS and Expenses,17911000,30557000,45057000,67196000,82969000,93888000,98491000,114241000,135495000,194327000,301417000
12,Interest Income ,2000,2000,5000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,233000,439000,378000,2757000,3405000,1963000,677000,229000,- -
14,Depreciation and Amortization,611000,706000,999000,1175000,2254000,3511000,3841000,3920000,4117000,7944000,19593000
15,EBITDA,-13834000,-17943000,-24348000,-27759000,-31072000,-25090000,-23757000,-17116000,-7805000,-27445000,-62056000
16,EBITDA ratio,-5.2302,-1.5431,-1.1126,-0.7269,-0.6277,-0.3855,-0.3302,-0.1860,-0.0648,-0.2336,-0.2827
17,Operating Income,-15266000,-18929000,-23173000,-29006000,-33466000,-28803000,-26538000,-22233000,-15127000,-35389000,-81903000
18,Operating Income ratio,-5.7716,-1.6279,-1.0589,-0.7595,-0.6760,-0.4425,-0.3688,-0.2416,-0.1257,-0.3012,-0.3731
19,Total Other Income Expenses (Gains),821000,280000,-2407000,-367000,-238000,-2555000,-4465000,-766000,2528000,709000,254000
20,Income Before Tax,-14445000,-18649000,-25580000,-29373000,-33704000,-31358000,-31003000,-22999000,-12599000,- -,-81649000
21,Income Before Tax Ratio,-5.4612,-1.6038,-1.1689,-0.7691,-0.6808,-0.4818,-0.4309,-0.2500,-0.1047,- -,-0.3720
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6086000
23,Net Income,-14445000,-18649000,-25580000,-29373000,-33704000,-31358000,-31003000,-22999000,-12599000,- -,-75563000
24,Net Income ratio,-5.4612,-1.6038,-1.1689,-0.7691,-0.6808,-0.4818,-0.4309,-0.2500,-0.1047,- -,-0.3442
25,EPS,-1.02,-1.52,-6.15,-1.36,-1.30,-1.09,-0.91,-0.62,-0.27,-0.66,-1.42
26,EPS Diluted,-1.02,-1.52,-6.15,-1.36,-1.30,-1.09,-0.91,-0.62,-0.27,-0.66,-1.42
27,Weighted Average Shares Outstanding,14195399,12240334,4158664,21639374,25944193,28830472,33925617,37020246,46138177,53239231,53239231
28,Weighted Average Shares Outstanding Diluted,14195399,12240334,4158664,21639374,25944193,28830472,33925617,37020246,46138177,53239231,53239231
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1384101/000104746914002734/0001047469-14-002734-index.htm,https://www.sec.gov/Archives/edgar/data/1384101/000104746915002671/a2223500z10-k.htm,https://www.sec.gov/Archives/edgar/data/1384101/000104746916011115/0001047469-16-011115-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410117000008/0001384101-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410118000006/0001384101-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410119000010/0001384101-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410120000015/0001384101-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410121000012/0001384101-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1384101/000138410122000028/0001384101-22-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,7566000,14002000,71220000,35014000,39084000,59219000,33891000,77995000,159317000,349364000,173197000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7566000,14002000,71220000,35014000,39084000,59219000,33891000,77995000,159317000,349364000,173197000
34,Net Receivables,229000,569000,1143000,3050000,3503000,8756000,12716000,13168000,19329000,18461000,41461000
35,Inventory,279000,1050000,2567000,3696000,3767000,3475000,5324000,3402000,6806000,- -,11225000
36,Other Current Assets,519000,760000,1477000,1588000,1579000,2177000,1997000,2387000,2235000,7854000,17219000
37,Total Current Assets,8593000,16381000,76407000,43348000,47933000,73627000,53928000,96952000,187687000,375679000,243102000
38,PP&E,1687000,2446000,2952000,4161000,10314000,11480000,9688000,8940000,17741000,8990000,31141000
39,Goodwill,- -,- -,- -,1057000,1057000,1057000,1057000,1057000,2725000,2725000,707904000
40,Intangible Assets,- -,- -,- -,16000000,15200000,14133000,13067000,12000000,65019000,59924000,202731000
41,Intangible Assets,- -,- -,- -,17057000,16257000,15190000,14124000,13057000,67744000,62649000,910635000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,171000,240000,271000,273000,781000,737000,929000,1689000,2040000,- -,2947000
45,Total Non-Current Assets,1858000,2686000,3223000,21491000,27352000,27407000,24741000,23686000,87525000,71639000,944723000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10451000,19067000,79630000,64839000,75285000,101034000,78669000,120638000,275212000,447318000,1187825000
48,Accounts Payable,550000,1888000,5294000,7397000,5085000,2424000,3853000,2516000,2328000,3116000,12360000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1357000,1407000,1589000,4757000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000,4646000
52,Other Current Liabilities,1336000,7103000,10094000,9748000,9637000,9110000,8175000,9186000,13734000,11705000,42388000
53,Total Current Liabilities,1886000,8991000,15388000,17145000,14722000,11534000,12028000,13059000,17469000,16781000,64151000
54,Long-Term Debt,- -,- -,4899000,4923000,5028000,24918000,24938000,23925000,694000,810000,14096000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343000
56,Deferred Tax Liabilities,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,5592000
57,Other Non-Current Liabilities,35000,5175000,2900000,1097000,4283000,5001000,4478000,3899000,17594000,- -,7129000
58,Total Non-Current Liabilities,35000,5175000,7799000,6320000,9311000,29919000,29416000,27824000,18288000,810000,27160000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19960000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,599000,308000,- -,12913000,11506000,17726000
61,Total Liabilities,1921000,14166000,23187000,23465000,24033000,41453000,41444000,40883000,35757000,35931000,91311000
62,Preferred Stock,49296000,63372000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,21000,23000,28000,34000,34000,41000,50000,58000,- -
64,Retained Earnings,-41420000,-60069000,-85649000,-115022000,-148726000,-180084000,-211087000,-234086000,-246685000,- -,- -
65,Other Comprehensive Income/Loss,-1110000,-1816000,-2815000,-3990000,-5440000,-6836000,-9305000,-12006000,-14080000,- -,-15083000
66,Other Total Stockholders Equity,1763000,3413000,144886000,160363000,205390000,246467000,257583000,325806000,500170000,421174000,- -
