,https://roic.ai/company/ARLO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,184604000,370658000,464918000,- -,- -,- -
2,COGS,146570000,279424000,372843000,- -,- -,- -
3,Gross Profit,38034000,91234000,92075000,- -,- -,- -
4,Gross Profit Ratio,0.2060,0.2461,0.1980,- -,- -,- -
5,Research and Development Exp.,24438000,34683000,58794000,- -,- -,- -
6,General and Administrative Exp.,8289000,15096000,28209000,- -,- -,- -
7,Selling and Marketing Exp.,18455000,34340000,52593000,- -,- -,- -
8,"Selling, General and Administrative Exp.",26744000,49436000,80802000,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,51182000,84119000,139596000,- -,- -,- -
11,COGS and Expenses,197752000,363543000,512439000,- -,- -,- -
12,Interest Income ,- -,- -,1239000,2737000,802000,11000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2128000,3740000,5307000,- -,- -,- -
15,EBITDA,-11532000,11417000,-69404000,- -,- -,- -
16,EBITDA ratio,-0.0625,0.0308,-0.1493,- -,- -,- -
17,Operating Income,-13148000,5731000,-74773000,- -,- -,- -
18,Operating Income ratio,-0.0712,0.0155,-0.1608,- -,- -,- -
19,Total Other Income Expenses (Gains),-512000,1946000,62000,- -,- -,- -
20,Income Before Tax,-13660000,7677000,-74711000,- -,- -,- -
21,Income Before Tax Ratio,-0.0740,0.0207,-0.1607,- -,- -,- -
22,Income Tax expense (Gain),83000,1128000,772000,- -,- -,- -
23,Net Income,-13743000,6549000,-75483000,- -,- -,- -
24,Net Income ratio,-0.0744,0.0177,-0.1624,- -,- -,- -
25,EPS,-0.19,-0.01,-1.02,-1.14,-1.30,-0.68
26,EPS Diluted,-0.19,-0.01,-1.02,-1.14,-1.30,-0.68
27,Weighted Average Shares Outstanding,72715000,72715000,67231000,75074000,78084000,82688000
28,Weighted Average Shares Outstanding Diluted,72715000,72715000,67231000,75074000,78084000,82688000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1736946/000173694619000010/0001736946-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694620000007/0001736946-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694621000010/0001736946-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694622000010/0001736946-22-000010-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,220000,108000,151290000,236680000,186127000,175749000
32,Short-Term Investments,- -,- -,49737000,19990000,19997000,- -
33,Cash and Short-Term Investments,220000,108000,201027000,256670000,206124000,175749000
34,Net Receivables,81842000,157680000,178229000,127317000,77643000,79564000
35,Inventory,47717000,82952000,124791000,68624000,64705000,38390000
36,Other Current Assets,3430000,3018000,11427000,16958000,8076000,9919000
37,Total Current Assets,133209000,243758000,515474000,469569000,356548000,303622000
38,PP&E,2031000,3883000,49428000,52652000,39819000,24409000
39,Goodwill,15638000,15638000,15638000,11038000,11038000,11038000
40,Intangible Assets,6281000,4348000,2823000,1306000,- -,- -
41,Intangible Assets,21919000,19986000,18461000,12344000,11038000,11038000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,478000,865000,1108000,1318000,1269000,- -
44,Other Non-Current Assets,944000,1328000,11475000,6829000,5294000,8421000
45,Total Non-Current Assets,25372000,26062000,80472000,73143000,57420000,43868000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,158581000,269820000,595946000,542712000,413968000,347490000
48,Accounts Payable,21133000,20711000,82542000,111650000,62171000,84098000
49,Short-Term Debt,- -,- -,1632000,3912000,4400000,- -
50,Tax Payable,- -,- -,734000,4489000,267000,12000
51,Deferred Revenue,16395000,34072000,26678000,50362000,53142000,29442000
52,Other Current Liabilities,40714000,76097000,171138000,127977000,117633000,97389000
53,Total Current Liabilities,78242000,130880000,281990000,293901000,237346000,210929000
54,Long-Term Debt,- -,- -,- -,- -,25029000,42940000
55,Deferred Revenue,6998000,13332000,23313000,15736000,16563000,1344000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,167000,189000,21141000,29699000,1263000,-20375000
58,Total Non-Current Liabilities,7165000,13521000,44454000,45435000,42855000,23909000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,21610000,32913000,29429000,- -
61,Total Liabilities,85407000,144401000,326444000,339336000,280201000,234838000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,74000,76000,79000,84000
64,Retained Earnings,- -,- -,-45849000,-131519000,-232770000,-288799000
65,Other Comprehensive Income/Loss,-1774000,-3387000,- -,-2000,3000,- -
66,Other Total Stockholders Equity,74948000,128806000,315277000,334821000,366455000,401367000
67,Total Stockholders Equity,73174000,125419000,269502000,203376000,133767000,112652000
68,Total Liabilities And Stockholders Equity,158581000,269820000,595946000,542712000,413968000,347490000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,158581000,269820000,595946000,542712000,413968000,347490000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1736946/000173694619000010/0001736946-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694620000007/0001736946-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694621000010/0001736946-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694622000010/0001736946-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-13743000,6549000,-75483000,-85951000,-101251000,-56029000
74,Depreciation and Amortization,2128000,3740000,5307000,10681000,10206000,5975000
75,Deferred Income Tax,-665000,-388000,-1108000,-210000,50000,-296000
76,Stock Based Compensation,1520000,2451000,8831000,22894000,35247000,38030000
77,Change in Working Capital,-22310000,57911000,120606000,-57816000,-56466000,-26509000
78,Accounts Receivable,-46338000,-75838000,-118651000,38247000,49765000,-1739000
79,Inventory,-22095000,-35235000,-42322000,53604000,2862000,-3125000
80,Accounts Payable,11509000,-350000,87307000,28791000,-49282000,22156000
81,Other Working Capital,54967000,112878000,233484000,175668000,119202000,92693000
82,Other Non-Cash Items,- -,-109248000,-75839000,119573000,65684000,15632000
83,Cash Provided by Operating Activities,-33070000,-38985000,-17686000,9171000,-46530000,-23197000
84,CAPEX,-1482000,-3578000,-21666000,-6664000,-3892000,-2268000
85,Acquisitions Net,-8807000,-737000,- -,52694000,- -,- -
86,Purchases of Investments,- -,- -,-54619000,-29768000,-50083000,- -
87,Sales/Maturities of Investments,- -,- -,5000000,60000000,50000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,20000000
