,https://roic.ai/company/INFN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,599000,4127000,58236000,245852000,519212000,309101000,454352000,404877000,438437000,544122000,668079000,886714000,870135000,740739000,943379000,1298865000,1355596000,1425205000
2,COGS,- -,- -,- -,27455000,71425000,326213000,571314000,414000000,496690000,239386000,280868000,325483000,379775000,483237000,476417000,477598000,619593000,914558000,946804000,927231000
3,Gross Profit,- -,- -,- -,-23328000,-13189000,-80361000,-52102000,-104899000,-42338000,165491000,157569000,218639000,288304000,403477000,393718000,263141000,323786000,384307000,408792000,497974000
4,Gross Profit Ratio,- -,- -,- -,-5.6525,-0.2265,-0.3269,-0.1003,-0.3394,-0.0932,0.4087,0.3594,0.4018,0.4315,0.4550,0.4525,0.3552,0.3432,0.2959,0.3016,0.3494
5,Research and Development Exp.,26759000,41951000,- -,24986000,38967000,60851000,80428000,97178000,118518000,127120000,117233000,124794000,133484000,180703000,232291000,224299000,244302000,287977000,265634000,299894000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,-6756000,-6980000,-3122000,-5000,54375000,-28387000,-27525000,48452000,61640000,68343000,70625000,80957000,126351000,112240000,115415000
7,Selling and Marketing Exp.,895000,1680000,- -,- -,- -,32721000,43262000,48391000,58103000,64773000,75862000,72778000,79026000,101398000,118858000,116057000,124238000,151423000,129604000,138829000
8,"Selling, General and Administrative Exp.",895000,1680000,- -,15381000,33332000,25965000,36282000,45269000,58098000,119148000,47475000,45253000,127478000,163038000,187201000,186682000,205195000,277774000,241844000,254244000
9,Other Expenses,- -,- -,- -,- -,56000,32869000,43412000,49315000,58262000,- -,75862000,72778000,- -,-0,- -,35247000,65068000,168786000,18794000,17455000
10,Operating Expenses,27654000,43631000,- -,40367000,72355000,119685000,160122000,191762000,234878000,246268000,240570000,242825000,260962000,343741000,419492000,446228000,514565000,734537000,526272000,571593000
11,COGS and Expenses,32592000,48218000,- -,67822000,143780000,445898000,731436000,605762000,731568000,485654000,521438000,568308000,640737000,826978000,895909000,923826000,1134158000,1649095000,1473076000,1498824000
12,Interest Income ,- -,- -,- -,- -,- -,- -,8549000,2688000,1390000,1014000,911000,923000,1456000,1837000,2478000,3328000,2428000,1139000,118000,455000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,3000,- -,- -,- -,- -,5703000,10356000,11171000,12072000,14017000,22049000,31657000,46728000,49099000
