,https://roic.ai/company/DOC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,13847000,12946899,16799000,52268000,125561000,232176000,335098000,410995000,404379000,437505000,457699000
2,COGS,4953000,4757787,4650000,10154000,31026000,65999000,97035000,122620000,124819000,- -,137408000
3,Gross Profit,8894000,8189112,12149000,42114000,94535000,166177000,238063000,288375000,279560000,437505000,320291000
4,Gross Profit Ratio,0.6423,0.6325,0.7232,0.8057,0.7529,0.7157,0.7104,0.7017,0.6913,1.0000,0.6998
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1252000,1312565,3689000,11440000,14908000,18397000,22957000,28816000,33099000,33763000,37757000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1252000,1312565,3689000,11440000,14908000,18397000,22957000,28816000,33099000,33763000,37757000
9,Other Expenses,4588000,4149539,5107000,16731000,45471000,86589000,125159000,158389000,146436000,94435000,157870000
10,Operating Expenses,5840000,5462104,8796000,28171000,60379000,104986000,148116000,187205000,179535000,128198000,195627000
11,COGS and Expenses,10793000,10219891,13446000,38325000,91405000,170985000,245151000,309825000,304354000,128198000,333035000
12,Interest Income ,- -,- -,- -,1066000,3880000,8858000,8486000,11556000,10902000,- -,- -
13,Interest Expense (Gain),- -,4537660,- -,6907000,10636000,23864000,47008000,66183000,65022000,-57179000,60136000
14,Depreciation and Amortization,4783000,4429044,5107000,16731000,45471000,86589000,125159000,158389000,146436000,149590000,157870000
15,EBITDA,1723000,7311097,2870000,19601000,67895000,140434000,210313000,280802000,285941000,160899000,301971000
16,EBITDA ratio,0.1244,0.5647,0.1708,0.3750,0.5407,0.6049,0.6276,0.6832,0.7071,0.3678,0.6598
17,Operating Income,1617000,1562615,1413000,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.1168,0.1207,0.0841,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-4942000,-4415606,-4049000,-18361000,-21415000,-29669000,-50174000,-42849000,-22839000,- -,- -
20,Income Before Tax,-3325000,-2852991,-2636000,-4418000,12741000,31522000,39773000,58321000,77186000,68488000,86783000
21,Income Before Tax Ratio,-0.2401,-0.2204,-0.1569,-0.0845,0.1015,0.1358,0.1187,0.1419,0.1909,0.1565,0.1896
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3060000,-1655607,-2237000,-4037000,11788000,29981000,38146000,56230000,74483000,68488000,83965000
24,Net Income ratio,-0.2210,-0.1279,-0.1332,-0.0772,0.0939,0.1291,0.1138,0.1368,0.1842,0.1565,0.1835
25,EPS,-0.29,-0.21,-0.13,-0.12,0.15,0.22,0.23,0.30,0.39,0.32,0.39
26,EPS Diluted,-0.29,-0.21,-0.13,-0.12,0.15,0.22,0.23,0.30,0.39,0.32,0.39
27,Weighted Average Shares Outstanding,10684782,10684782,12883917,33063093,72750724,126143114,163123109,182064064,185770251,204243768,216135385
28,Weighted Average Shares Outstanding Diluted,10684782,10684782,12883917,33063093,76792073,130466893,168231299,187526762,191626320,211145917,223060556
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574540/000110465914021828/0001104659-14-021828-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000110465915019223/0001104659-15-019223-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454016000065/0001574540-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454017000007/0001574540-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454018000016/0001574540-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454019000013/0001574540-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454020000015/0001574540-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454021000038/0001574540-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454022000042/0001574540-22-000042-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1931884,2614036,56478000,15923000,3143000,15491000,2727000,19161000,2355000,2515000,9876000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1931884,2614036,56478000,15923000,3143000,15491000,2727000,19161000,2355000,2515000,9876000
34,Net Receivables,1033771,682402,837000,23631000,78530000,97580000,133760000,149413000,282898000,198800000,219332000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,6530000,11057000,14762000,22879000,21551000,9886000,-198800000,12654000
37,Total Current Assets,2965655,3296438,57315000,46084000,92730000,127833000,159366000,190125000,295139000,2515000,241862000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,127933000,- -,235483000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,7217917,5242886,23333000,72985000,205168000,301462000,458713000,452384000,390450000,406935000,498221000
41,Intangible Assets,7217917,5242886,23333000,72985000,205168000,301462000,458713000,452384000,390450000,406935000,498221000
42,Investments,- -,- -,204431000,1324000,1322000,2258000,1329000,1330000,66137000,77755000,69793000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,114827400,99052770,7781000,691180000,1345651000,2456539000,3544975000,3498995000,3466922000,-77755000,4137350000
45,Total Non-Current Assets,122045317,104295656,235545000,765489000,1552141000,2760259000,4005017000,3952709000,4051442000,406935000,4940847000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,125010972,107592094,292860000,811573000,1644871000,2888092000,4164383000,4142834000,4346581000,409450000,5182709000
48,Accounts Payable,1872787,2332241,836000,700000,644000,4423000,11023000,3886000,6348000,7007000,6651000
49,Short-Term Debt,- -,- -,- -,138000000,395000000,643742000,324394000,457388000,583323000,412322000,267641000
50,Tax Payable,- -,- -,- -,- -,- -,9300000,16103000,21043000,21483000,23436000,23487000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1086956,1031083,7969000,22688000,27732000,50443000,79765000,86024000,88675000,556331000,105492000
53,Total Current Liabilities,2959743,3363324,8805000,161388000,423376000,698608000,415182000,547298000,678346000,975660000,379784000
54,Long-Term Debt,98674263,84489017,42821000,78105000,94600000,347413000,1153074000,1075465000,1051130000,-910778000,1749234000
55,Deferred Revenue,- -,- -,- -,- -,2778000,5834000,10496000,18745000,21037000,- -,22714000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
