,https://roic.ai/company/GRBK,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,179867000,415514000,453415000,653073000,463280000,- -,246102000,291145000,380328000,454374000,623647000,791660000,976021000,1402876000
2,COGS,- -,- -,199163000,404750000,454638000,642504000,493901000,- -,183447000,223654000,293953000,355921000,493317000,622578000,741417000,1040817000
3,Gross Profit,- -,- -,-19296000,10764000,-1223000,10569000,-30621000,- -,62655000,67491000,86375000,98453000,130330000,169082000,234604000,362059000
4,Gross Profit Ratio,- -,- -,-0.1073,0.0259,-0.0027,0.0162,-0.0661,- -,0.2546,0.2318,0.2271,0.2167,0.2090,0.2136,0.2404,0.2581
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,17044000,15487000,12395000,7237000,5934000,8107000,16134000,20685000,21871000,21823000,56830000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,10099000,13665000,16758000,17193000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9162618,9215000,17044000,15487000,12395000,7237000,5934000,8107000,26233000,34350000,38629000,39016000,56830000,98659000,112134000,-134269000
9,Other Expenses,- -,- -,1350000,150000,- -,3567000,3934000,1636000,-134000,-1843000,-2808000,-2054000,-2605000,- -,- -,- -
10,Operating Expenses,9162618,9215000,18394000,15637000,12395000,10804000,9868000,9743000,26099000,32507000,35821000,36962000,54225000,98659000,112134000,-134269000
11,COGS and Expenses,9162618,9215000,217557000,420387000,467033000,653308000,503769000,9743000,209546000,256161000,329774000,392883000,547542000,721237000,853551000,906548000
12,Interest Income ,11312,1812000,1087000,78000,- -,- -,- -,- -,1046000,13000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,5831000,14906000,11605000,10126000,7275000,- -,1393000,281000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,5275,79000,9791000,28137000,28720000,29712000,28300000,25337000,735000,865000,286000,325000,2943000,3079000,3666000,2744000
15,EBITDA,-9157343,-9136000,-25243000,29413000,20342000,31121000,-4268000,15594000,27301000,25642000,39423000,54326000,71702000,81762000,142375000,259730000
16,EBITDA ratio,-Infinity,-Infinity,-0.1403,0.0708,0.0449,0.0477,-0.0092,Infinity,0.1109,0.0881,0.1037,0.1196,0.1150,0.1033,0.1459,0.1851
17,Operating Income,-9162618,-9215000,-37690000,-4873000,-13618000,-235000,-40489000,9743000,35687000,33141000,47746000,59437000,71807000,70423000,122470000,496328000
18,Operating Income ratio,-Infinity,-Infinity,-0.2095,-0.0117,-0.0300,-0.0004,-0.0874,Infinity,0.1450,0.1138,0.1255,0.1308,0.1151,0.0890,0.1255,0.3538
19,Total Other Income Expenses (Gains),- -,- -,-46437000,-14829000,-11605000,-10126000,-5833000,-19489000,522000,1575000,2808000,4800000,9864000,13906000,20343000,-239342000
20,Income Before Tax,- -,- -,-84127000,-19702000,-25223000,-10361000,-46322000,-9746000,36209000,34716000,50554000,64237000,81671000,84329000,142813000,256986000
21,Income Before Tax Ratio,- -,- -,-0.4677,-0.0474,-0.0556,-0.0159,-0.1000,-Infinity,0.1471,0.1192,0.1329,0.1414,0.1310,0.1065,0.1463,0.1832
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-24853000,9171000,15381000,39031000,17136000,20027000,25016000,52605000
23,Net Income,-2333622,-2421000,-40865000,-13630000,-19983000,-8717000,-39843000,-39208000,50026000,15325000,23756000,14970000,51623000,58656000,113693000,204381000
24,Net Income ratio,-Infinity,-Infinity,-0.2272,-0.0328,-0.0441,-0.0133,-0.0860,-Infinity,0.2033,0.0526,0.0625,0.0329,0.0828,0.0741,0.1165,0.1457
25,EPS,-162572.15,-4.83,-36.55,-7.86,-10.90,-1.24,-5.28,-5.06,3.40,0.38,0.49,0.30,1.02,1.16,2.25,3.75
26,EPS Diluted,-162572.15,-4.83,-36.55,-7.86,-10.90,-1.24,-5.28,-5.06,3.40,0.38,0.49,0.30,1.02,1.16,2.24,3.72
27,Weighted Average Shares Outstanding,365588,771709,1118010,1725124,1843241,6865621,7552495,7751169,14712000,40068000,48879000,49597000,50652000,50530000,50568000,50700000
28,Weighted Average Shares Outstanding Diluted,365588,771709,1118010,1725124,1843241,6865621,7552495,7751169,14712000,40099000,48886000,49683000,50751000,50636000,50795000,51060000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1373670/000137367021000016/0001373670-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1373670/000137367022000008/0001373670-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27238517,55987000,12299000,6109000,7428000,15139000,9323000,12605000,21267000,19909000,35157000,36684000,38315000,33269000,19479000,78696000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2768000,- -,- -,- -,- -,- -,- -,55616000
33,Cash and Short-Term Investments,27238517,55987000,12299000,6109000,7428000,15139000,9323000,12605000,24035000,19909000,35157000,36684000,38315000,33269000,19479000,134312000
34,Net Receivables,- -,- -,16669000,23745000,27802000,13591000,9256000,- -,3517000,3314000,2448000,1605000,4842000,4720000,5224000,6871000
35,Inventory,- -,- -,14929000,20885000,23689000,26188000,13443000,- -,274303000,344132000,410297000,495655000,668961000,753567000,844635000,1203743000
36,Other Current Assets,469298,194000,2968000,2854000,4891000,2569000,4034000,2524000,5617000,19237000,22588000,25643000,20233000,4416000,14156000,- -
37,Total Current Assets,27707815,56181000,46865000,53593000,63810000,57487000,36056000,15129000,307472000,386592000,470490000,559587000,732351000,795972000,883494000,1344926000
38,PP&E,82892413,276785000,305350000,284362000,260078000,235888000,209645000,71000,1629000,802000,892000,804000,4690000,7771000,6133000,7408000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,680000,680000,680000,680000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,856000,707000,622000,537000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1536000,1387000,1302000,1217000
42,Investments,- -,- -,4015000,- -,- -,- -,- -,- -,- -,- -,- -,16878000,20269000,30294000,46443000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,89197000,80663000,67598000,31211000,16499000,15262000,15376000,15741000
44,Other Non-Current Assets,10881184,11133000,9494000,8820000,7823000,6211000,4722000,454000,2027000,5819000,2004000,3750000,8681000,24853000,36099000,- -
45,Total Non-Current Assets,93773597,287918000,318859000,293182000,267901000,242099000,214367000,525000,92853000,87284000,70494000,52643000,51675000,79567000,105353000,24366000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101307000
47,Total Assets,121481412,344099000,365724000,346775000,331711000,299586000,250423000,15654000,400325000,473876000,540984000,612230000,784026000,875539000,988847000,1421867000
48,Accounts Payable,17410701,10429000,11274000,8066000,16487000,9380000,11638000,50000,13551000,13530000,15113000,22354000,26091000,30044000,24521000,45682000
49,Short-Term Debt,- -,1560000,11588000,30807000,33374000,13080000,171033000,- -,12151000,10158000,10948000,9926000,200386000,- -,2125000,9700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,399000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,9752000,6938000,14088000,21447000,31978000,- -,- -,- -
52,Other Current Liabilities,2407701,12825000,15295000,1957000,2377000,1992000,2500000,4262000,19213000,23895000,24350000,18465000,-171185000,24656000,38291000,- -
53,Total Current Liabilities,19818402,24814000,38157000,40830000,52238000,24452000,185171000,4312000,54667000,54521000,64499000,72192000,87270000,54700000,64937000,55382000
54,Long-Term Debt,- -,122440000,226351000,226345000,220724000,171804000,7070000,- -,164061000,47500000,75000000,107000000,200386000,241612000,222459000,-738000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23954000,38131000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
