,https://roic.ai/company/APLE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,11500000,85206000,160135000,320500000,365586000,387991000,803896000,898314000,1041025000,1238622000,1270555000,1266597000,601879000,933869000
2,COGS,5300000,50576000,107565000,176886000,227718000,241072000,504282000,563100000,650108000,778106000,801938000,801914000,480516000,614158000
3,Gross Profit,6200000,34630000,52570000,143614000,137868000,146919000,299614000,335214000,390917000,460516000,468617000,464683000,121363000,319711000
4,Gross Profit Ratio,0.5391,0.4064,0.3283,0.4481,0.3771,0.3787,0.3727,0.3732,0.3755,0.3718,0.3688,0.3669,0.2016,0.3424
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3134000,4079000,6472000,8189000,9227000,6169000,20914000,19552000,17032000,26341000,24294000,36210000,29374000,41038000
7,Selling and Marketing Exp.,1066000,7674000,- -,27210000,- -,- -,- -,- -,- -,- -,- -,- -,61003000,- -
8,"Selling, General and Administrative Exp.",4200000,11753000,6472000,35399000,9227000,6169000,20914000,19552000,17032000,26341000,24294000,36210000,90377000,41038000
9,Other Expenses,2200000,14095000,28391000,48415000,52748000,54827000,113112000,127449000,148163000,176499000,183482000,193240000,138783000,184471000
10,Operating Expenses,6400000,25848000,34863000,83814000,61975000,60996000,134026000,147001000,165195000,202840000,207776000,229450000,229160000,225509000
11,COGS and Expenses,11700000,76424000,142428000,260700000,289693000,302068000,638308000,710101000,815303000,980946000,1009714000,1031364000,709676000,839667000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),375000,- -,- -,- -,- -,- -,23523000,33132000,40026000,47343000,51185000,61191000,70835000,67748000
14,Depreciation and Amortization,2300000,15936000,30749000,49815000,52748000,54827000,113112000,127449000,148163000,176499000,183482000,193240000,199786000,184471000
15,EBITDA,4875000,32790000,47006000,119803000,128224000,171471000,145437000,278767000,333272000,407181000,441340000,427027000,97746000,271515000
16,EBITDA ratio,0.4239,0.3848,0.2935,0.3738,0.3507,0.4419,0.1809,0.3103,0.3201,0.3287,0.3474,0.3371,0.1624,0.2907
17,Operating Income,-200000,- -,-1672000,- -,75429000,82744000,32325000,136032000,185262000,214387000,257858000,233787000,-102040000,87044000
18,Operating Income ratio,-0.0174,- -,-0.0104,- -,0.2063,0.2133,0.0402,0.1514,0.1780,0.1731,0.2029,0.1846,-0.1695,0.0932
19,Total Other Income Expenses (Gains),2400000,-5969000,-931000,-9646000,-6745000,594000,-23523000,-17846000,-40179000,-31048000,-51185000,-61191000,-70835000,-67748000
20,Income Before Tax,2200000,2813000,-2603000,50154000,68684000,83338000,8802000,118186000,145083000,183339000,206673000,172596000,-172875000,19296000
21,Income Before Tax Ratio,0.1913,0.0330,-0.0163,0.1565,0.1879,0.2148,0.0109,0.1316,0.1394,0.1480,0.1627,0.1363,-0.2872,0.0207
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,1422000,1969000,898000,431000,847000,587000,679000,332000,468000
23,Net Income,2200000,16854000,16257000,69988000,75476000,115222000,6833000,117288000,144652000,182492000,206086000,171917000,-173207000,18828000
24,Net Income ratio,0.1913,0.1978,0.1015,0.2184,0.2065,0.2970,0.0085,0.1306,0.1390,0.1473,0.1622,0.1357,-0.2878,0.0202
25,EPS,0.01,0.52,0.10,0.76,0.83,1.26,0.04,0.65,0.76,0.82,0.90,0.77,-0.77,0.08
26,EPS Diluted,0.01,0.52,0.10,0.76,0.83,1.26,0.04,0.65,0.76,0.82,0.90,0.77,-0.77,0.08
27,Weighted Average Shares Outstanding,228255992,33020500,166292000,91198000,91309700,91392065,186910407,180261000,190856000,223526000,229659000,223910000,223544000,223544000
28,Weighted Average Shares Outstanding Diluted,228255992,33020500,166292000,91198000,91309700,91392065,186910407,180261000,190856000,223526000,229659000,223910000,223544000,223544000
