,https://roic.ai/company/AZTA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24000000,45700000,90400000,86400000,99900000,103900000,321099000,381716000,304254000,343610000,539769000,463746000,692870000,743258000,526366000,218706000,592972000,688105000,519451000,450952000,482848000,552708000,560323000,692885000,631560000,780848000,897273000,513703000
2,COGS,14200000,26100000,49500000,53600000,64300000,47800000,159657000,229332000,221210000,239944000,335445000,300944000,448086000,523663000,399538000,224702000,426677000,465084000,345965000,304970000,315511000,363603000,362242000,425481000,385479000,464588000,517249000,269894000
3,Gross Profit,9800000,19600000,40900000,32800000,35600000,56100000,161442000,152384000,83044000,103666000,204324000,162802000,244784000,219595000,126828000,-5996000,166295000,223021000,173486000,145982000,167337000,189105000,198081000,267404000,246081000,316260000,380024000,243809000
4,Gross Profit Ratio,0.4083,0.4289,0.4524,0.3796,0.3564,0.5399,0.5028,0.3992,0.2729,0.3017,0.3785,0.3511,0.3533,0.2954,0.2410,-0.0274,0.2804,0.3241,0.3340,0.3237,0.3466,0.3421,0.3535,0.3859,0.3896,0.4050,0.4235,0.4746
5,Research and Development Exp.,- -,- -,12400000,14200000,22700000,22400000,42950000,60868000,75055000,72894000,67133000,62771000,70671000,51715000,42924000,31607000,31162000,39846000,47464000,48991000,52649000,52232000,51543000,47004000,46936000,56368000,59063000,22412000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110160000,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6500000,11800000,12400000,12800000,26500000,31600000,70856000,95919000,101205000,98308000,96768000,83152000,141032000,120421000,110516000,91231000,85597000,102542000,110160000,99545000,111098000,115270000,130261000,153061000,167022000,211960000,241137000,252101000
9,Other Expenses,800000,1200000,3100000,4800000,8100000,10400000,30213000,30187000,499570000,44605000,3663000,3100000,- -,- -,203570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,7300000,13000000,27900000,31800000,57300000,64400000,144019000,186974000,675830000,215807000,167564000,149023000,211703000,172136000,357010000,122838000,116759000,142388000,157624000,148536000,163747000,167502000,181804000,200065000,213958000,268328000,300200000,274513000
11,COGS and Expenses,21500000,39100000,77400000,85400000,121600000,112200000,303676000,416306000,897040000,455751000,503009000,449967000,659789000,695799000,756548000,347540000,543436000,607472000,503589000,453506000,479258000,531105000,544046000,625546000,599437000,732916000,817449000,544407000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2719000,1121000,1153000,1213000,1032000,950000,899000,452000,464000,1881000,1449000,849000,632000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,80000,65000,14000,2000,202000,395000,157000,408000,9520000,22250000,2944000,2037000
14,Depreciation and Amortization,800000,1200000,3100000,4800000,8100000,10400000,30213000,45255000,38030000,31811000,18380000,17190000,33901000,32801000,34538000,25856000,18420000,17249000,21620000,24155000,23459000,25160000,28046000,28149000,37429000,54454000,65496000,65333000
15,EBITDA,3000000,7900000,16100000,5200000,-14600000,1500000,55719000,9156000,-589108000,-149043000,44154000,12337000,64563000,186560000,-200175000,-200905000,74736000,147620000,35141000,19772000,53042000,43206000,34537000,103309000,116273000,514009000,143230000,158017000
16,EBITDA ratio,0.1250,0.1729,0.1781,0.0602,-0.1461,0.0144,0.1735,0.0240,-1.9362,-0.4338,0.0818,0.0266,0.0932,0.2510,-0.3803,-0.9186,0.1260,0.2145,0.0677,0.0438,0.1099,0.0782,0.0616,0.1491,0.1841,0.6583,0.1596,0.3076
17,Operating Income,2500000,6600000,13000000,1000000,-21700000,-8300000,17423000,-43904000,-627818000,-158398000,31404000,-2763000,27784000,40351000,-237469000,-228028000,47007000,79597000,9561000,-9019000,-2699000,16890000,4238000,64113000,31409000,46038000,78458000,-31089000
18,Operating Income ratio,0.1042,0.1444,0.1438,0.0116,-0.2172,-0.0799,0.0543,-0.1150,-2.0635,-0.4610,0.0582,-0.0060,0.0401,0.0543,-0.4511,-1.0426,0.0793,0.1157,0.0184,-0.0200,-0.0056,0.0306,0.0076,0.0925,0.0497,0.0590,0.0874,-0.0605
19,Total Other Income Expenses (Gains),-300000,100000,- -,-600000,-1000000,-600000,8083000,7805000,406000,-22456000,-5419000,1567000,2123000,15285000,1317000,1111000,9057000,47979000,1859000,2257000,1004000,925000,-284000,1258000,-10943000,-36595000,-3486000,-17880000
